,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
test_loss,0.18018766,0.18018766,0.16997972,0.16997972,0.16099432,0.16099432,0.15643427,0.15643427,0.09476377,0.09476377,0.0967104,0.0967104,0.08378022,0.08378022,0.07781357,0.07781357,0.06373959,0.06373959,0.41082442,0.41082442,0.51810217,0.51810217,0.062278163,0.062278163,0.0382368,0.0382368,0.06094586,0.06094586,0.07191477,0.07191477,0.07208872,0.07208872
0,0.63789964,0.34210068,0.4631716,0.71831757,0.754918,0.33315656,0.8574202,0.3032198,0.3941074,0.36887977,0.48827532,0.36713046,0.43017527,0.38328633,0.75212836,0.33550972,0.63698816,0.42752758,0.26419804,0.38401043,0.23663598,0.39697933,0.6590336,0.3479518,1.0601411,0.36837116,0.5360808,0.3555735,0.5386811,0.3526485,0.9068305,0.41592443
1,0.5083302,0.29823354,0.5784487,0.31071398,0.5383211,0.3197657,0.54018456,0.4320971,0.34450823,0.34897584,0.42138612,0.33353588,0.37632397,0.35133874,0.54835635,0.32811886,0.5193214,0.32560793,0.19791542,0.34410882,0.20082122,0.3834436,0.57965237,0.3562585,0.87714136,0.32360935,0.48871416,0.34062603,0.41506803,0.32124674,0.7073833,0.3106984
2,0.49655443,0.30614457,0.44393146,0.32144588,0.5174545,0.31040975,0.5464184,0.2922404,0.3145801,0.30258954,0.37369302,0.30817968,0.33106154,0.32230163,0.5503208,0.26994368,0.4979682,0.3163786,0.16697842,0.35565874,0.18135107,0.3740736,0.5612455,0.30641788,0.81290585,0.30344492,0.469178,0.30369323,0.38469464,0.29767376,0.59714764,0.32281214
3,0.40909678,0.31656045,0.4161229,0.30021518,0.49413717,0.29165202,0.5684489,0.2911076,0.2926957,0.3387861,0.34400976,0.29152197,0.31020868,0.32139882,0.4332801,0.26290816,0.43614328,0.2995053,0.15718754,0.3476649,0.1671193,0.37284893,0.48341015,0.35431936,0.75517714,0.32543793,0.47017515,0.30766797,0.38161573,0.31268442,0.6409799,0.28699327
4,0.4317987,0.27137586,0.34761587,0.3108788,0.4166714,0.2735581,0.44474348,0.28393322,0.28400943,0.29634228,0.33683756,0.32415655,0.2917728,0.3101724,0.38404226,0.3615093,0.4038362,0.28354132,0.14186938,0.35475948,0.1541014,0.38260028,0.49544653,0.28327045,0.7437901,0.32252502,0.3832219,0.3204015,0.37705106,0.28984967,0.61719775,0.2734232
5,0.36125937,0.29967877,0.3349746,0.32726127,0.42857474,0.2917079,0.5463714,0.28122222,0.28723788,0.31154963,0.27659675,0.30616435,0.29991028,0.34569007,0.37288144,0.30641297,0.40138686,0.2773996,0.13411644,0.34737784,0.14607924,0.36765262,0.4560639,0.27300197,0.6660768,0.29084432,0.408198,0.30348676,0.34555644,0.2679438,0.528237,0.28044316
6,0.37926814,0.30270168,0.29081294,0.26882213,0.33886448,0.27578548,0.47470263,0.26084054,0.25060228,0.2687499,0.31197235,0.26588768,0.27019915,0.3036624,0.3559762,0.26899818,0.3777684,0.29240373,0.12951142,0.34803647,0.13287665,0.3741082,0.44290376,0.2976845,0.59788173,0.28504744,0.32171938,0.28259847,0.31697637,0.26301333,0.524052,0.27912152
7,0.30786136,0.25053006,0.18903778,0.30632845,0.3339516,0.26770678,0.41719392,0.27718037,0.24977231,0.26748928,0.3118609,0.32806414,0.25043583,0.30389556,0.30575615,0.25298497,0.35220033,0.27680093,0.12065191,0.3498119,0.124471836,0.369975,0.42787966,0.3149277,0.6564717,0.2782569,0.3408804,0.2804857,0.28884748,0.26263985,0.46516168,0.29976583
8,0.28141695,0.26312152,0.22039059,0.3115236,0.3004552,0.2807543,0.39679295,0.26031917,0.2245417,0.30863905,0.32031375,0.26097292,0.278394,0.29045397,0.32042712,0.23364699,0.36639553,0.27269736,0.11394339,0.34652698,0.12107715,0.36559293,0.42793262,0.2950959,0.59637046,0.30117375,0.2810362,0.29325584,0.2878154,0.30615884,0.38555518,0.26639408
9,0.20543246,0.25353268,0.16697767,0.27424583,0.3041934,0.29821026,0.3729733,0.25660324,0.20176663,0.29331023,0.2748407,0.26263744,0.26386875,0.27990234,0.29040533,0.2672524,0.3388735,0.26900855,0.10232103,0.35064957,0.11276172,0.3619981,0.47490406,0.27954662,0.5909285,0.2912516,0.285043,0.2959337,0.28100836,0.27467996,0.38610163,0.33113247
10,0.24479832,0.24726552,0.16918918,0.27879497,0.26279387,0.2633053,0.26620063,0.29243672,0.18920931,0.2757108,0.28655034,0.27379003,0.22035436,0.29296717,0.25142875,0.2611801,0.32302257,0.27145374,0.10078538,0.35036787,0.10624597,0.37102637,0.48041883,0.3399463,0.54543936,0.2639637,0.23025635,0.29513186,0.23512016,0.2950263,0.34518203,0.40563267
