,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,73,5,10,0,90,10,10,0,92,6,10,0,87,1,10,0,86,2,10,0,68,13,10,0,60,9,10,0,51,16,10,0,58,13,10,0,67,19,10,0,65,15,10,0,54,21,10,0,58,21,10,0,77,33,10,0,76,28,10,0,77,12,10,0,77,20
1,19,0,93,12,19,0,100,18,15,0,100,10,13,0,100,5,13,0,100,4,19,0,92,25,20,0,84,16,19,0,67,19,19,0,80,26,19,0,92,42,19,0,91,36,18,0,83,43,18,0,89,43,16,0,91,43,15,0,90,35,14,0,85,0,14,0,87,30
2,28,0,99,18,28,0,100,25,16,0,100,11,13,0,100,0,13,0,100,2,28,0,98,31,28,0,93,21,26,0,75,19,27,0,89,32,25,0,98,51,26,0,99,47,23,0,94,49,23,0,97,51,21,0,96,48,18,0,94,35,16,0,89,0,17,0,91,25
3,37,0,100,16,36,0,100,26,16,0,100,13,13,0,100,0,13,0,100,0,36,0,99,39,36,0,97,25,32,0,80,23,34,0,94,35,30,0,99,56,31,0,100,54,26,0,97,53,27,0,99,55,25,0,98,53,20,0,95,40,18,0,92,0,19,0,92,24
4,45,0,100,19,43,0,100,27,17,0,100,12,13,0,100,0,14,0,100,2,44,0,100,44,43,0,99,31,36,0,82,28,39,0,96,36,34,0,100,60,34,0,100,57,28,0,98,57,30,0,100,58,29,0,99,55,21,0,97,41,19,0,93,3,20,0,93,17
5,52,0,100,23,51,0,100,32,17,0,100,15,14,0,100,0,14,0,100,1,51,0,100,46,49,0,99,34,40,0,84,28,44,0,97,36,37,0,100,61,38,0,100,58,30,0,99,59,31,0,100,58,32,0,100,56,23,0,97,42,21,0,93,0,22,0,95,28
6,60,0,100,26,57,0,100,29,18,0,100,15,14,0,100,0,14,0,100,0,57,0,100,45,55,0,99,35,44,0,86,28,49,0,97,40,40,0,100,64,41,0,100,61,31,0,99,57,33,0,100,59,35,0,100,58,24,0,98,42,22,0,94,1,23,0,95,28
7,66,0,100,26,64,0,100,32,18,0,100,15,14,0,100,0,14,0,100,0,63,0,100,52,61,0,99,39,47,0,87,30,53,0,98,43,43,0,100,64,43,0,100,62,33,0,100,58,35,0,100,61,38,0,100,61,25,0,98,39,23,0,94,0,24,0,96,31
8,73,0,100,23,70,0,100,33,18,0,100,15,15,0,100,0,15,0,100,0,69,0,100,54,66,0,99,40,50,0,88,31,58,0,98,43,45,0,100,64,45,0,100,61,34,0,100,59,36,0,100,62,41,0,100,61,26,0,98,48,23,0,95,1,25,0,96,25
9,80,0,100,27,75,0,100,35,19,0,100,15,15,0,100,0,15,0,100,0,74,0,100,56,70,0,100,41,52,0,89,31,61,0,99,42,47,0,100,67,47,0,100,64,35,0,100,61,37,0,100,63,43,0,100,63,27,0,98,46,24,0,95,0,26,0,97,20
