,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
107,0.09667882,0.20734017,0.06305209,0.35865423,0.08238459,0.3110865,0.078541435,0.29669613,0.086101,0.17310569,0.08314723,0.19008027,0.16273229,0.16708039,0.11247175,0.18136631,0.13055904,0.11811948,0.16832115,0.09347732,0.17508607,0.10465287,0.15434438,0.09780347,0.14654437,0.13643932,0.18727872,0.19195199,0.25073302,0.2666897,0.2527604,0.20882699
108,0.08576774,0.20988476,0.03167327,0.6514502,0.054261934,0.2955367,0.051820952,0.31314397,0.077772535,0.17313711,0.45565945,0.16366215,0.11797857,0.16579373,0.07055644,0.179192,0.107215,0.11280825,0.21600898,0.086119376,0.16510598,0.10372119,0.1399688,0.09468896,0.14525795,0.12990804,0.16040415,0.16942178,0.24317043,0.24121666,0.2589198,0.19650224
109,0.09706297,0.23862337,0.037044674,0.29946262,0.11910314,0.29984215,0.07383181,0.3023366,0.085995995,0.16847965,0.28769705,0.18186909,0.13803634,0.17763329,0.108702846,0.18056847,0.11879832,0.11622922,0.16899881,0.09382196,0.42123187,0.09729577,0.1850948,0.093676895,0.11585198,0.12399052,0.15145169,0.19855966,0.1909925,0.2746876,0.20118208,0.16284509
110,0.07283404,0.2134774,0.03731941,0.5943291,0.08229059,0.3039232,0.06326888,0.3106888,0.08680125,0.17579864,0.207532,0.16960768,0.13019772,0.16877852,0.06593162,0.18089263,0.14101976,0.11316595,0.2129639,0.09023308,0.25805077,0.09964603,0.14324452,0.09900381,0.16292003,0.12576553,0.13608167,0.20366852,0.2189266,0.24909207,0.22822128,0.1836795
111,0.07989338,0.21463528,0.031942412,0.27092507,0.050435364,0.29776222,0.060339622,0.30367315,0.09188369,0.1665046,0.15334,0.16224143,0.10970313,0.16846834,0.07286184,0.17674617,0.50509286,0.10557832,0.14481741,0.09559147,0.2052061,0.09627997,0.14492887,0.09581093,0.11827387,0.12276918,0.16423592,0.17393796,0.2030941,0.24064793,0.21007523,0.18466532
112,0.08063875,0.22093229,0.044946168,0.43403226,0.06902531,0.32738727,0.074489176,0.31805274,0.3841108,0.19965877,0.17380095,0.17315333,0.4681254,0.16408706,0.083645515,0.1884387,0.30750585,0.114914455,0.19672853,0.09118643,0.20816112,0.09985364,0.15850595,0.09402936,0.4258558,0.1113261,0.13166055,0.16457233,0.17248379,0.22351636,0.17526767,0.18267004
113,0.06163541,0.21926187,0.023724489,0.5671212,0.047388054,0.31215486,0.06420207,0.30788302,0.21870683,0.15871686,0.14032583,0.16809541,0.28064305,0.16691583,0.25155276,0.16938654,0.24032861,0.10027038,0.14379269,0.087368965,0.15741621,0.096909255,0.15555939,0.09603427,0.26324868,0.113534,0.14340928,0.17538281,0.20071524,0.2048542,0.24222878,0.22299336
114,0.07826001,0.21311678,0.026657416,0.2715973,0.047818843,0.29339212,0.049985487,0.3422281,0.21776083,0.14712915,0.11179296,0.15922087,0.22466019,0.1611218,0.24852644,0.16936646,0.23367198,0.10573126,0.11446117,0.09201788,0.16295594,0.10184726,0.1219261,0.09636362,0.22164886,0.11958878,0.13259089,0.16653287,0.23714654,0.23294123,0.1950747,0.17049251
115,0.17662762,0.22086199,0.039996743,0.44093397,0.07139326,0.3125387,0.22159743,0.29904014,0.15071167,0.1632586,0.20768754,0.16993903,0.19808796,0.16765429,0.16039817,0.16273908,0.18475671,0.120027415,0.12538758,0.08954976,0.11957928,0.10123118,0.17820254,0.09396271,0.20470747,0.11874313,0.103396185,0.15689872,0.22141767,0.23658837,0.16060187,0.22924545
116,0.06097481,0.21170378,0.023437403,0.30349043,0.040328518,0.30117115,0.16639605,0.33741677,0.13243237,0.18150386,0.11221562,0.17206772,0.18117112,0.15794143,0.115170665,0.16979264,0.18569283,0.10000221,0.10687227,0.09081503,0.13454227,0.09742062,0.10880694,0.09604008,0.15623076,0.11213892,0.11505355,0.17950897,0.19180351,0.27614647,0.17957792,0.2214806
