,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,100,100,0,10,100,100,36,10,87,100,24,10,32,100,18,10,31,100,24,10,99,100,40,10,97,100,22,10,85,100,33,10,89,100,34,10,83,100,3,10,85,100,5,10,66,100,1,10,68,100,0,10,67,100,34,10,55,100,19,10,45,100,0,10,54,100,22
1,20,100,100,31,20,100,100,41,20,95,100,25,20,41,100,33,20,41,100,25,20,100,100,32,20,100,100,23,20,94,100,38,20,100,100,42,20,91,100,15,20,91,100,15,20,78,100,6,20,80,100,4,20,85,100,24,20,66,100,15,20,59,100,14,20,68,100,22
2,30,100,100,0,30,100,100,34,30,98,100,30,30,51,100,33,30,52,100,30,30,100,100,41,30,100,100,38,30,97,100,45,30,100,100,40,30,95,100,18,30,95,100,19,30,85,100,15,30,89,100,0,30,91,100,25,30,74,100,24,30,68,100,17,30,77,100,21
3,40,100,100,42,40,100,100,45,40,100,100,30,40,58,100,0,40,56,100,33,40,100,100,47,40,100,100,41,40,99,100,41,40,100,100,42,40,98,100,26,40,98,100,20,40,88,100,16,40,92,100,41,40,93,100,27,40,81,100,24,40,76,100,19,40,85,100,21
4,50,100,100,42,50,100,100,41,50,100,100,35,50,63,100,14,50,63,100,34,50,100,100,43,50,100,100,30,50,100,100,44,50,100,100,45,50,99,100,43,50,98,100,20,50,91,100,18,50,97,100,56,50,95,100,24,50,86,100,25,50,83,100,19,50,89,100,22
5,60,100,100,41,60,100,100,38,60,100,100,42,60,72,100,20,60,73,100,22,60,100,100,34,60,100,100,37,60,100,100,46,60,100,100,46,60,100,100,57,60,98,100,18,60,95,100,17,60,97,100,42,60,97,100,23,60,91,100,21,60,90,100,20,60,92,100,19
6,70,100,100,40,70,100,100,42,70,100,100,47,70,75,100,29,70,77,100,33,70,100,100,46,70,100,100,44,70,100,100,39,70,100,100,48,70,100,100,38,70,98,100,11,70,96,100,15,70,98,100,25,70,98,100,20,70,93,100,21,70,91,100,18,70,94,100,17
7,80,100,100,36,80,100,100,41,80,100,100,45,80,79,100,22,80,82,100,27,80,100,100,48,80,100,100,44,80,100,100,36,80,100,100,49,80,100,100,25,80,98,100,11,80,96,100,12,80,98,100,21,80,98,100,17,80,95,100,17,80,92,100,14,80,95,100,15
8,90,100,100,45,90,100,100,38,90,100,100,36,90,86,100,15,90,87,100,16,90,100,100,46,90,100,100,38,90,100,100,31,90,100,100,51,90,100,100,21,90,98,100,10,90,97,100,10,90,98,100,14,90,99,100,13,90,98,100,11,90,95,100,10,90,95,100,13
9,100,100,100,21,100,100,100,31,100,100,100,48,100,91,100,8,100,90,100,11,100,100,100,45,100,100,100,52,100,100,100,34,100,100,100,45,100,100,100,14,100,99,100,21,100,97,100,6,100,98,100,9,100,99,100,10,100,98,100,6,100,95,100,7,100,97,100,9
