,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,random spatio-temporal X_st rnd d_c train,random spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,random spatio-temporal X_st min d_c train,random spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,random spatio-temporal X_st max d_c train,random spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,random spatio-temporal X_st avg d_c train,random spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","random spatio-temporal X_(t,s) rnd d_c train","random spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","random spatio-temporal X_(t,s) min d_c train","random spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","random spatio-temporal X_(t,s) max d_c train","random spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","random spatio-temporal X_(t,s) avg d_c train","random spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","random spatio-temporal Y_hat_(t,s) rnd d_c train","random spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","random spatio-temporal Y_hat_(t,s) min d_c train","random spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","random spatio-temporal Y_hat_(t,s) max d_c train","random spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","random spatio-temporal Y_hat_(t,s) avg d_c train","random spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","random spatio-temporal Y_(t,s) rnd d_c train","random spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","random spatio-temporal Y_(t,s) min d_c train","random spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","random spatio-temporal Y_(t,s) max d_c train","random spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val","random spatio-temporal Y_(t,s) avg d_c train","random spatio-temporal Y_(t,s) avg d_c val"
test_loss,0.41591594,0.41591594,0.4256528,0.4256528,0.43160945,0.43160945,0.39548054,0.39548054,0.57295054,0.57295054,0.558646,0.558646,0.575175,0.575175,0.5247742,0.5247742,0.24571632,0.24571632,0.32709846,0.32709846,0.2341077,0.2341077,0.3026623,0.3026623,0.27305177,0.27305177,0.3145513,0.3145513,0.33031622,0.33031622,0.33501115,0.33501115,0.12765259,0.12765259,0.13882041,0.13882041,0.15020527,0.15020527,0.1467082,0.1467082,0.19635844,0.19635844,0.1345174,0.1345174,0.16000019,0.16000019,0.14283898,0.14283898,0.3282384,0.3282384,0.22351824,0.22351824,0.42033318,0.42033318,0.37221146,0.37221146,0.7102423,0.7102423,0.6382081,0.6382081,0.52210677,0.52210677,0.4147273,0.4147273
PL_loss,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614,0.40153614
RF_loss,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445,0.69688445
0,0.8564807,0.75912523,0.914808,0.6630297,1.0205475,0.7066462,1.2628816,0.67597884,0.8356061,0.7294347,0.8967762,0.71793723,1.1143825,0.7385337,0.97545516,0.64747596,1.6099494,0.6766499,1.0019337,0.6564707,1.3923861,0.6827716,1.1783931,0.68355346,1.5776185,0.61784077,1.0733864,0.6330303,1.922796,0.58368665,1.1187329,0.66803724,0.8207894,0.7093085,2.5459557,0.62230545,0.9071545,0.7085591,2.3913982,0.56170404,1.1642381,0.65116787,2.678929,0.7209417,1.1087674,0.64766985,2.8226118,1.9371716,6.6139565,0.44131017,3.2487714,0.65456605,6.610637,0.70437413,3.7295344,0.66262007,6.596887,1.6856027,4.03151,0.7361981,6.8241553,4.014223,3.8185186,0.66951644
1,0.6869083,0.6200895,0.7154453,0.5672186,0.72047925,0.9204407,0.76359606,0.6109035,0.56997633,0.68786705,0.7404438,0.6590182,0.87874573,0.6785346,0.7927498,0.63722277,1.3710221,0.5579834,0.8437033,0.62650794,1.2880617,0.6016215,0.95797634,0.60688454,1.1823227,0.534649,0.8629761,0.5538117,1.417763,0.5606735,0.95195603,0.62313414,0.695063,0.613246,2.0128684,0.52819467,0.76583916,0.6622807,1.7479212,0.5216925,0.97893435,0.5920446,2.3070076,0.49675518,0.9556811,0.63341093,2.3092892,0.4977996,4.857649,0.65521365,2.43162,0.54498535,4.9727716,0.7669469,2.9874334,0.6410138,5.0577807,3.435774,3.0708597,0.5218305,5.1161613,8.787783,2.9166634,0.73988295
2,0.5032854,0.5544817,0.6640535,0.542212,0.66598004,0.58260757,0.7016387,0.55512005,0.5135656,0.65332234,0.6423223,0.6454983,0.6975737,0.66424257,0.68821484,0.6412558,1.1128076,0.54461104,0.78460836,0.57887596,1.1160998,0.5497493,0.83927447,0.54161257,1.0241789,0.55947286,0.7961756,0.5667357,1.2607175,0.67859083,0.8407945,0.5965126,0.59502804,0.69258094,1.777342,0.4978805,0.6798266,0.5916984,1.6553886,0.4902811,0.8227903,0.56388426,2.097809,0.47831714,0.79825145,0.5616594,2.1230905,0.47647014,4.2321973,0.6074918,2.3012466,0.484676,4.1794424,0.7645107,2.6532037,0.53037345,4.456817,1.5502796,2.774279,0.5683487,4.6423054,2.0813754,2.897872,0.6987873
3,0.4598275,0.5298835,0.6613213,0.53994095,0.5784929,0.56553084,0.6197571,0.5695547,0.4940606,0.6467739,0.66246027,0.6484064,0.5935438,0.6764513,0.73695976,0.58190846,1.0356582,0.50407195,0.6912212,0.51806074,1.021271,0.532927,0.815589,0.5082881,0.998095,0.53868717,0.7575819,0.5189816,1.2012886,0.5433064,0.8207665,0.5477477,0.56839997,0.5748605,1.6780705,0.4484562,0.64064735,0.6080829,1.5518456,0.49487734,0.8029497,0.57228124,1.9709418,0.45884207,0.79657406,0.5454577,2.1449437,0.45418307,3.7575412,0.49257115,2.1973145,0.5518627,3.581181,0.5261866,2.375087,0.52998066,3.933512,0.9166546,2.6599631,0.5339633,3.9490347,1.2889363,2.7714798,0.5994348
4,0.42644447,0.5747431,0.5679816,0.56847495,0.51889026,0.540457,0.57359266,0.55776644,0.48224172,0.6213534,0.5714913,0.61967087,0.6347294,0.58808696,0.6178605,0.6271092,0.95754194,0.5072321,0.68574333,0.53419,1.003355,0.5200472,0.7766924,0.52866226,0.9165757,0.54249376,0.70961165,0.5247741,1.1405312,0.50734353,0.7172097,0.56300735,0.55964327,0.5731934,1.6212445,0.43592733,0.5920557,0.65838337,1.4893787,0.46748048,0.824106,0.55760384,1.9020877,0.41971236,0.70137215,0.51160794,1.8946232,0.4190323,3.2934213,0.4904189,2.0012305,0.5288341,3.3006976,0.6943099,2.0796413,0.5018359,3.5296588,1.0071423,2.380888,0.6562544,3.565794,1.2048013,2.5716856,0.4808283
5,0.43483886,0.51495844,0.579977,0.5084754,0.48541984,0.70258754,0.5437479,0.5663611,0.45948315,0.6012017,0.56025225,0.58300674,0.59614474,0.58731556,0.6587508,0.58563435,0.9426523,0.48688588,0.67623305,0.5039138,0.9459369,0.48570794,0.69303703,0.5203419,0.90653455,0.5373141,0.7008716,0.54088134,1.1156492,0.5013981,0.6936706,0.50877964,0.61275566,0.5349817,1.4700139,0.42929432,0.5879465,0.5574596,1.3691608,0.43838048,0.7802546,0.52051294,1.6860952,0.45960858,0.6641708,0.5280864,1.7339449,0.43220127,3.0752823,0.6845452,1.9822946,0.45257115,3.1301088,0.5922152,2.1021862,0.4458201,3.2267313,0.5744116,2.2064931,0.6561121,3.3696456,0.48451197,2.3723824,0.59921104
6,0.41325027,0.50553095,0.4998685,0.5243048,0.4769729,0.5697062,0.51953244,0.53826815,0.43189538,0.61310124,0.54371655,0.6058478,0.5544637,0.60027754,0.5919557,0.5904752,0.91480094,0.48156017,0.649088,0.5201818,0.9178908,0.4891831,0.65824306,0.61985475,0.86493874,0.53573066,0.67233,0.503836,1.0701792,0.5061573,0.674803,0.55362266,0.54558206,0.5476756,1.3735849,0.4427389,0.5486643,0.49124336,1.2951286,0.45530346,0.7704257,0.51295906,1.5010567,0.42109728,0.67833674,0.5283087,1.708602,0.45758536,2.9998674,0.41105372,1.7700149,0.5297429,2.9988215,0.5130411,1.947246,0.6946821,3.096214,0.6611932,2.0007772,0.64866555,3.1050334,0.71297294,2.2423365,0.4752163
