,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,100,34,10,100,100,32,10,98,100,34,10,45,100,26,10,45,100,26,10,99,99,39,10,93,96,39,10,67,90,33,10,84,92,33,10,100,83,35,10,97,82,39,10,82,82,34,10,94,81,38,10,73,99,3,10,54,100,11,10,38,100,0,10,48,100,0
1,19,100,100,40,19,100,100,41,19,100,100,39,15,56,100,24,15,53,100,25,19,100,100,48,20,100,100,46,19,96,100,36,19,100,100,39,19,100,100,49,19,100,100,60,19,97,100,45,19,100,100,55,15,81,100,38,14,59,100,21,14,41,100,0,14,55,100,11
2,28,100,100,44,27,100,100,41,26,100,100,40,18,58,100,26,18,57,100,29,28,100,100,50,28,100,100,52,27,100,100,36,27,100,100,48,26,100,100,64,26,100,100,68,26,98,100,62,26,100,100,64,19,86,100,33,17,62,100,22,16,45,100,0,17,59,100,12
3,37,100,100,44,34,100,100,43,33,100,100,40,21,59,100,24,20,58,100,28,36,100,100,55,36,100,100,56,33,100,100,44,34,100,100,50,32,100,100,69,31,100,100,70,31,98,100,67,30,100,100,69,23,88,100,50,20,65,100,6,17,46,100,0,19,62,100,21
4,45,100,100,44,41,100,100,46,39,100,100,45,22,59,100,25,22,58,100,25,44,100,100,60,43,100,100,60,39,100,100,48,40,100,100,55,35,100,100,68,35,100,100,72,34,98,100,67,33,100,100,71,26,92,100,45,21,69,100,20,19,48,100,0,21,63,100,0
5,53,100,100,47,48,100,100,44,45,100,100,42,24,61,100,26,23,58,100,25,51,100,100,60,50,100,100,61,43,100,100,49,46,100,100,60,39,100,100,73,38,100,100,71,36,98,100,66,35,100,100,69,28,92,100,56,23,70,100,26,20,48,100,0,22,64,100,18
6,60,100,100,46,54,100,100,47,50,100,100,43,26,63,100,23,25,60,100,27,57,100,100,62,56,100,100,65,48,100,100,49,51,100,100,59,41,100,100,72,41,100,100,74,38,99,100,68,37,100,100,72,31,93,100,56,24,71,100,33,21,48,100,0,24,66,100,19
7,67,100,100,48,60,100,100,42,55,100,100,44,27,64,100,20,26,60,100,26,62,100,100,64,62,100,100,67,52,100,100,49,55,100,100,63,43,100,100,74,43,100,100,74,39,99,100,72,38,100,100,73,33,94,100,55,25,72,100,20,22,48,100,0,25,67,100,16
8,73,100,100,51,66,100,100,49,60,100,100,44,28,64,100,24,27,61,100,24,68,100,100,68,66,100,100,69,55,100,100,51,60,100,100,65,45,100,100,75,45,100,100,73,40,99,100,72,40,100,100,74,35,95,100,58,26,73,100,33,22,49,100,0,26,68,100,10
9,80,100,100,50,71,100,100,49,64,100,100,44,29,64,100,23,28,61,100,19,73,100,100,67,71,100,100,70,58,100,100,51,64,100,100,66,47,100,100,75,48,100,100,75,41,99,100,73,41,100,100,73,37,96,100,60,27,75,100,33,23,50,100,0,27,68,100,17
