,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,"spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val"
t_iter_avg,47.5,47.5,161.4,161.4,275.5,275.5,300.6,300.6,326.7,326.7,75.5,75.5,116.1,116.1,276.2,276.2,445.9,445.9,197.3,197.3,283.5,283.5,380,380,498.4,498.4,147.2,147.2,234.4,234.4,364.5,364.5,486,486
budget_usage,0.799423772451419,0.799423772451419,0.602096487463986,0.602096487463986,0.46582480230491,0.46582480230491,0.383068718200208,0.383068718200208,0.309139949733341,0.309139949733341,0.711947526512597,0.711947526512597,0.665358916201802,0.665358916201802,0.635321522711948,0.635321522711948,0.603383804327837,0.603383804327837,0.554343161895421,0.554343161895421,0.449457487893091,0.449457487893091,0.382333108563722,0.382333108563722,0.353889535952921,0.353889535952921,0.421504321706614,0.421504321706614,0.299147918837737,0.299147918837737,0.244835407343836,0.244835407343836,0.213817201005333,0.213817201005333
sensor_usage,1,1,0.995495495495496,0.995495495495496,0.923423423423423,0.923423423423423,0.81981981981982,0.81981981981982,0.702702702702703,0.702702702702703,1,1,1,1,1,1,1,1,1,1,0.995495495495496,0.995495495495496,0.995495495495496,0.995495495495496,0.986486486486486,0.986486486486486,0.648648648648649,0.648648648648649,0.531531531531532,0.531531531531532,0.490990990990991,0.490990990990991,0.441441441441441,0.441441441441441
streamtime_usage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_loss,0.42375606,0.42375606,0.450968205928803,0.450968205928803,0.5137859582901,0.5137859582901,0.49233803153038,0.49233803153038,0.504519820213318,0.504519820213318,0.205286309123039,0.205286309123039,0.197184532880783,0.197184532880783,0.269675672054291,0.269675672054291,0.2936130464077,0.2936130464077,0.088405296206474,0.088405296206474,0.114801622927189,0.114801622927189,0.139586538076401,0.139586538076401,0.155251920223236,0.155251920223236,0.44117021560669,0.44117021560669,0.607688307762146,0.607688307762146,0.617896795272827,0.617896795272827,0.709368884563446,0.709368884563446
RF_loss,0.6675844,0.6675844,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488,0.667584419250488
cand_subsample_rate,,,0.25,0.25,0.5,0.5,0.75,0.75,1,1,0.25,0.25,0.5,0.5,0.75,0.75,1,1,0.25,0.25,0.5,0.5,0.75,0.75,1,1,0.25,0.25,0.5,0.5,0.75,0.75,1,1
points_percluster_rate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.758419811725616,0.545878887176514,0.776102364063263,0.703393340110779,0.880626738071442,0.7028529047966,1.01194632053375,0.665916502475739,0.781066298484802,0.649216711521149,1.1342716217041,0.762296855449677,1.23260068893433,0.582451641559601,1.37999093532562,0.56934118270874,1.62974500656128,0.610142290592194,1.26114845275879,0.611528158187866,2.19946813583374,0.606881678104401,2.49978470802307,0.59413468837738,2.83105707168579,0.530792415142059,3.08790302276611,0.709415197372437,4.02650260925293,0.797869086265564,5.27746200561523,0.705002307891846,6.1339898109436,0.658218562602997
1,0.618834972381592,0.685651361942291,0.659505307674408,0.66413676738739,0.708162069320679,0.610237181186676,0.696196854114533,0.60635894536972,0.639458477497101,0.570937931537628,0.920902729034424,0.53331458568573,1.05544865131378,0.547474145889282,1.15684235095978,0.518612504005432,1.25148022174835,0.524792611598969,1.04330396652222,0.537497878074646,2.01527214050293,0.552424430847168,2.03707146644592,0.483027338981628,2.19960737228394,0.481369316577911,2.16548347473145,0.576148688793182,3.35359930992126,0.627583205699921,4.23118400573731,0.549070775508881,4.96635627746582,0.616978287696838
