,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,96,48,10,100,99,54,10,100,99,50,10,95,95,56,10,89,95,50,10,100,79,52,10,100,71,51,10,95,56,53,10,100,63,54,10,97,62,33,10,97,61,30,10,92,51,31,10,97,55,37,10,89,97,53,10,75,98,59,10,58,97,44,10,66,97,50
1,20,100,100,49,20,100,100,58,20,100,100,61,20,98,100,52,20,100,100,51,20,100,99,57,20,100,96,54,20,100,82,52,20,100,93,52,20,100,98,55,20,100,98,59,20,100,96,56,20,100,99,60,20,94,99,55,20,86,100,47,20,68,100,43,20,75,100,42
2,30,100,100,55,30,100,100,60,30,100,100,66,30,100,100,61,30,100,100,57,30,100,100,61,30,100,99,51,30,100,93,56,30,100,99,58,30,100,100,63,30,100,100,67,30,100,100,69,30,100,100,68,30,95,100,49,30,91,100,45,30,71,100,41,30,77,100,39
3,40,100,100,51,40,100,100,64,40,100,100,65,40,100,100,59,40,100,100,49,40,100,100,60,40,100,100,55,40,100,96,57,40,100,100,60,40,100,100,72,40,100,100,69,40,100,100,70,40,100,100,69,40,97,100,48,40,95,100,46,40,77,100,42,40,86,100,43
4,50,100,100,48,50,100,100,55,50,100,100,56,50,100,100,48,50,100,100,42,50,100,100,61,50,100,100,56,50,100,99,59,50,100,100,60,50,100,100,68,50,100,100,68,50,100,100,68,50,100,100,65,50,98,100,44,50,97,100,44,50,78,100,41,50,94,100,42
5,60,100,100,55,60,100,100,38,60,100,100,44,60,100,100,34,60,100,100,34,60,100,100,61,60,100,100,59,60,100,100,58,60,100,100,59,60,100,100,59,60,100,100,63,60,100,100,58,60,100,100,59,60,100,100,39,60,98,100,36,60,89,100,35,60,95,100,39
6,70,100,100,56,70,100,100,30,70,100,100,40,70,100,100,32,70,100,100,31,70,100,100,60,70,100,100,57,70,100,100,57,70,100,100,60,70,100,100,36,70,100,100,43,70,100,100,36,70,100,100,50,70,100,100,34,70,98,100,33,70,92,100,32,70,97,100,36
7,80,100,100,53,80,100,100,26,80,100,100,39,80,100,100,22,80,100,100,29,80,100,100,61,80,100,100,60,80,100,100,59,80,100,100,60,80,100,100,33,80,100,100,48,80,100,100,40,80,100,100,39,80,100,100,31,80,98,100,27,80,92,100,31,80,97,100,32
8,90,100,100,58,90,100,100,25,90,100,100,32,90,100,100,25,90,100,100,29,90,100,100,61,90,100,100,59,90,100,100,56,90,100,100,58,90,100,100,32,90,100,100,38,90,100,100,34,90,100,100,38,90,100,100,31,90,100,100,24,90,94,100,26,90,98,100,30
9,100,100,100,60,100,100,100,21,100,100,100,32,100,100,100,30,100,100,100,27,100,100,100,62,100,100,100,60,100,100,100,54,100,100,100,58,100,100,100,30,100,100,100,28,100,100,100,35,100,100,100,25,100,100,100,25,100,100,100,16,100,97,100,24,100,98,100,23
