,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,96,57,10,100,99,60,10,100,99,62,10,94,95,59,10,91,96,58,10,100,91,58,10,100,89,59,10,88,77,57,10,100,80,61,10,100,76,57,10,100,75,57,10,97,66,62,10,100,67,60,10,89,93,66,10,77,95,60,10,55,96,36,10,62,95,43
1,19,100,100,60,18,100,100,63,15,100,100,64,15,97,100,58,14,94,100,61,19,100,99,66,20,100,98,67,19,100,92,66,19,100,97,66,19,100,98,71,19,100,97,72,19,97,97,70,19,100,98,71,16,97,99,69,14,82,99,60,14,62,99,40,15,63,99,52
2,28,100,100,62,24,100,100,67,16,100,100,63,16,98,100,61,16,98,100,62,28,100,100,68,28,100,100,69,27,100,96,70,27,100,98,68,25,100,100,74,26,100,100,75,25,97,100,74,26,100,100,75,21,98,100,72,17,83,99,64,16,63,99,43,17,68,100,53
3,37,100,100,65,29,100,100,68,18,100,100,64,17,98,100,61,17,98,100,62,37,100,100,71,36,100,100,70,33,100,97,70,34,100,99,70,30,100,100,75,31,100,100,75,29,97,100,76,30,100,100,76,25,98,100,72,20,86,100,64,18,65,100,45,20,72,100,55
4,45,100,100,65,33,100,100,69,18,100,100,66,17,98,100,60,17,98,100,59,44,100,100,71,44,100,100,69,38,100,98,72,40,100,100,71,35,100,100,77,36,100,100,77,32,98,100,76,34,100,100,77,29,100,100,75,21,86,100,64,19,66,100,40,21,72,100,53
5,53,100,100,67,37,100,100,70,19,100,100,65,18,98,100,58,18,98,100,63,51,100,100,72,50,100,100,70,42,100,98,73,45,100,100,71,38,100,100,78,39,100,100,77,34,100,100,76,36,100,100,77,32,100,100,75,23,86,100,66,21,68,100,42,23,77,100,55
6,60,100,100,67,41,100,100,69,20,100,100,66,18,98,100,60,18,98,100,63,58,100,100,73,57,100,100,71,45,100,99,73,50,100,100,73,40,100,100,79,42,100,100,79,36,100,100,77,38,100,100,77,34,100,100,75,24,86,100,66,22,68,100,48,24,78,100,59
7,67,100,100,68,44,100,100,71,20,100,100,65,18,98,100,61,18,98,100,64,64,100,100,72,62,100,100,73,49,100,99,74,54,100,100,72,43,100,100,80,44,100,100,79,37,100,100,78,40,100,100,78,36,100,100,76,25,86,100,62,22,68,100,46,25,78,100,60
8,74,100,100,69,48,100,100,72,20,100,100,66,19,98,100,62,19,98,100,63,69,100,100,75,68,100,100,74,52,100,99,74,58,100,100,72,44,100,100,80,46,100,100,79,38,100,100,80,41,100,100,79,39,100,100,76,26,88,100,68,23,69,100,45,26,78,100,56
9,80,100,100,69,51,100,100,72,20,100,100,66,19,98,100,60,19,98,100,63,74,100,100,75,73,100,100,74,55,100,99,75,62,100,100,73,46,100,100,80,48,100,100,80,39,100,100,77,42,100,100,79,41,100,100,77,27,88,100,66,24,71,100,47,27,78,100,58
