,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
test_loss,0.2679923,0.2679923,0.34833744,0.34833744,0.47253913,0.47253913,0.3647042,0.3647042,0.23742482,0.23742482,0.23185852,0.23185852,0.24650487,0.24650487,0.23109485,0.23109485,0.1329374,0.1329374,0.1416719,0.1416719,0.14982226,0.14982226,0.13016352,0.13016352,0.17922546,0.17922546,0.31636238,0.31636238,0.53344965,0.53344965,0.36304584,0.36304584
0,15.371255,0.4338546,24.24805,0.44723544,21.498919,0.4625968,11.441942,0.85105085,3.5087247,0.3968388,9.175673,0.3926519,3.0646777,0.46364525,6.4740276,0.40138888,13.266019,0.3937832,10.968112,0.6435626,4.9285984,0.39910927,19.867493,0.41425753,4.1612344,0.39498657,5.9211564,0.5379857,4.5442457,0.46980718,5.6784387,0.43795612
1,0.85231453,0.35542914,0.34032997,0.42657343,0.96047413,0.44547588,0.79661095,0.41099015,0.9823299,0.34377202,0.5544774,0.34448984,0.70663327,0.40498775,0.68021965,0.48696056,1.1869106,0.36944512,1.088021,0.3231949,1.3916676,0.3203706,1.6753627,0.32796013,1.173843,0.34734967,1.3684882,0.40203986,1.496358,0.4720941,1.4981813,0.73670036
2,0.5088158,0.36420083,0.32806435,0.37878537,0.73873764,0.35490274,0.6821725,0.34312695,0.5389693,0.34722185,0.5146807,0.36501116,0.45766702,0.39572555,0.49335673,0.3529102,0.881146,0.31959692,0.9272568,0.323842,1.0660197,0.30449864,1.0006487,0.30861568,0.9986815,0.32298148,1.2071881,0.36704156,1.3201412,0.9723318,1.3726274,0.79943424
3,0.42029825,0.34929737,0.271827,0.37391046,0.6409749,0.43420568,0.583636,0.33638853,0.46061987,0.3564556,0.48404488,0.34259728,0.39601082,0.32927495,0.4789319,0.362191,0.87697303,0.31475574,0.8431293,0.31243256,1.0087576,0.3313425,0.90428686,0.2978797,0.9076874,0.29851404,1.0772386,0.3651562,1.1880156,3.8544261,1.2855816,0.35372746
4,0.43633094,0.32600853,0.2752861,0.3658517,0.62630546,0.34171537,0.5720767,0.3382083,0.4172507,2.3143492,0.3875716,0.34016782,0.36897507,0.36011836,0.41082782,0.7449286,0.7759522,0.2866939,0.81837845,0.2862904,0.9877713,0.28538164,0.8391824,0.28930435,0.86899257,0.302284,0.99507666,0.46884727,1.1570691,0.5525968,1.1929184,0.37592745
5,0.35521588,0.33227718,0.2521532,0.3977839,0.56888694,0.32894152,0.5732251,0.33225423,0.7138405,0.3177329,0.3711872,0.30500752,0.34786034,0.33414644,0.40121943,0.40171057,0.7366815,0.28259,0.7219573,0.2792009,0.9002196,0.2815655,0.741046,0.28069595,0.86403006,0.2943746,0.9582422,0.34042907,1.0533739,0.46355343,1.121375,0.34942615
6,0.3518187,0.30841663,0.23626897,0.34765327,0.53972054,0.32587117,0.5234105,0.32704636,0.38426852,0.3015599,0.33424813,0.3479522,0.34074366,0.31368092,0.4293936,0.32120794,0.69438326,0.2794839,0.7155232,0.2820725,0.83552015,0.28711087,0.72276324,0.26963502,0.7480749,0.27528158,0.88662165,0.37498415,1.016418,1.2457547,1.0483782,0.34661758
7,0.32313988,0.30506578,0.22600712,0.35154554,0.5499986,0.32968423,0.4823359,0.3365867,0.3865976,0.3138195,0.34803993,0.31001148,0.325608,0.40160018,0.4108171,0.31477252,0.66539615,0.27970195,0.65270257,0.28276098,0.7852169,0.28069672,0.6838781,0.27995586,0.7250095,0.29216304,0.8423181,0.3072685,0.950119,0.3808401,1.0165677,0.516975
8,0.31392294,0.30341685,0.22966723,0.42148522,0.511173,0.32608747,0.4618082,0.3571993,0.32853746,0.34921384,0.31157073,0.34884414,0.30752605,0.3374893,0.41676337,0.2984076,0.6317883,0.28481498,0.64563334,0.26344362,0.7800617,0.28339776,0.6380461,0.26260197,0.69337815,0.31469584,0.80556273,0.34248725,0.9021558,0.47237888,0.956213,0.3861508
