,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,100,90,41,10,100,100,43,10,88,100,45,10,42,100,37,10,42,100,37,10,100,95,44,10,100,88,41,10,94,66,37,10,98,76,44,10,94,98,37,10,91,95,31,10,75,93,0,10,74,95,36,10,86,95,53,10,55,98,25,10,51,95,16,10,58,95,48
1,19,100,98,43,17,100,100,47,17,97,100,48,16,45,100,30,17,45,100,34,19,100,98,47,19,100,98,36,19,98,80,49,19,100,93,47,19,100,98,61,18,98,98,61,17,83,98,63,18,91,98,62,16,92,98,52,14,58,98,32,14,62,98,41,14,68,98,38
2,29,100,98,45,22,100,100,40,23,100,100,55,21,46,100,24,21,48,100,34,28,100,98,52,28,100,98,47,26,98,88,49,27,100,98,49,25,100,100,71,25,98,98,69,23,89,98,71,23,91,100,67,21,95,98,55,17,65,98,44,16,63,98,30,17,68,98,48
3,37,100,98,42,27,100,100,47,26,100,100,53,24,48,100,11,25,49,100,29,36,100,98,57,36,100,98,48,32,100,90,52,34,100,98,52,30,100,100,75,30,100,98,74,26,91,98,73,27,95,100,73,25,95,98,62,19,69,98,48,18,65,98,36,19,71,98,41
4,45,100,98,42,31,100,100,45,30,100,100,56,27,49,100,0,28,49,100,13,44,100,98,59,43,100,98,49,37,100,93,55,40,100,98,57,34,100,100,78,33,100,98,74,29,91,98,75,31,95,100,75,28,97,98,61,20,71,98,46,20,68,98,36,21,71,98,46
5,53,100,98,43,34,100,100,52,34,100,100,55,30,51,100,4,30,49,100,21,51,100,98,62,50,100,98,56,42,100,95,57,46,100,98,61,37,100,100,79,36,100,98,75,31,94,98,76,33,95,100,75,32,100,98,67,22,72,98,48,21,68,98,33,22,72,98,51
6,60,100,98,41,38,100,100,49,37,100,100,51,32,55,100,0,33,51,100,8,58,100,98,66,56,100,98,61,47,100,95,60,51,100,98,62,39,100,100,80,39,100,98,76,32,94,98,76,36,95,100,77,35,100,100,65,23,72,98,48,22,69,98,37,24,72,98,48
7,67,100,98,42,41,100,100,49,40,100,100,58,35,58,100,0,35,51,100,0,64,100,100,69,61,100,98,63,51,100,98,60,56,100,98,63,42,100,100,81,42,100,98,79,34,94,98,74,37,95,100,79,37,100,100,70,24,72,98,52,23,72,98,29,25,72,98,45
8,74,100,98,45,44,100,100,50,43,100,100,59,37,62,100,0,36,54,100,0,69,100,100,72,66,100,98,63,54,100,98,59,61,100,98,65,44,100,100,81,45,100,98,80,35,97,98,77,39,95,100,80,40,100,100,71,25,74,98,52,24,72,98,36,26,72,98,44
9,80,100,98,47,48,100,100,54,46,100,100,60,38,62,100,0,38,57,100,0,75,100,100,73,70,100,98,67,57,100,98,62,65,100,98,66,47,100,100,83,46,100,98,79,36,97,98,78,40,95,100,80,42,100,100,71,26,74,98,45,24,72,98,43,27,74,98,50
