,spatial None PL train,spatial None PL val,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
t_iter_avg,16.7,16.7,300.6,300.6,292.7,292.7,250.3,250.3,241.4,241.4,345.8,345.8,373.9,373.9,413.6,413.6,327.5,327.5,387.5,387.5,331.9,331.9,322.7,322.7,316.6,316.6,287.8,287.8,287.4,287.4,300.8,300.8,294.4,294.4
budget_usage,0.8030905077262693,0.8030905077262693,0.4759381898454746,0.4759381898454746,0.45827814569536424,0.45827814569536424,0.3823399558498896,0.3823399558498896,0.3789551140544518,0.3789551140544518,0.7476085356880059,0.7476085356880059,0.7038999264164827,0.7038999264164827,0.5713024282560707,0.5713024282560707,0.6484179543782193,0.6484179543782193,0.4650478292862399,0.4650478292862399,0.46387049300956584,0.46387049300956584,0.3615894039735099,0.3615894039735099,0.4032376747608536,0.4032376747608536,0.42295805739514347,0.42295805739514347,0.26269315673289184,0.26269315673289184,0.2440029433406917,0.2440029433406917,0.2669610007358352,0.2669610007358352
sensor_usage,1.0,1.0,1.0,1.0,1.0,1.0,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.5692307692307692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9692307692307692,0.9692307692307692,0.9538461538461539,0.9538461538461539,1.0,1.0,0.7384615384615385,0.7384615384615385,0.7230769230769231,0.7230769230769231,0.7384615384615385,0.7384615384615385
streamtime_usage,0.975609756097561,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,1.0,1.0,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,1.0,1.0,1.0,1.0,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561
test_loss,0.32417417,0.32417417,0.2799050509929657,0.2799050509929657,0.24340352416038513,0.24340352416038513,0.6095320582389832,0.6095320582389832,0.6074507236480713,0.6074507236480713,0.16677381098270416,0.16677381098270416,0.1987665295600891,0.1987665295600891,0.23067866265773773,0.23067866265773773,0.2041502445936203,0.2041502445936203,0.10571553558111191,0.10571553558111191,0.12720434367656708,0.12720434367656708,0.1333063542842865,0.1333063542842865,0.12283891439437866,0.12283891439437866,0.17479810118675232,0.17479810118675232,0.3327142298221588,0.3327142298221588,0.3469511568546295,0.3469511568546295,0.3007732927799225,0.3007732927799225
RF_loss,0.6071892,0.6071892,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969,0.6071891784667969
cand_subsample_rate,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
points_percluster_rate,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0.7423937916755676,0.590634822845459,1.9296289682388306,0.34243932366371155,2.0205535888671875,0.34054550528526306,1.7771786451339722,0.38749679923057556,1.955657958984375,0.38148200511932373,1.0827573537826538,0.3768217861652374,1.0491658449172974,0.5239436030387878,1.2192127704620361,0.3961169421672821,1.2266032695770264,0.39477553963661194,1.4669328927993774,0.6546550393104553,1.4670448303222656,0.7103338241577148,1.5354551076889038,0.7122789025306702,1.526123046875,0.7030407190322876,2.6882383823394775,0.40366217494010925,2.5261569023132324,0.3976407051086426,2.7582218647003174,0.5507906079292297,2.748383045196533,0.43607643246650696
1,0.4571159780025482,0.6293094754219055,0.899564266204834,0.3322594463825226,0.939714252948761,0.32768309116363525,0.8549495935440063,0.37950849533081055,0.9701247215270996,0.3752948045730591,0.6823768019676208,0.3472026586532593,0.6715455055236816,0.37008634209632874,0.742009699344635,0.3929120898246765,0.7399160265922546,0.3281855285167694,1.0799729824066162,0.5003361701965332,1.0630955696105957,0.6353194117546082,1.1138129234313965,0.6867427229881287,1.1556962728500366,0.6438155770301819,1.8740441799163818,0.3104844093322754,1.724904179573059,0.4083879590034485,1.8361444473266602,0.5204338431358337,1.8416553735733032,0.35342228412628174
