,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
test_loss,0.17203641,0.17203641,0.26092204,0.26092204,0.16483162,0.16483162,0.1565844,0.1565844,0.07702765,0.07702765,0.059531763,0.059531763,0.054097626,0.054097626,0.057893746,0.057893746,0.0324046,0.0324046,0.03636366,0.03636366,0.0329663,0.0329663,0.03184305,0.03184305,0.050528053,0.050528053,0.059136443,0.059136443,0.053410172,0.053410172,0.05381862,0.05381862
0,0.347664,0.31818235,0.1766831,0.33858082,0.5257085,0.28754517,0.42824352,0.28115314,0.53607315,0.2658297,0.9516094,0.24823546,0.7305855,0.25511226,0.5592531,0.25823325,0.78003055,0.2989258,0.6061846,0.31458676,0.4569472,0.30829158,0.47884858,0.2713604,0.5736646,0.32838976,0.655993,0.27054095,0.54303473,0.2729236,0.4298159,0.28552684
1,0.29297292,0.28870302,0.15954015,0.33470184,0.36817876,0.26991025,0.36038673,0.263304,0.42278802,0.26520804,0.64804345,0.2533995,0.5435746,0.22950947,0.41613674,0.24890551,0.590092,0.25056687,0.5424942,0.2597559,0.382726,0.28470826,0.39577803,0.2681957,0.5025872,0.24999143,0.5518684,0.2573945,0.43221623,0.27828318,0.36506733,0.29734558
2,0.25960925,0.28017515,0.14747697,0.33317068,0.32371607,0.26123273,0.33036184,0.27117285,0.36124575,0.24753438,0.5503858,0.22935699,0.47359955,0.24594913,0.36866084,0.23991866,0.5396773,0.27245015,0.4242428,0.25328353,0.34882876,0.26031372,0.3592683,0.2711559,0.45306996,0.24221446,0.5001387,0.2231654,0.37458402,0.25199685,0.35466167,0.27822688
3,0.21506852,0.27454796,0.13703758,0.35126868,0.25570166,0.2883457,0.31266344,0.28052905,0.3029355,0.26329324,0.51302665,0.25180057,0.42935553,0.29215026,0.3118243,0.25783718,0.49263573,0.25797865,0.39593938,0.24367656,0.32824218,0.25931007,0.35539964,0.25192094,0.462539,0.26084745,0.37677878,0.24899113,0.34915033,0.25173494,0.29586717,0.2750436
4,0.22684757,0.2860659,0.13417378,0.32348984,0.27377152,0.25334668,0.2477741,0.29390436,0.25485948,0.30101514,0.4686684,0.23718491,0.35941422,0.22111166,0.30545992,0.24442635,0.4135822,0.3689462,0.30915934,0.26820508,0.29133785,0.2519543,0.28154078,0.27173972,0.32614908,0.34927547,0.43323717,0.21465701,0.2892958,0.23569374,0.25206122,0.2728324
5,0.18764861,0.2928564,0.11942085,0.306141,0.22053021,0.24749468,0.27935487,0.2876448,0.24207333,0.28664568,0.43582448,0.22951366,0.35564554,0.24784037,0.2679729,0.24747002,0.3712186,0.21948215,0.29340062,0.24009177,0.28307447,0.26227698,0.28897157,0.27857304,0.34385762,0.26405868,0.41716847,0.22741427,0.27318656,0.2492419,0.21947235,0.28283668
6,0.15218574,0.30579287,0.11932332,0.32310182,0.18262634,0.24754412,0.26928842,0.26217577,0.22475553,0.25086296,0.39552775,0.22094092,0.32089704,0.21766604,0.25604665,0.24503326,0.36304468,0.28021038,0.23329121,0.24288978,0.24488622,0.26487526,0.22864181,0.30443403,0.26377523,0.2704878,0.33642668,0.21676011,0.19623934,0.32240877,0.23893648,0.28757924
7,0.1579769,0.2880648,0.114258476,0.3072071,0.18522972,0.2501041,0.2378836,0.26519337,0.19558275,0.28953105,0.3943244,0.23442541,0.31129888,0.24151188,0.2267126,0.2447807,0.37704426,0.24422397,0.22241253,0.24006747,0.2167049,0.25504947,0.23946036,0.25481364,0.2939749,0.25090182,0.31259835,0.22361457,0.2160348,0.23669042,0.1967029,0.2930288
8,0.16571723,0.28467092,0.107313424,0.31345874,0.15638174,0.27729183,0.21135587,0.28781283,0.20874411,0.26966462,0.342883,0.23733936,0.29718083,0.20965877,0.19608724,0.24649632,0.29229122,0.2911976,0.19289427,0.2394187,0.21320285,0.2748673,0.19491734,0.2542261,0.23341724,0.27535197,0.26745757,0.29774725,0.21594761,0.27718192,0.18566486,0.2876344
