,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,100,94,54,10,100,100,58,10,94,100,61,10,48,100,55,10,51,100,48,10,100,96,56,10,100,87,53,10,98,65,52,10,100,86,53,10,97,93,57,10,95,95,57,10,97,81,59,10,97,88,55,10,86,97,53,10,71,98,39,10,57,92,42,10,74,94,51
1,20,100,100,53,20,100,100,56,20,100,100,59,20,100,100,50,20,95,100,55,20,100,100,55,20,100,95,55,20,100,84,56,20,100,99,59,20,97,99,65,20,100,100,64,20,97,99,64,20,97,99,67,20,98,100,60,20,80,100,54,20,74,99,53,20,85,100,51
2,30,100,100,54,30,100,100,52,30,100,100,55,30,100,100,46,30,100,100,48,30,100,100,61,30,100,99,59,30,100,93,59,30,100,100,62,30,100,100,64,30,100,100,67,30,100,100,67,30,97,100,68,30,100,100,63,30,89,100,57,30,78,100,57,30,88,100,56
3,40,100,100,59,40,100,100,51,40,100,100,52,40,100,100,44,40,100,100,48,40,100,100,63,40,100,99,61,40,100,99,63,40,100,100,62,40,100,100,64,40,100,100,66,40,100,100,52,40,98,100,66,40,100,100,59,40,91,100,51,40,85,100,59,40,91,100,60
4,50,100,100,56,50,100,100,50,50,100,100,51,50,100,100,46,50,100,100,49,50,100,100,62,50,100,99,61,50,100,99,60,50,100,100,64,50,100,100,63,50,100,100,64,50,100,100,55,50,98,100,62,50,100,100,59,50,94,100,53,50,86,100,58,50,94,100,55
5,60,100,100,57,60,100,100,50,60,100,100,49,60,100,100,45,60,100,100,47,60,100,100,63,60,100,99,62,60,100,100,64,60,100,100,60,60,100,100,58,60,100,100,60,60,100,100,53,60,100,100,56,60,100,100,55,60,95,100,51,60,94,100,57,60,94,100,52
6,70,100,100,59,70,100,100,51,70,100,100,50,70,100,100,47,70,100,100,48,70,100,100,63,70,100,100,64,70,100,100,64,70,100,100,62,70,100,100,55,70,100,100,55,70,100,100,51,70,100,100,54,70,100,100,53,70,95,100,48,70,97,100,54,70,98,100,52
7,80,100,100,61,80,100,100,49,80,100,100,50,80,100,100,48,80,100,100,50,80,100,100,64,80,100,100,64,80,100,100,61,80,100,100,64,80,100,100,54,80,100,100,54,80,100,100,50,80,100,100,51,80,100,100,51,80,95,100,46,80,97,100,52,80,98,100,50
8,90,100,100,60,90,100,100,51,90,100,100,51,90,100,100,49,90,100,100,52,90,100,100,64,90,100,100,62,90,100,100,64,90,100,100,64,90,100,100,52,90,100,100,51,90,100,100,48,90,100,100,49,90,100,100,49,90,95,100,46,90,97,100,50,90,100,100,46
9,100,100,100,63,100,100,100,51,100,100,100,51,100,100,100,49,100,100,100,51,100,100,100,63,100,100,100,64,100,100,100,60,100,100,100,65,100,100,100,49,100,100,100,50,100,100,100,47,100,100,100,47,100,100,100,46,100,95,100,44,100,97,100,48,100,100,100,47
