,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,99,100,0,10,99,100,32,10,86,100,9,10,28,100,18,10,28,100,11,10,99,100,29,10,94,100,36,10,81,100,36,10,95,100,38,10,78,100,40,10,79,100,42,10,64,100,44,10,67,100,45,10,69,100,41,10,52,100,33,10,48,100,34,10,55,100,26
1,19,100,100,37,19,100,100,30,14,94,100,0,13,32,100,24,12,30,100,19,20,100,100,48,19,100,100,41,19,94,100,40,19,100,100,46,19,91,100,73,19,88,100,69,18,68,100,71,18,72,100,71,16,82,100,49,14,57,100,44,13,52,100,42,14,62,100,44
2,28,100,100,43,27,100,100,45,17,97,100,0,14,35,100,17,14,32,100,20,28,100,100,54,28,100,100,52,26,98,100,48,27,100,100,50,25,94,100,77,25,94,100,60,23,73,100,73,24,78,100,74,21,87,100,59,17,63,100,49,15,56,100,32,16,67,100,34
3,37,100,100,38,35,100,100,40,19,97,100,28,15,36,100,29,15,33,100,18,36,100,100,63,36,100,100,54,32,99,100,50,34,100,100,54,30,95,100,71,30,95,100,77,27,75,100,76,28,80,100,75,24,92,100,62,19,66,100,55,17,59,100,29,18,68,100,41
4,45,100,100,44,42,100,100,34,20,98,100,28,16,36,100,23,16,35,100,22,44,100,100,67,44,100,100,65,38,100,100,56,41,100,100,60,34,97,100,81,34,96,100,78,29,78,100,77,30,81,100,75,28,95,100,67,21,68,100,54,19,60,100,29,20,69,100,32
5,53,100,100,46,49,100,100,49,22,99,100,36,17,38,100,27,16,36,100,20,51,100,100,69,50,100,100,65,43,100,100,58,47,100,100,58,37,97,100,83,38,96,100,78,32,80,100,74,32,82,100,48,32,96,100,70,23,70,100,28,20,61,100,37,21,69,100,45
6,60,100,100,38,55,100,100,42,23,99,100,34,17,39,100,27,17,37,100,24,58,100,100,72,56,100,100,70,48,100,100,64,52,100,100,61,40,98,100,74,41,96,100,80,34,82,100,79,34,84,100,76,35,97,100,73,24,70,100,15,21,63,100,41,22,70,100,45
7,67,100,100,41,61,100,100,47,24,99,100,35,18,40,100,25,17,38,100,21,64,100,100,73,62,100,100,73,52,100,100,63,57,100,100,67,43,98,100,83,44,96,100,81,35,82,100,79,36,85,100,76,38,97,100,72,25,72,100,22,22,64,100,33,23,72,100,46
8,73,100,100,42,66,100,100,49,25,99,100,34,18,40,100,26,18,40,100,11,70,100,100,75,68,100,100,73,56,100,100,67,62,100,100,68,46,98,100,85,47,97,100,81,36,83,100,80,37,87,100,78,41,97,100,45,26,73,100,0,22,65,100,34,24,72,100,47
9,80,100,100,35,72,100,100,49,26,99,100,29,18,41,100,26,18,40,100,18,76,100,100,79,73,100,100,73,60,100,100,67,67,100,100,68,48,98,100,85,49,97,100,83,38,85,100,80,39,87,100,78,43,98,100,44,28,74,100,23,23,66,100,33,25,73,100,14
