,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,100,98,32,10,100,100,53,10,97,100,53,10,60,100,51,10,55,100,49,10,100,96,33,10,100,93,31,10,98,66,20,10,100,87,36,10,94,94,5,10,94,94,0,10,88,88,0,10,88,88,0,10,83,97,51,10,63,97,39,10,60,96,39,10,66,97,32
1,19,100,100,34,16,100,100,61,13,98,100,59,12,60,100,46,12,57,100,53,19,100,99,40,19,100,99,34,18,100,87,35,19,100,99,37,19,100,99,38,19,100,99,25,19,98,99,7,19,97,97,5,15,89,100,55,14,68,99,46,13,62,98,43,13,78,99,48
2,28,100,100,26,20,100,100,62,15,98,100,63,13,63,100,47,13,57,100,46,28,100,99,39,28,100,99,42,25,100,94,42,27,100,99,42,28,100,99,64,28,100,99,48,26,100,99,42,27,100,100,38,20,92,100,61,16,69,100,38,15,66,99,48,16,78,100,54
3,37,100,100,34,24,100,100,65,16,98,100,65,14,63,100,46,14,57,100,39,36,100,100,50,36,100,100,39,32,100,96,35,34,100,99,41,33,100,99,76,34,100,99,66,31,100,100,63,33,100,100,59,24,94,100,66,18,69,100,36,17,66,99,51,17,78,100,57
4,45,100,100,38,28,100,100,66,16,100,100,65,14,65,100,60,15,58,100,51,44,100,100,53,43,100,100,51,37,100,96,48,40,100,100,47,37,100,100,79,39,100,99,76,35,100,100,76,37,100,100,75,27,94,100,66,20,69,100,54,18,71,99,53,19,80,100,54
5,52,100,100,44,31,100,100,66,16,100,100,63,15,65,100,60,15,58,100,42,51,100,100,57,49,100,100,54,41,100,97,50,46,100,100,48,40,100,100,81,42,100,99,79,37,100,100,80,40,100,100,80,30,95,100,68,21,69,100,52,19,71,99,51,20,83,100,59
6,60,100,100,13,35,100,100,69,17,100,100,67,15,65,100,58,15,60,100,36,57,100,100,59,55,100,100,57,45,100,97,52,51,100,100,50,43,100,100,81,45,100,100,81,39,100,100,79,42,100,100,82,33,95,100,69,22,71,100,57,20,72,99,57,22,83,100,63
7,67,100,100,43,38,100,100,65,17,100,100,68,15,65,100,58,16,60,100,22,63,100,100,61,60,100,100,59,49,100,98,55,56,100,100,53,45,100,100,83,48,100,100,82,41,100,100,82,44,100,100,83,36,97,100,70,23,71,100,59,21,72,100,55,22,83,100,62
8,73,100,100,43,41,100,100,70,17,100,100,68,15,65,100,56,16,60,100,42,68,100,100,66,65,100,100,63,52,100,98,56,60,100,100,56,47,100,100,84,50,100,100,82,43,100,100,83,45,100,100,84,38,100,100,67,24,72,100,61,21,72,100,52,23,83,100,62
9,80,100,100,45,44,100,100,70,17,100,100,68,16,65,100,56,16,60,100,3,73,100,100,68,70,100,100,64,55,100,99,60,64,100,100,55,50,100,100,85,52,100,100,83,44,100,100,84,47,100,100,84,41,100,100,71,25,72,100,61,22,74,100,58,24,83,100,65
