,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
129,0.40790758,0.42542353,0.2696995,0.3490406,0.31217322,0.535702,0.36062446,0.66908467,0.459195,0.45094645,0.41124666,0.48413622,0.26587605,0.4840725,0.3858956,0.5247728,1.2745204,0.33422956,0.4083539,0.3777451,0.2883688,0.38952363,0.24985395,0.3957158,0.5166955,0.39575204,0.2618076,0.47045022,0.5261713,0.49258152,0.39087412,0.41204247
130,0.38051265,0.39390537,0.29359314,0.34253195,0.36144963,0.59104675,0.30999815,0.7284767,0.44071558,0.45344386,0.3598031,0.4575083,0.20835026,0.4941239,0.28186575,0.54367226,0.7775573,0.32674822,0.35236582,0.38410422,0.30388197,0.3970923,0.2391655,0.43451804,0.42090717,0.42532155,0.27742636,0.45445034,0.4654814,0.5313234,0.4231245,0.4051563
131,0.39500776,0.39761233,0.26151264,0.34961283,0.27839753,0.5341126,0.34698904,0.7151498,0.36146295,0.46963054,0.36764526,0.47889155,0.23437338,0.49793246,0.25154138,0.55577457,0.59610665,0.33501384,0.37304997,0.38426572,0.31129387,0.38537404,0.26524693,0.42309576,0.4118105,0.3992706,0.8679758,0.45535734,0.4506273,0.49996936,0.4004313,0.38572308
132,0.31907743,0.38907868,0.27321956,0.35332263,0.29610026,0.5142249,0.28780746,0.66410154,0.30605856,0.4525087,0.28902608,0.47243875,0.20040622,0.49344516,0.30263126,0.60491765,0.51149404,0.33926404,0.32474732,0.40341353,0.2770938,0.38771918,0.22647923,0.40948573,0.36250177,0.42192784,0.566374,0.47060472,0.4163924,0.4891682,0.3646485,0.38159132
133,0.31387076,0.40293494,0.29209077,0.35563293,0.54203856,0.49018297,0.27579808,0.5255445,0.32413682,0.48497567,0.36437574,0.4671077,0.20903867,0.7177103,0.24850796,0.56879157,0.44105485,0.34684077,0.3401832,0.38241205,0.26208586,0.39340785,0.23168193,0.41832474,0.35721958,0.45850885,0.4649742,0.43149555,0.41475397,0.48585415,0.31655407,0.41384587
134,0.34921512,0.40672988,0.26408684,0.35670555,0.3822285,0.5305402,0.30187127,0.6456499,0.2699598,0.46215692,0.27287203,0.50907284,0.9550677,0.47268215,0.24156736,0.5396918,0.4208426,0.35324344,1.2527734,0.37235066,1.4405324,0.3570754,0.2669891,0.40884823,0.33652857,0.44446388,0.44481555,0.44408867,0.38475955,0.4498718,0.35075524,0.39508358
135,0.26891604,0.41081548,0.627581,0.33849403,0.3669733,0.44295147,0.26692733,0.7403625,0.21792418,0.5096545,0.2664379,0.45669606,0.5302448,0.47682056,0.17950293,0.55853236,0.34764722,0.33358732,0.7114316,0.3470096,0.8490091,0.338708,0.22438797,0.4298932,0.2982319,0.49035278,0.42289615,0.48712382,0.34058416,0.5187664,0.31049225,0.43168318
136,0.32332444,0.39279994,0.41688615,0.33644193,0.3561915,0.49534076,0.29114497,0.8620466,0.28405744,0.4882726,0.28822717,0.46900636,0.37924877,0.49304664,0.18061581,0.59075016,0.32711664,0.34185386,0.5935066,0.38056624,0.6542505,0.34398088,1.1079342,0.37175763,0.2949116,0.42277947,0.34687763,0.48190573,0.3666052,0.53941685,0.30309632,0.39500135
137,0.26060164,0.40584153,0.36530775,0.33319998,0.3589032,0.51904446,0.29012856,0.71258533,0.20379244,0.48931885,0.22815482,0.4807641,0.36548427,0.4607495,0.16426617,0.5321471,0.34879515,0.36071202,0.5643471,0.3706439,0.48536077,0.36408117,0.70028484,0.38367167,0.2805486,0.49501613,0.34725797,0.4780996,0.30773553,0.49187845,0.3491505,0.402303
138,0.25217646,0.3982927,0.382823,0.34327197,0.33864957,0.4537659,0.26667455,0.67825913,0.20947966,0.45743388,0.21036816,0.47319472,0.28964767,0.49073097,0.19200157,0.5411101,0.34169737,0.3656877,0.4466115,0.3461188,0.5216579,0.37658742,0.52884626,0.37050927,0.31059232,0.4383283,0.34117505,0.52635455,0.33526167,0.42754486,0.27210605,0.48276296
139,0.42068553,0.40804335,0.3181847,0.34990934,0.3222658,0.5294299,0.44258267,0.62467134,0.2198784,0.4958513,0.2275584,0.4968384,0.30863994,0.46743855,0.20744094,0.59085464,0.3055254,0.34972298,0.50595015,0.35184762,0.4251644,0.33976564,0.45060107,0.3964401,0.26847345,0.44762212,0.3208102,0.45677948,0.31400996,0.48128098,0.30089274,0.42129797
140,0.22271428,0.40999386,0.3462505,0.3364672,0.33413622,0.47970968,0.3493979,0.64340174,,,0.23455821,0.47972432,0.25243533,0.4985637,1.068289,0.49519688,0.29501396,0.37453756,0.5025126,0.35666767,0.41241446,0.35258904,0.40230563,0.38430747,0.9957836,0.38374352,0.4474493,0.5034908,0.29478538,0.48297656,0.31661198,0.4021568
141,0.2679062,0.4165686,0.2973687,0.35204682,0.29743987,0.5109949,0.3218052,0.6255975,,,0.20793918,0.4840971,0.24692337,0.5062029,0.59494334,0.5359181,,,0.39369482,0.3476374,0.3724825,0.35421622,0.36528236,0.39430007,0.60109395,0.38503274,0.28387174,0.5428297,0.31747368,0.47861272,0.29201844,0.38777092
142,0.23986158,0.40756044,0.30680308,0.34111896,0.29192024,0.43987054,0.30541393,0.88249964,,,0.21890633,0.47098938,0.2722107,0.46524495,0.43254197,0.4988819,,,0.34714246,0.36638665,0.42280743,0.34349203,0.32375744,0.37754288,0.49525034,0.4078571,0.33658233,0.5399565,0.324302,0.48985222,0.25981626,0.3907331
143,0.8038053,0.37792128,0.29665497,0.36008906,0.32192376,0.49776018,0.29367474,0.64617175,,,0.21019283,0.4858692,0.2549705,0.4671622,0.38534683,0.50496197,,,0.33336723,0.37190238,0.34877554,0.35505334,0.36287838,0.38128045,0.4416993,0.38795972,0.29244828,0.4830115,0.2597163,0.504364,0.9007782,0.44850153
144,0.5112075,0.39135188,0.30202025,0.33948264,0.29070407,0.50686824,0.29823288,0.7093895,,,0.21442324,0.48824158,0.20056571,0.48736143,0.2979606,0.5580764,,,0.31187162,0.3703089,0.3086322,0.35662454,0.29831892,0.3918471,0.39782014,0.45522135,0.9571727,0.45525628,0.2891449,0.49725723,0.6067305,0.40752944
145,0.4026004,0.38712573,0.29153875,0.34609923,0.28211817,0.45164853,0.26773745,0.6370656,,,0.18663158,0.47712192,0.17802906,0.4812829,0.324942,0.61415666,,,0.33229098,0.3667373,0.33649233,0.3666188,0.2851499,0.38829762,0.36386564,0.4116231,0.5541288,0.4589944,0.29048645,0.47072572,0.5182469,0.3954475
146,0.31723717,0.37789917,0.28793755,0.34403843,0.34362772,0.47666144,0.26035714,0.63034844,,,,,0.19284263,0.4904763,0.2738111,0.50932765,,,0.28176665,0.3717102,1.2147131,0.3370362,0.26503068,0.39479592,0.35213697,0.39178094,0.4575596,0.42332023,0.2728888,0.48107514,0.45882833,0.45067495
147,0.35759017,0.3921381,0.27952185,0.3550541,0.28180358,0.4572576,0.27151188,0.74674517,,,,,0.17259613,0.47441933,0.23695989,0.53075486,,,0.27118877,0.3718683,0.7346311,0.3268981,0.27431262,0.39854312,0.30692354,0.40403733,0.3980262,0.4294448,0.25803295,0.46375656,0.39836225,0.39178547
148,0.2803294,0.39242682,0.48779806,0.32665914,0.25824,0.4419989,0.2807804,0.6214318,,,,,,,0.21405143,0.5530915,,,0.26523122,0.36776075,0.57355165,0.318615,0.24307193,0.38829258,0.33330733,0.43921205,0.42777243,0.40019953,0.28568563,0.47647333,0.4427271,0.4363334
149,0.2581638,0.385524,0.3681186,0.3310127,0.2926069,0.48312208,0.2944994,0.7111712,,,,,,,0.21751744,0.53738344,,,,,0.47201094,0.32345918,1.1878457,0.36023158,0.27408037,0.4791789,0.37055665,0.4348162,0.7181277,0.4605272,0.3635451,0.42165363
150,0.2709473,0.39039,0.3144261,0.33738613,0.3036073,0.50831074,0.23574905,0.71299213,,,,,,,0.25642666,0.52996415,,,,,0.44521144,0.31625605,0.73497283,0.34683812,0.27277315,0.3934936,0.311814,0.42098117,0.49065998,0.4538262,0.40895665,0.4185902
151,0.24390584,0.38956758,0.32897073,0.3396078,0.2627954,0.46770814,0.23755705,0.53511953,,,,,,,,,,,,,0.40891284,0.32395026,0.5941852,0.35615757,,,0.32452977,0.38925827,0.42210367,0.48952496,0.33182392,0.4300216
152,0.23380528,0.3883673,0.3243616,0.33798966,0.29853728,0.5309042,0.2257035,0.67856437,,,,,,,,,,,,,0.37716916,0.3184372,0.46387333,0.3553269,,,0.28773898,0.43171465,0.3900935,0.52961046,0.33962435,0.39748147
153,0.20903206,0.3932152,0.28450483,0.33452535,0.38718665,0.56320816,0.25811872,0.6131134,,,,,,,,,,,,,0.4030441,0.33081684,0.43412867,0.37355497,,,0.30634952,0.46956915,0.3857095,0.5007982,0.33331397,0.4064755
154,0.2369331,0.40019107,0.2831847,0.3466978,0.32157204,0.49429744,0.23758465,0.5585779,,,,,,,,,,,,,0.34198895,0.3407497,0.41876635,0.35567495,,,0.27402604,0.40553987,0.34039834,0.44858488,0.30287,0.4083732
155,0.21353453,0.40572032,0.263335,0.3414964,0.34291,0.47576615,0.22395185,0.5836049,,,,,,,,,,,,,0.2859224,0.32373053,0.37245268,0.3550109,,,0.29043153,0.40906572,0.310267,0.4845051,0.3213712,0.39350364
156,0.18668817,0.39736608,0.26346952,0.34313285,0.34568965,0.41213122,0.24204391,0.5936519,,,,,,,,,,,,,0.28899187,0.3670044,0.2997024,0.35166755,,,0.2649741,0.40326348,0.30927247,0.47134143,0.28120035,0.4484363
157,,,0.29108843,0.33359343,0.3400098,0.44142082,0.22200495,0.64417994,,,,,,,,,,,,,0.3097646,0.34314737,0.30651283,0.3590013,,,0.25013515,0.41206247,0.311529,0.5427801,0.28289387,0.49352002
158,,,0.27732223,0.3356431,0.34304422,0.442104,0.21327257,0.84358466,,,,,,,,,,,,,0.27749667,0.33795547,0.29705042,0.38385254,,,0.24109797,0.39651972,0.29554325,0.492206,0.92909837,0.38931358
159,,,0.4700439,0.33360052,0.3028037,0.43142697,0.20850863,0.7317319,,,,,,,,,,,,,0.24471419,0.3410877,0.26773748,0.37652135,,,0.24882202,0.41519916,0.30159944,0.46048427,0.5679975,0.3984429
160,,,0.39650497,0.3288988,0.28597006,0.49617213,0.24206212,0.62580985,,,,,,,,,,,,,0.278977,0.34408626,0.2709292,0.3602205,,,0.24486487,0.4661122,0.28123182,0.48804805,0.48686627,0.3733314
161,,,0.32382914,0.3340907,0.2751877,0.45299765,0.22672409,0.77457964,,,,,,,,,,,,,,,1.1135876,0.36930174,,,0.23551063,0.47143662,0.2879989,0.5265235,0.42812836,0.40892738
162,,,0.37136242,0.33285832,0.2738898,0.4545133,,,,,,,,,,,,,,,,,0.6891062,0.33370093,,,0.74396235,0.3810679,0.28844342,0.52192503,0.4029217,0.3836289
163,,,0.29312682,0.32317567,0.27584177,0.47536457,,,,,,,,,,,,,,,,,0.50935805,0.3395005,,,0.48975915,0.38822055,0.2620589,0.46459424,0.3641796,0.37840977
164,,,0.29834387,0.32815126,0.2748918,0.49602577,,,,,,,,,,,,,,,,,0.42739683,0.3606502,,,0.4185289,0.4090847,0.25596777,0.5126218,0.4170595,0.37079895
165,,,0.31409994,0.3278268,0.27891946,0.52617073,,,,,,,,,,,,,,,,,0.3727052,0.35577333,,,0.38462755,0.43502122,0.6630474,0.4827853,0.31613842,0.3788614
166,,,0.29232416,0.3308132,0.25969005,0.41786805,,,,,,,,,,,,,,,,,0.37991676,0.3580182,,,0.35739848,0.3688237,0.450642,0.51711535,0.32936367,0.3639156
167,,,0.26970622,0.3248835,,,,,,,,,,,,,,,,,,,0.2867234,0.3447801,,,0.32730404,0.40854347,0.39611626,0.4795885,0.293102,0.4288198
168,,,0.3042664,0.328281,,,,,,,,,,,,,,,,,,,0.2845852,0.34129685,,,0.3130125,0.38958997,0.36441913,0.43385866,0.30848783,0.3965166
169,,,0.26862606,0.3251965,,,,,,,,,,,,,,,,,,,0.2811663,0.34795323,,,0.29012132,0.4144045,0.33177966,0.49520412,0.37611127,0.37623265
170,,,0.3038252,0.3312179,,,,,,,,,,,,,,,,,,,0.23521177,0.34926394,,,0.29588884,0.41629764,0.3246117,0.5049418,0.28518206,0.37487033
171,,,0.28656256,0.33323547,,,,,,,,,,,,,,,,,,,0.22359368,0.3667367,,,0.27332643,0.38749668,0.32117087,0.46190044,0.27834046,0.41386214
172,,,0.27739936,0.3227552,,,,,,,,,,,,,,,,,,,0.21278499,0.38411915,,,0.29941183,0.40093273,0.30126,0.44597405,0.2550796,0.3889567
173,,,0.24077074,0.32274392,,,,,,,,,,,,,,,,,,,,,,,0.24400528,0.4870777,0.29537663,0.5178981,0.2868263,0.39187804
174,,,0.23170613,0.33332428,,,,,,,,,,,,,,,,,,,,,,,0.24680883,0.515512,0.2873427,0.4644667,0.27920645,0.38445464
175,,,0.2655853,0.33502468,,,,,,,,,,,,,,,,,,,,,,,0.24602896,0.40689665,0.27942836,0.4592428,0.23389137,0.40521383
176,,,0.24310662,0.32858017,,,,,,,,,,,,,,,,,,,,,,,0.2314644,0.4019248,0.25737846,0.4596313,0.2480315,0.4108245
177,,,0.23624864,0.33212993,,,,,,,,,,,,,,,,,,,,,,,,,0.265898,0.45914057,,
178,,,0.25108677,0.3306193,,,,,,,,,,,,,,,,,,,,,,,,,0.27976757,0.5160515,,
179,,,0.22181599,0.3325266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,0.22911815,0.3319995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,0.25924203,0.32936716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,0.21543662,0.33923885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,0.36475083,0.32507843,,,,,,,,,,,,,,,,,,,,,,,,,,,,
