,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,97,100,44,10,91,100,39,10,82,100,33,10,36,100,33,10,39,100,31,10,91,100,44,10,84,100,44,10,69,50,41,10,84,100,43,10,85,100,35,10,89,100,36,10,80,100,39,10,81,100,35,10,56,100,0,10,43,100,0,10,37,100,0,10,43,100,10
1,20,100,100,46,20,99,100,41,20,91,100,36,20,48,100,32,20,48,100,35,20,99,100,45,20,100,100,47,20,85,100,48,20,95,100,52,20,92,100,48,20,94,100,48,20,87,100,50,20,84,100,47,20,75,100,53,20,62,100,47,20,52,100,32,20,59,100,30
2,30,100,100,45,30,100,100,41,30,96,100,40,30,56,100,32,30,55,100,30,30,100,100,56,30,100,100,49,30,92,100,54,30,99,100,57,30,95,100,60,30,95,100,59,30,93,100,55,30,92,100,58,30,84,100,61,30,72,100,54,30,63,100,51,30,68,100,49
3,40,100,100,48,40,100,100,42,40,97,100,40,40,63,100,30,40,64,100,30,40,100,100,57,40,100,100,48,40,95,100,54,40,100,100,56,40,96,100,67,40,96,100,64,40,96,100,63,40,95,100,64,40,91,100,69,40,79,100,67,40,72,100,60,40,76,100,65
4,50,100,100,44,50,100,100,39,50,99,100,44,50,68,100,29,50,70,100,28,50,100,100,61,50,100,100,57,50,97,100,61,50,100,100,65,50,97,100,68,50,97,100,70,50,98,100,66,50,96,100,70,50,93,100,74,50,84,100,73,50,81,100,68,50,83,100,70
5,60,100,100,45,60,100,100,43,60,99,100,42,60,77,100,26,60,77,100,26,60,100,100,65,60,100,100,57,60,99,100,65,60,100,100,68,60,98,100,69,60,97,100,76,60,98,100,68,60,97,100,72,60,94,100,76,60,87,100,75,60,86,100,73,60,90,100,73
6,70,100,100,48,70,100,100,42,70,100,100,42,70,82,100,27,70,82,100,27,70,100,100,66,70,100,100,62,70,100,100,68,70,100,100,68,70,99,100,74,70,98,100,78,70,99,100,70,70,98,100,73,70,95,100,81,70,90,100,79,70,90,100,79,70,91,100,77
7,80,100,100,45,80,100,100,43,80,100,100,42,80,88,100,25,80,86,100,26,80,100,100,70,80,100,100,65,80,100,100,70,80,100,100,71,80,100,100,82,80,99,100,79,80,99,100,70,80,98,100,74,80,96,100,84,80,93,100,80,80,91,100,80,80,93,100,80
8,90,100,100,48,90,100,100,45,90,100,100,44,90,91,100,27,90,91,100,27,90,100,100,73,90,100,100,68,90,100,100,71,90,100,100,75,90,100,100,83,90,99,100,82,90,100,100,72,90,98,100,75,90,98,100,84,90,95,100,82,90,91,100,82,90,93,100,82
9,100,100,100,50,100,100,100,43,100,100,100,46,100,95,100,22,100,95,100,26,100,100,100,75,100,100,100,71,100,100,100,73,100,100,100,79,100,100,100,86,100,99,100,83,100,100,100,70,100,98,100,75,100,98,100,87,100,96,100,86,100,95,100,85,100,94,100,85
