,spatial None PL train,spatial None PL val,spatial X_s1 max d_c train,spatial X_s1 max d_c val,spatial X_s1 avg d_c train,spatial X_s1 avg d_c val
t_iter_avg,21.6,21.6,23.2,23.2,23.4,23.4
budget_usage,1.0003012955709552,1.0003012955709552,1.0003012955709552,1.0003012955709552,1.0003012955709552,1.0003012955709552
sensor_usage,1.0,1.0,0.5031645569620253,0.5031645569620253,0.5031645569620253,0.5031645569620253
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0
test_loss,0.2579049,0.2579049,0.2026391327381134,0.2026391327381134,0.16962872445583344,0.16962872445583344
RF_loss,0.43361637,0.43361637,0.43361636996269226,0.43361636996269226,0.43361636996269226,0.43361636996269226
cand_subsample_rate,,,1.0,1.0,1.0,1.0
points_percluster_rate,,,0.0,0.0,0.0,0.0
0,0.41062191128730774,0.4046534597873688,2.9074792861938477,0.46663182973861694,3.0600759983062744,0.4032893478870392
1,0.3358766734600067,0.36252909898757935,2.2431511878967285,0.6635022163391113,2.381345510482788,0.46495991945266724
2,0.2513991594314575,0.31970900297164917,2.1299233436584473,0.6388689279556274,2.0338523387908936,0.5644479990005493
3,0.19802537560462952,0.438914030790329,1.8995522260665894,0.8812900185585022,1.8480219841003418,0.5905094742774963
4,0.20173601806163788,0.3390989601612091,1.8151968717575073,0.7674927115440369,1.6863833665847778,0.648661732673645
5,0.16541853547096252,0.2999090850353241,1.6084604263305664,0.8379729986190796,1.4958899021148682,0.5646730065345764
6,0.15717028081417084,0.3266962468624115,1.3836967945098877,1.116288661956787,1.346052646636963,0.8672522306442261
7,0.14996382594108582,0.3078446686267853,1.3585187196731567,1.4209461212158203,1.1826504468917847,1.2616454362869263
8,0.12673825025558472,0.30489763617515564,1.03243088722229,1.4843783378601074,0.9792307615280151,1.5020694732666016
9,0.12925542891025543,0.32713764905929565,0.9573308229446411,2.004279136657715,0.9154938459396362,1.7555053234100342
10,0.12127138674259186,0.3886892795562744,0.8848370909690857,2.1273205280303955,0.837041974067688,1.493385910987854
11,0.13779222965240479,0.3224044144153595,0.31033971905708313,0.7420533895492554,0.35120996832847595,0.42427653074264526
12,0.11224730312824249,0.5284414291381836,0.22881124913692474,0.6242120862007141,0.19056013226509094,0.36512845754623413
13,0.11631003022193909,0.39098870754241943,0.20362375676631927,0.7197875380516052,0.16681091487407684,0.33661794662475586
14,0.08979236334562302,0.3048784136772156,0.18407918512821198,0.6806266903877258,0.1557307094335556,0.40064945816993713
15,0.09298516809940338,0.30782046914100647,0.1678285002708435,0.8162554502487183,0.14132386445999146,0.3384440541267395
16,0.22124506533145905,0.29617011547088623,0.15371805429458618,0.7826446294784546,0.13372670114040375,0.35153087973594666
17,0.18504251539707184,0.28336241841316223,0.1429363638162613,0.7093744277954102,0.12298490107059479,0.3386126160621643
18,0.1574375033378601,0.29465386271476746,0.13378524780273438,0.7877981662750244,0.11583169549703598,0.3825899064540863
19,0.14451514184474945,0.28487634658813477,0.12157115340232849,0.8556534647941589,0.10994351655244827,0.520547091960907
20,0.1364731788635254,0.3258894085884094,0.11941061168909073,1.006814956665039,0.10336040705442429,0.3876155912876129
21,0.12803848087787628,0.2944011390209198,0.10974201560020447,0.8584814667701721,0.10000970959663391,0.4756591320037842
22,0.10152031481266022,0.3228691518306732,0.10389629751443863,0.6667167544364929,0.0956558957695961,0.3892471194267273
23,0.11270745098590851,0.30502158403396606,0.26284536719322205,0.3104177713394165,0.090085469186306,0.45627737045288086
24,0.10812504589557648,0.29483476281166077,0.1528385430574417,0.3413456380367279,0.35862645506858826,0.23959435522556305
25,0.08096907287836075,0.30872640013694763,0.12853023409843445,0.29045620560646057,0.2022617608308792,0.2551253139972687
26,0.07886305451393127,0.367686003446579,0.1060115396976471,0.35457536578178406,0.17582198977470398,0.3227543830871582
27,0.08398966491222382,0.31888240575790405,0.0964118167757988,0.2569396495819092,0.15300749242305756,0.2698269784450531
28,0.23712292313575745,0.2972589135169983,0.08772831410169601,0.39329099655151367,0.14021997153759003,0.25475361943244934
29,0.19355033338069916,0.3000767230987549,0.08080154657363892,0.3323803246021271,0.12392523884773254,0.28439486026763916
30,0.16998441517353058,0.29907262325286865,0.07890044152736664,0.3306467533111572,0.12122737616300583,0.30798017978668213
31,0.13129623234272003,0.30266910791397095,0.0710463747382164,0.3466745913028717,0.11107148975133896,0.3419939875602722
32,0.1417561024427414,0.2789665758609772,0.06659389287233353,0.3102651536464691,0.10882266610860825,0.3203192949295044
33,0.10420867055654526,0.30687227845191956,0.06519024819135666,0.30938202142715454,0.09860703349113464,0.29374048113822937
34,0.09960819035768509,0.3005905747413635,0.0635945200920105,0.33305707573890686,0.09560389071702957,0.32937300205230713
35,0.09816119819879532,0.30287885665893555,0.059873856604099274,0.3034307658672333,0.10100582242012024,0.16144965589046478
36,0.08458537608385086,0.2916346490383148,0.05673881247639656,0.38946741819381714,0.06185847148299217,0.15956725180149078
37,0.09951511025428772,0.30040571093559265,0.05329436808824539,0.26005038619041443,0.05205195024609566,0.1608114242553711
38,0.07098142057657242,0.3200218081474304,0.16099542379379272,0.19659796357154846,0.04699123650789261,0.16051748394966125
39,0.07130781561136246,0.3155820965766907,0.0957210585474968,0.2014019638299942,0.04418536648154259,0.16023960709571838
40,0.07612540572881699,0.32913097739219666,0.08710927516222,0.22017283737659454,0.04203764721751213,0.16334973275661469
41,0.06339646130800247,0.32395926117897034,0.08130239695310593,0.20030401647090912,0.03930997475981712,0.16518613696098328
