,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,100,31,10,100,100,34,10,99,100,40,10,52,100,19,10,53,100,14,10,100,100,36,10,100,99,38,10,89,95,31,10,99,98,32,10,100,93,31,10,96,96,32,10,95,83,32,10,98,86,31,10,77,100,31,10,60,100,12,10,44,99,3,10,52,100,5
1,20,100,100,41,20,100,100,40,20,100,100,37,20,60,100,27,20,61,100,27,20,100,100,42,20,100,100,40,20,99,100,37,20,100,100,34,20,100,100,62,20,98,100,57,20,99,100,54,20,100,100,51,20,90,100,29,20,78,100,24,20,60,100,10,20,71,100,16
2,30,100,100,37,30,100,100,43,30,100,100,44,30,67,100,27,30,70,100,22,30,100,100,42,30,100,100,43,30,100,100,42,30,100,100,44,30,100,100,56,30,99,100,59,30,100,100,56,30,100,100,59,30,95,100,29,30,86,100,22,30,65,100,13,30,79,100,22
3,40,100,100,41,40,100,100,47,40,100,100,43,40,73,100,32,40,77,100,3,40,100,100,45,40,100,100,34,40,100,100,45,40,100,100,43,40,100,100,37,40,99,100,56,40,100,100,52,40,100,100,45,40,98,100,29,40,88,100,24,40,73,100,17,40,83,100,23
4,50,100,100,45,50,100,100,46,50,100,100,44,50,81,100,35,50,86,100,34,50,100,100,50,50,100,100,48,50,100,100,50,50,100,100,44,50,100,100,31,50,99,100,48,50,100,100,39,50,100,100,32,50,98,100,28,50,92,100,22,50,77,100,18,50,87,100,21
5,60,100,100,47,60,100,100,45,60,100,100,45,60,83,100,34,60,88,100,35,60,100,100,50,60,100,100,48,60,100,100,44,60,100,100,48,60,100,100,27,60,99,100,38,60,100,100,33,60,100,100,27,60,99,100,23,60,93,100,21,60,82,100,17,60,88,100,21
6,70,100,100,37,70,100,100,47,70,100,100,48,70,86,100,36,70,88,100,39,70,100,100,50,70,100,100,51,70,100,100,49,70,100,100,49,70,100,100,23,70,99,100,29,70,100,100,28,70,100,100,20,70,100,100,23,70,95,100,17,70,85,100,18,70,92,100,20
7,80,100,100,50,80,100,100,48,80,100,100,48,80,88,100,36,80,90,100,43,80,100,100,40,80,100,100,54,80,100,100,51,80,100,100,51,80,100,100,22,80,99,100,24,80,100,100,23,80,100,100,18,80,100,100,19,80,96,100,16,80,89,100,17,80,94,100,17
8,90,100,100,48,90,100,100,45,90,100,100,50,90,92,100,39,90,92,100,41,90,100,100,48,90,100,100,56,90,100,100,48,90,100,100,51,90,100,100,18,90,99,100,21,90,100,100,20,90,100,100,15,90,100,100,17,90,97,100,13,90,91,100,15,90,97,100,14
9,100,100,100,47,100,100,100,51,100,100,100,47,100,92,100,44,100,94,100,39,100,100,100,46,100,100,100,54,100,100,100,49,100,100,100,52,100,100,100,16,100,99,100,17,100,100,100,16,100,100,100,14,100,100,100,13,100,98,100,12,100,94,100,12,100,98,100,12
