,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
129,0.2644894,0.44879034,0.30558807,0.52028346,0.41951945,0.4371975,0.285311,0.3834252,0.5587583,0.23551124,0.2853308,0.24689947,0.33880237,0.29998872,0.2930857,0.23180808,0.54115456,0.13412853,0.2881643,0.2168562,0.41974333,0.16549428,0.38142544,0.1452098,0.24071807,0.196956,0.67697096,0.19595776,0.41177446,0.24976046,0.50917584,0.20198742
130,0.21691969,0.52746737,0.24124618,0.50586826,0.3497224,0.4130668,0.276188,0.38595274,0.49222913,0.23316246,0.26788655,0.23786311,0.2884225,0.30780503,0.2567091,0.23300883,0.42667347,0.1245388,0.2399057,0.24715437,0.33114418,0.16737615,0.3814803,0.14159769,1.4727683,0.0741223,0.50344217,0.1838725,0.41699964,0.2531195,0.38095003,0.20782995
131,0.18228783,0.4398505,0.20750403,0.55397916,0.35209137,0.4086696,0.26404402,0.39612183,0.45360798,0.2549912,0.23775938,0.2554168,0.30580345,0.29822043,0.23840179,0.2653629,0.40192363,0.13551934,0.2425543,0.24276356,0.32742932,0.16949256,0.37048113,0.15098108,0.9450081,0.060510296,0.4403119,0.17413867,0.40487257,0.23327057,0.43004638,0.1944561
132,0.61451024,0.3703483,0.2147639,0.5275812,0.32196695,0.42422253,0.23558912,0.39920327,0.42483205,0.2419649,0.2314759,0.24122939,0.2516815,0.31236508,0.25994155,0.23626399,0.40570366,0.13577263,0.23673907,0.23417646,0.31626815,0.1756517,0.3335874,0.15239051,0.7849197,0.08637352,0.39394012,0.18301013,0.3655098,0.21769267,0.350358,0.20868926
133,0.39113986,0.3917684,0.2001432,0.53163093,0.28704464,0.4604508,0.22972897,0.40670112,0.40808228,0.26007712,0.23054676,0.24048857,0.87152773,0.2506741,0.23142186,0.26523152,0.40484434,0.12571903,0.24245074,0.2398651,0.32704586,0.171967,0.3614878,0.14617148,0.6096584,0.09044277,0.33478728,0.17742822,1.4211569,0.10103647,0.39677116,0.22699888
134,0.3096605,0.38884372,0.21941563,0.55406123,0.29874125,0.42468292,0.91102976,0.32630712,0.38203546,0.24440697,0.2135193,0.24408363,0.6121022,0.2623214,0.23735997,0.24125926,0.3587511,0.13430424,0.22903138,0.2501884,0.26839405,0.17619017,1.1598408,0.047139816,0.54509383,0.077830195,0.3178073,0.17714855,0.96048874,0.11480996,0.33988765,0.21538028
135,0.24750385,0.42515835,0.17253627,0.51783854,0.3078815,0.42390782,0.5688719,0.3309948,0.4393113,0.25187817,0.189726,0.24022119,0.5027614,0.24023762,0.20844296,0.23716475,0.35205916,0.12569052,0.20669469,0.23372976,1.3456795,0.0465558,0.78982794,0.04752593,0.50976604,0.07360147,0.31226924,0.18793854,0.7726784,0.15647668,1.20573,0.094129086
136,0.23829903,0.38820246,0.17127956,0.55886936,0.2833441,0.41323867,0.4987303,0.33627144,1.1686535,0.14410153,1.1172153,0.15118131,0.39447135,0.252289,1.1543771,0.14946605,0.31532714,0.12888883,0.21284488,0.23384929,0.95866096,0.04652359,0.6031216,0.046691608,0.4743849,0.09310315,0.27359942,0.19351321,0.6582905,0.08957824,0.7703877,0.09125777
137,0.20120008,0.40832397,0.19429143,0.55745107,0.269177,0.41596487,0.40863276,0.36748382,0.65342695,0.14341988,0.8223653,0.14218894,0.37815002,0.24483137,0.7927373,0.14629702,0.3267492,0.13887003,0.22207943,0.2365595,0.7083525,0.04664204,0.5496971,0.04703693,0.41633672,0.10368501,0.312653,0.18910165,0.53023636,0.09838204,0.6805209,0.09869871
138,0.19115555,0.45022345,0.8261653,0.47207838,1.0416689,0.33738133,0.36083925,0.35086718,0.5224283,0.13932948,0.63736606,0.14893235,0.29687092,0.25993764,0.7002353,0.14496614,0.29965767,0.12657316,0.19857849,0.23563157,0.5659994,0.047133643,0.46712595,0.04881191,0.41217315,0.093615234,0.26169893,0.19557506,0.46862236,0.10270217,0.5730393,0.10153343
