,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,100,18,10,0,100,27,10,0,100,20,10,0,100,1,10,0,100,0,10,0,99,28,10,0,85,23,10,0,70,21,10,0,78,20,10,0,98,36,10,0,96,34,10,0,85,37,10,0,90,33,10,0,100,34,10,0,100,16,10,0,100,0,10,0,99,21
1,20,0,100,34,20,0,100,26,20,0,100,31,20,0,100,0,20,0,100,0,20,0,100,37,20,0,98,40,20,0,85,33,20,0,92,34,20,0,100,54,20,0,100,53,20,0,100,49,20,0,100,52,20,0,100,45,20,0,100,37,20,0,100,21,20,0,100,32
2,30,0,100,34,30,0,100,34,30,0,100,39,30,0,100,10,30,0,100,14,30,0,100,45,30,0,99,45,30,0,93,39,30,0,96,44,30,0,100,55,30,0,100,56,30,0,100,54,30,0,100,56,30,0,100,39,30,0,100,39,30,0,100,25,30,0,100,29
3,40,0,100,41,40,0,100,40,40,0,100,39,40,0,100,13,40,0,100,0,40,0,100,48,40,0,99,43,40,0,97,40,40,0,99,46,40,0,100,50,40,0,100,49,40,0,100,49,40,0,100,50,40,0,100,27,40,0,100,27,40,0,100,20,40,0,100,27
4,50,0,100,42,50,0,100,41,50,0,100,43,50,0,100,23,50,0,100,19,50,0,100,49,50,0,99,45,50,0,98,43,50,0,100,46,50,0,100,43,50,0,100,43,50,0,100,44,50,0,100,41,50,0,100,25,50,0,100,18,50,0,100,17,50,0,100,20
5,60,0,100,44,60,0,100,40,60,0,100,42,60,0,100,30,60,0,100,29,60,0,100,50,60,0,100,49,60,0,99,48,60,0,100,48,60,0,100,38,60,0,100,37,60,0,100,38,60,0,100,33,60,0,100,21,60,0,100,15,60,0,100,15,60,0,100,19
6,70,0,100,47,70,0,100,44,70,0,100,45,70,0,100,35,70,0,100,37,70,0,100,51,70,0,100,50,70,0,100,47,70,0,100,49,70,0,100,32,70,0,100,31,70,0,100,31,70,0,100,27,70,0,100,15,70,0,100,12,70,0,100,15,70,0,100,16
7,80,0,100,47,80,0,100,47,80,0,100,51,80,0,100,36,80,0,100,35,80,0,100,49,80,0,100,50,80,0,100,50,80,0,100,49,80,0,100,25,80,0,100,22,80,0,100,24,80,0,100,22,80,0,100,14,80,0,100,11,80,0,100,10,80,0,100,14
8,90,0,100,48,90,0,100,45,90,0,100,47,90,0,100,42,90,0,100,40,90,0,100,54,90,0,100,52,90,0,100,50,90,0,100,51,90,0,100,20,90,0,100,19,90,0,100,17,90,0,100,19,90,0,100,12,90,0,100,8,90,0,100,9,90,0,100,13
9,100,0,100,49,100,0,100,48,100,0,100,52,100,0,100,44,100,0,100,44,100,0,100,51,100,0,100,51,100,0,100,49,100,0,100,50,100,0,100,17,100,0,100,17,100,0,100,15,100,0,100,15,100,0,100,9,100,0,100,9,100,0,100,7,100,0,100,10
