,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
test_loss,0.21080631,0.21080631,0.18350342,0.18350342,0.28234598,0.28234598,0.26786804,0.26786804,0.12567376,0.12567376,0.12682241,0.12682241,0.12608291,0.12608291,0.110287055,0.110287055,0.05071474,0.05071474,0.054930497,0.054930497,0.047175787,0.047175787,0.048660442,0.048660442,0.07750789,0.07750789,0.10389836,0.10389836,0.089038454,0.089038454,0.10047478,0.10047478
0,0.30033025,0.30804303,0.3648657,0.31557542,0.26499808,0.33082712,0.26450023,0.3245895,0.53961265,0.3231426,0.43770942,0.31385297,0.4982368,0.30819938,0.55544853,0.311157,0.61618567,0.3081583,0.6415578,0.3061796,0.62283534,0.31182864,0.6394213,0.32836697,0.6843911,0.3028832,0.5770157,0.3173123,0.58782214,0.3126126,0.61304456,0.3361977
1,0.23002481,0.3151164,0.31105113,0.31551042,0.21671928,0.32517877,0.2263812,0.30990407,0.45118237,0.29635867,0.36905137,0.3023919,0.39627126,0.29644498,0.47210005,0.3377174,0.5259456,0.29763624,0.52944905,0.28489524,0.5369259,0.27271852,0.54616463,0.29141784,0.6006792,0.2856648,0.49992356,0.3028652,0.51575136,0.31345916,0.4822917,0.30259454
2,0.2196825,0.29668614,0.28806162,0.3011651,0.20198177,0.3161503,0.21033216,0.30247086,0.41732487,0.28658867,0.34390184,0.2873753,0.36022806,0.29125866,0.46366328,0.29078206,0.47822338,0.2908744,0.4871995,0.27263594,0.46092513,0.27569905,0.49220398,0.29458225,0.53718805,0.29070345,0.46622214,0.29150066,0.4840666,0.28801763,0.42854652,0.29372326
3,0.1989932,0.29139352,0.26357386,0.28698134,0.20310862,0.29673365,0.19781296,0.3083449,0.37394163,0.28671914,0.32061908,0.27686396,0.34959808,0.2842402,0.42727473,0.2852099,0.4509057,0.2735115,0.4459678,0.26869184,0.4270754,0.27778,0.4388326,0.27690154,0.4947242,0.2699936,0.43730733,0.28226432,0.45256215,0.29238442,0.41374207,0.3082
4,0.19365293,0.2899391,0.23482484,0.28313953,0.18480797,0.2943676,0.185491,0.3010154,0.3504187,0.2710664,0.29413643,0.2662637,0.31189278,0.28114337,0.37208185,0.27346823,0.43298244,0.26396164,0.40180594,0.26346904,0.3988311,0.24782225,0.438295,0.2580307,0.46213323,0.26920465,0.38518962,0.26155707,0.3949296,0.2588584,0.39256012,0.26964584
5,0.18570063,0.28906956,0.2309767,0.28408313,0.17663467,0.2925594,0.17761806,0.29113048,0.33318207,0.4723459,0.2866849,0.2674752,0.28401297,0.28872436,0.36738506,0.2656333,0.4039106,0.27507272,0.38633958,0.25638288,0.36306602,0.2875408,0.37309587,0.25568846,0.39039427,0.25442722,0.39498326,0.2706448,0.3764821,0.2879112,0.38100445,0.28411773
6,0.16940375,0.28392613,0.22445196,0.2847007,0.15464889,0.28424188,0.17413166,0.29828212,0.2979955,0.26908872,0.25913835,0.26852536,0.27913606,0.2845572,0.3507146,0.29278505,0.37768805,0.26407644,0.35080755,0.25922984,0.3265355,0.26005206,0.34269592,0.23174804,0.37252533,0.26078722,0.3444295,0.27662334,0.34979537,0.27898043,0.35388008,0.28828272
7,0.1660087,0.285293,0.19519238,0.2750287,0.14624813,0.32072943,0.16496782,0.30635384,0.32059363,0.27244198,0.25498232,0.26214662,0.28526238,0.27169514,0.30193615,0.2541606,0.35748786,0.25482562,0.3168094,0.23739783,0.3179034,0.2306858,0.33432156,0.2252989,0.3502742,0.25061426,0.3385959,0.24303412,0.31615898,0.27309662,0.32676908,0.31086767
8,0.1527723,0.33786374,0.18382986,0.296937,0.14113823,0.27454907,0.15621124,0.29061872,0.2611993,0.27088633,0.21909979,0.24966201,0.2537275,0.2736055,0.3074925,0.25422528,0.3653294,0.25017554,0.3217998,0.23209582,0.31873718,0.25699797,0.31317878,0.23290126,0.32803845,0.25065854,0.3266776,0.3322894,0.3078589,0.26085544,0.3103816,0.2950232
