,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,99,0,10,0,99,0,10,0,100,0,10,0,96,0,10,0,97,0,10,0,89,1,10,0,86,0,10,0,84,0,10,0,86,0,10,0,93,2,10,0,94,1,10,0,89,3,10,0,90,0,10,0,98,0,10,0,99,0,10,0,99,0,10,0,100,0
1,20,0,100,0,20,0,100,0,20,0,100,0,20,0,100,0,20,0,100,0,20,0,100,0,20,0,99,0,20,0,93,0,20,0,96,0,20,0,100,15,20,0,100,15,20,0,99,16,20,0,99,6,20,0,100,25,20,0,100,22,20,0,100,10,20,0,100,8
2,30,0,100,2,30,0,100,0,30,0,100,0,30,0,100,0,30,0,100,0,30,0,100,0,30,0,100,0,30,0,96,0,30,0,97,0,30,0,100,36,30,0,100,32,30,0,100,36,30,0,99,33,30,0,100,30,30,0,100,43,30,0,100,21,30,0,100,40
3,40,0,100,3,40,0,100,0,40,0,100,0,40,0,100,0,40,0,100,0,40,0,100,1,40,0,100,4,40,0,97,1,40,0,99,0,40,0,100,48,40,0,100,46,40,0,100,47,40,0,100,49,40,0,100,53,40,0,100,50,40,0,100,31,40,0,100,34
4,50,0,100,1,50,0,100,0,50,0,100,2,50,0,100,0,50,0,100,0,50,0,100,0,50,0,100,0,50,0,97,0,50,0,99,7,50,0,100,54,50,0,100,57,50,0,100,59,50,0,100,57,50,0,100,61,50,0,100,53,50,0,100,47,50,0,100,56
5,60,0,100,8,60,0,100,0,60,0,100,2,60,0,100,0,60,0,100,0,60,0,100,6,60,0,100,16,60,0,99,13,60,0,100,0,60,0,100,67,60,0,100,65,60,0,100,65,60,0,100,63,60,0,100,66,60,0,100,57,60,0,100,56,60,0,100,60
6,70,0,100,10,70,0,100,3,70,0,100,4,70,0,100,0,70,0,100,0,70,0,100,13,70,0,100,20,70,0,99,21,70,0,100,16,70,0,100,72,70,0,100,71,70,0,100,73,70,0,100,70,70,0,100,69,70,0,100,64,70,0,100,60,70,0,100,68
7,80,0,100,7,80,0,100,8,80,0,100,1,80,0,100,0,80,0,100,0,80,0,100,19,80,0,100,27,80,0,99,23,80,0,100,21,80,0,100,76,80,0,100,75,80,0,100,78,80,0,100,76,80,0,100,74,80,0,100,66,80,0,100,67,80,0,100,66
8,90,0,100,9,90,0,100,8,90,0,100,1,90,0,100,0,90,0,100,0,90,0,100,24,90,0,100,26,90,0,100,31,90,0,100,25,90,0,100,80,90,0,100,78,90,0,100,81,90,0,100,80,90,0,100,74,90,0,100,70,90,0,100,71,90,0,100,69
9,100,0,100,9,100,0,100,12,100,0,100,7,100,0,100,0,100,0,100,0,100,0,100,29,100,0,100,38,100,0,100,32,100,0,100,34,100,0,100,81,100,0,100,81,100,0,100,83,100,0,100,83,100,0,100,77,100,0,100,73,100,0,100,78,100,0,100,73
