,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,100,28,10,99,100,18,10,97,100,21,10,49,100,20,10,47,100,16,10,100,100,27,10,93,97,30,10,70,92,26,10,88,95,27,10,100,83,32,10,100,79,26,10,84,74,19,10,96,72,24,10,64,100,1,10,53,100,5,10,37,100,0,10,45,100,0
1,19,100,100,29,18,100,100,28,18,100,100,34,15,57,100,19,15,57,100,16,19,100,100,24,20,100,100,27,19,98,99,24,19,100,100,24,19,100,100,50,19,100,100,35,19,95,100,37,19,99,100,41,15,76,100,21,14,59,100,19,13,44,100,0,14,53,100,0
2,28,100,100,35,26,100,100,33,26,100,100,32,18,62,100,21,18,62,100,20,28,100,100,29,28,100,100,28,27,99,99,30,27,100,100,32,26,100,100,61,26,100,100,52,27,97,100,52,26,99,100,58,19,81,100,23,17,63,100,12,16,47,100,0,17,57,100,0
3,37,100,100,30,34,100,100,30,32,100,100,34,20,68,100,8,21,66,100,28,36,100,100,33,37,100,100,30,33,100,100,36,35,100,100,34,31,100,100,65,32,100,100,60,32,97,100,63,30,99,100,64,22,86,100,39,19,66,100,33,17,50,100,0,19,58,100,9
4,45,100,100,38,41,100,100,39,38,100,100,40,22,69,100,27,23,68,100,30,44,100,100,39,44,100,100,31,39,100,100,36,42,100,100,36,35,100,100,68,36,100,100,66,34,97,100,66,33,99,100,64,25,86,100,41,21,68,100,33,19,50,100,0,21,60,100,21
5,53,100,100,37,48,100,100,40,44,100,100,39,24,73,100,28,24,68,100,31,51,100,100,37,52,100,100,37,45,100,100,38,49,100,100,39,38,100,100,70,38,100,100,66,36,97,100,69,35,99,100,70,28,89,100,43,23,70,100,30,20,52,100,0,22,61,100,15
6,60,100,100,32,54,100,100,41,49,100,100,43,26,75,100,27,26,70,100,33,58,100,100,29,58,100,100,40,50,100,100,33,55,100,100,42,40,100,100,72,41,100,100,70,38,97,100,69,36,99,100,69,30,91,100,44,24,70,100,27,21,53,100,0,23,63,100,11
7,67,100,100,34,60,100,100,41,54,100,100,42,27,76,100,28,27,71,100,33,65,100,100,32,65,100,100,43,54,100,100,38,61,100,100,41,42,100,100,73,43,100,100,71,39,97,100,70,38,99,100,72,32,92,100,48,25,71,100,37,21,54,100,0,24,64,100,23
8,73,100,100,40,66,100,100,39,58,100,100,40,29,77,100,31,28,72,100,33,71,100,100,45,71,100,100,42,58,100,100,37,66,100,100,45,43,100,100,74,45,100,100,50,40,97,100,70,39,99,100,73,34,93,100,52,26,72,100,35,22,55,100,0,25,64,100,19
9,80,100,100,40,71,100,100,41,63,100,100,45,30,78,100,27,29,73,100,35,77,100,100,46,76,100,100,44,61,100,100,41,70,100,100,48,45,100,100,75,47,100,100,72,41,97,100,72,39,99,100,73,36,94,100,53,27,72,100,37,23,55,100,0,26,66,100,13
