,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,98,0,10,0,100,9,10,0,100,11,10,0,100,0,10,0,100,0,10,0,99,19,10,0,91,15,10,0,76,13,10,0,85,20,10,0,99,37,10,0,97,39,10,0,87,38,10,0,90,35,10,0,98,48,10,0,99,45,10,0,99,12,10,0,99,47
1,20,0,100,0,20,0,100,16,20,0,100,16,20,0,100,3,20,0,100,0,20,0,100,29,20,0,98,25,20,0,92,29,20,0,97,29,20,0,100,65,20,0,100,74,20,0,100,72,20,0,100,74,20,0,100,74,20,0,99,69,20,0,99,65,20,0,100,69
2,30,0,100,4,30,0,100,15,30,0,100,18,30,0,100,3,30,0,100,2,30,0,100,29,30,0,100,34,30,0,97,44,30,0,100,39,30,0,100,81,30,0,100,80,30,0,100,80,30,0,100,81,30,0,100,81,30,0,100,75,30,0,100,70,30,0,100,76
3,40,0,100,4,40,0,100,24,40,0,100,20,40,0,100,0,40,0,100,19,40,0,100,48,40,0,100,41,40,0,99,50,40,0,100,43,40,0,100,84,40,0,100,84,40,0,100,85,40,0,100,84,40,0,100,84,40,0,100,79,40,0,100,76,40,0,100,78
4,50,0,100,14,50,0,100,21,50,0,100,19,50,0,100,24,50,0,100,24,50,0,100,57,50,0,100,53,50,0,100,57,50,0,100,51,50,0,100,87,50,0,100,86,50,0,100,86,50,0,100,87,50,0,100,86,50,0,100,80,50,0,100,77,50,0,100,80
5,60,0,100,24,60,0,100,26,60,0,100,16,60,0,100,31,60,0,100,24,60,0,100,63,60,0,100,63,60,0,100,63,60,0,100,62,60,0,100,88,60,0,100,88,60,0,100,88,60,0,100,89,60,0,100,87,60,0,100,82,60,0,100,84,60,0,100,85
6,70,0,100,17,70,0,100,35,70,0,100,26,70,0,100,38,70,0,100,30,70,0,100,69,70,0,100,70,70,0,100,73,70,0,100,67,70,0,100,90,70,0,100,89,70,0,100,90,70,0,100,90,70,0,100,88,70,0,100,85,70,0,100,84,70,0,100,84
7,80,0,100,12,80,0,100,38,80,0,100,29,80,0,100,45,80,0,100,41,80,0,100,73,80,0,100,74,80,0,100,74,80,0,100,75,80,0,100,91,80,0,100,91,80,0,100,92,80,0,100,92,80,0,100,90,80,0,100,87,80,0,100,86,80,0,100,86
8,90,0,100,23,90,0,100,15,90,0,100,33,90,0,100,52,90,0,100,46,90,0,100,79,90,0,100,77,90,0,100,79,90,0,100,77,90,0,100,92,90,0,100,92,90,0,100,92,90,0,100,93,90,0,100,92,90,0,100,89,90,0,100,88,90,0,100,89
9,100,0,100,22,100,0,100,40,100,0,100,38,100,0,100,55,100,0,100,52,100,0,100,81,100,0,100,80,100,0,100,84,100,0,100,80,100,0,100,93,100,0,100,93,100,0,100,93,100,0,100,93,100,0,100,92,100,0,100,89,100,0,100,91,100,0,100,91
