,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
test_loss,0.4543117,0.4543117,0.5773823,0.5773823,0.48812422,0.48812422,0.4975507,0.4975507,0.41983622,0.41983622,0.372242,0.372242,0.40983298,0.40983298,0.42158774,0.42158774,0.09255349,0.09255349,0.095440075,0.095440075,0.085868746,0.085868746,0.0898419,0.0898419,0.2684696,0.2684696,0.24625678,0.24625678,0.2660701,0.2660701,0.34613246,0.34613246
0,8.861703,1.6534756,12.081626,1.9766595,8.507044,1.4491841,13.479304,1.9069498,7.6135435,2.4338212,11.610742,1.9044948,6.1220336,2.374811,5.290804,2.3201692,7.5876236,1.2771895,6.492332,1.7595383,7.006821,1.6848735,10.656612,1.4119148,8.974853,1.4919691,7.314404,1.3046169,8.046759,1.5244578,8.007944,1.2997949
1,2.036179,1.5281142,2.5775437,1.1504508,2.5587256,1.141942,2.7788289,1.4449949,3.2236829,2.3063605,2.2030015,1.1715202,3.1710653,1.6356387,3.275803,2.427621,2.5483916,1.0772439,2.5550394,1.1961181,3.0411975,1.1396087,2.614442,1.1519161,2.7255511,1.1519364,2.6616538,1.4736265,2.7134871,1.1680355,2.3966727,1.3480909
2,1.6491562,1.0909727,1.6682928,1.1753533,1.9127908,1.0929198,1.8343362,1.1139724,3.8620229,1.3114141,1.8068181,1.2293094,2.0389802,1.0857679,1.9071265,1.1568761,2.117437,1.0361372,2.1750245,1.0980703,2.2268214,1.0771499,2.010051,1.1078608,2.3516438,1.0601174,2.2039073,1.0975318,2.307063,1.1884527,2.0786028,1.1569604
3,1.4770397,1.091612,1.5167483,1.3014123,1.6946181,1.0464685,1.5868338,1.1086897,1.6797466,1.2086453,1.6249493,1.2095824,1.7591176,1.319792,1.6769589,1.1263607,2.0336964,1.0374421,1.9885508,0.99643415,2.0723164,1.1602218,1.9406059,1.1195838,1.9620336,1.0234225,1.9961377,1.1424757,2.0035455,1.0854547,1.9446892,1.0345823
4,1.4447801,1.0714024,1.4248722,1.078174,1.6155627,1.0358998,1.4418432,1.1536552,1.5977942,1.0805688,1.4845701,1.0400025,1.893453,1.0488204,1.4618472,1.2513826,1.8206967,0.96542037,1.8389968,0.9667038,1.9525256,1.0826933,1.725408,1.0912921,1.8677696,0.9831045,1.9055076,1.072397,2.0147235,1.0427107,1.8997531,1.0153348
5,1.355721,1.0638232,1.3768405,1.0717852,1.5681411,1.0201595,1.3591288,1.0313038,1.4902251,1.2958219,1.4250599,1.1219217,1.4127799,1.2092141,1.4192562,1.2055565,1.8077484,0.9515725,1.6974983,1.0232134,1.8456827,0.995756,1.7474296,1.1213025,1.7408512,0.9871031,1.8508846,1.015396,1.7772567,1.0009183,1.8121012,1.0358523
6,1.3605499,1.0369085,1.4047163,1.081775,1.5476248,1.0193249,1.3202306,1.0207329,1.4571306,1.2821473,1.3600762,0.99764544,1.3794515,1.0832827,1.3158247,1.0568734,1.6450757,0.94694954,1.6429489,1.0130562,1.7122257,1.0116885,1.6982081,0.98697734,1.6813283,0.97059655,1.7898315,0.9847184,1.7132592,0.9220007,1.6772377,1.0973489
7,1.2805334,1.0157921,1.3495944,1.0733209,1.5644004,1.0295424,1.2567495,0.9872533,1.4120668,1.0534147,1.285348,1.0560209,1.2838231,0.99262995,1.2159448,1.0994959,1.6191474,0.90566087,1.5509404,1.1511065,1.609134,0.9169426,1.6385982,1.0540072,1.5862032,0.9832388,1.7851212,0.9974604,1.5479674,0.88801754,1.6178974,0.9590296
8,1.2300328,1.0342764,1.3243386,1.0413727,1.4713588,1.0019585,1.2150244,1.0566216,1.3165457,1.1041132,1.1593329,1.1450014,1.3380661,0.9778716,1.1856034,0.9952088,1.5503075,0.9632366,1.5064602,0.8703193,1.5729556,0.9850627,1.5686138,1.0229943,1.4595426,1.039754,1.64177,1.0551007,1.4677886,0.91638565,1.6044233,1.1391819
