,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,76,11,10,0,80,28,10,0,82,26,10,0,74,17,10,0,74,22,10,0,64,26,10,0,58,27,10,0,45,26,10,0,51,24,10,0,59,32,10,0,57,23,10,0,50,32,10,0,53,26,10,0,75,40,10,0,75,39,10,0,74,27,10,0,75,29
1,20,0,95,22,20,0,100,24,20,0,100,28,20,0,99,26,20,0,99,26,20,0,91,40,20,0,85,37,20,0,73,41,20,0,81,42,20,0,94,49,20,0,92,49,20,0,87,46,20,0,91,46,20,0,94,46,20,0,96,50,20,0,95,38,20,0,95,40
2,30,0,99,28,30,0,100,32,30,0,100,27,30,0,100,12,30,0,100,32,30,0,98,44,30,0,95,37,30,0,84,44,30,0,91,43,30,0,99,52,30,0,99,53,30,0,99,52,30,0,99,53,30,0,100,51,30,0,100,53,30,0,99,41,30,0,100,49
3,40,0,100,31,40,0,100,33,40,0,100,36,40,0,100,28,40,0,100,29,40,0,100,44,40,0,98,44,40,0,92,45,40,0,97,43,40,0,100,54,40,0,100,54,40,0,100,53,40,0,100,53,40,0,100,53,40,0,100,50,40,0,100,44,40,0,100,42
4,50,0,100,34,50,0,100,36,50,0,100,37,50,0,100,29,50,0,100,34,50,0,100,47,50,0,100,46,50,0,96,46,50,0,99,45,50,0,100,51,50,0,100,51,50,0,100,48,50,0,100,52,50,0,100,51,50,0,100,46,50,0,100,46,50,0,100,50
5,60,0,100,36,60,0,100,37,60,0,100,40,60,0,100,32,60,0,100,30,60,0,100,49,60,0,100,47,60,0,98,43,60,0,100,45,60,0,100,42,60,0,100,48,60,0,100,44,60,0,100,44,60,0,100,45,60,0,100,36,60,0,100,40,60,0,100,41
6,70,0,100,32,70,0,100,38,70,0,100,40,70,0,100,32,70,0,100,33,70,0,100,45,70,0,100,50,70,0,99,45,70,0,100,46,70,0,100,32,70,0,100,35,70,0,100,32,70,0,100,38,70,0,100,29,70,0,100,18,70,0,100,32,70,0,100,29
7,80,0,100,32,80,0,100,40,80,0,100,39,80,0,100,34,80,0,100,33,80,0,100,47,80,0,100,45,80,0,100,46,80,0,100,45,80,0,100,28,80,0,100,27,80,0,100,25,80,0,100,27,80,0,100,15,80,0,100,8,80,0,100,16,80,0,100,11
8,90,0,100,38,90,0,100,41,90,0,100,40,90,0,100,29,90,0,100,29,90,0,100,46,90,0,100,45,90,0,100,43,90,0,100,46,90,0,100,24,90,0,100,21,90,0,100,14,90,0,100,19,90,0,100,6,90,0,100,3,90,0,100,8,90,0,100,4
9,100,0,100,41,100,0,100,40,100,0,100,39,100,0,100,29,100,0,100,31,100,0,100,42,100,0,100,43,100,0,100,41,100,0,100,43,100,0,100,22,100,0,100,17,100,0,100,5,100,0,100,10,100,0,100,0,100,0,100,0,100,0,100,4,100,0,100,0
