,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,random spatio-temporal X_st rnd d_c train,random spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,random spatio-temporal X_st min d_c train,random spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,random spatio-temporal X_st max d_c train,random spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,random spatio-temporal X_st avg d_c train,random spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","random spatio-temporal X_(t,s) rnd d_c train","random spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","random spatio-temporal X_(t,s) min d_c train","random spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","random spatio-temporal X_(t,s) max d_c train","random spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","random spatio-temporal X_(t,s) avg d_c train","random spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","random spatio-temporal Y_hat_(t,s) rnd d_c train","random spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","random spatio-temporal Y_hat_(t,s) min d_c train","random spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","random spatio-temporal Y_hat_(t,s) max d_c train","random spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","random spatio-temporal Y_hat_(t,s) avg d_c train","random spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","random spatio-temporal Y_(t,s) rnd d_c train","random spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","random spatio-temporal Y_(t,s) min d_c train","random spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","random spatio-temporal Y_(t,s) max d_c train","random spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val","random spatio-temporal Y_(t,s) avg d_c train","random spatio-temporal Y_(t,s) avg d_c val"
test_loss,0.43726465,0.43726465,0.4421867,0.4421867,0.40214384,0.40214384,0.40938032,0.40938032,0.44538411,0.44538411,0.48509064,0.48509064,0.47183397,0.47183397,0.46113867,0.46113867,0.09794976,0.09794976,0.1074228,0.1074228,0.08203512,0.08203512,0.08726533,0.08726533,0.12615377,0.12615377,0.1294614,0.1294614,0.12846893,0.12846893,0.13580348,0.13580348,0.05418205,0.05418205,0.0651979,0.0651979,0.055926207,0.055926207,0.061425716,0.061425716,0.054200843,0.054200843,0.06011433,0.06011433,0.05289832,0.05289832,0.06244417,0.06244417,0.047076985,0.047076985,0.08353022,0.08353022,0.06132957,0.06132957,0.06987578,0.06987578,0.06217462,0.06217462,0.1251565,0.1251565,0.052772835,0.052772835,0.100218974,0.100218974
PL_loss,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966,0.94303966
RF_loss,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455,1.6478455
0,5.5128264,1.6238263,1.878548,1.2664232,4.652196,1.1236484,2.5783355,1.2531322,10.609883,0.8872446,2.24414,1.2758529,9.244354,0.9723986,2.48216,1.3345895,3.1021643,1.1614745,2.451708,1.1577828,1.9250276,1.2486211,2.757306,1.1509122,4.923818,1.0883863,2.6714506,1.54632,3.8613467,1.0780098,2.583799,1.1629751,3.7110682,1.1088594,2.87963,1.1859463,4.1121783,1.2570442,2.8042793,1.1340888,5.7980733,1.0645993,2.5389,1.2000238,4.9789376,1.0621192,2.8872015,1.1426271,11.449258,1.117685,2.4933817,1.7605938,12.487621,1.6292696,2.8820276,1.1815006,11.950564,1.531956,2.5185814,1.2397493,12.421075,1.391864,3.0495083,1.3588474
1,4.2630906,1.0581607,1.6346532,1.1248952,3.7235162,1.0384619,1.9756536,1.1096474,7.847947,0.86088187,2.1242843,1.1683294,7.806437,0.87771624,1.8838731,1.141115,2.5502148,1.1275018,1.9925991,1.1739044,1.46825,1.3068258,2.29129,1.1947331,3.7605665,1.0590857,2.2022367,1.0968183,3.2173884,1.0370601,4.160722,1.2849042,2.993588,1.1120797,2.3290644,1.2572291,2.4996014,1.2104238,2.3669722,1.0999055,4.6764035,0.95901144,2.144009,1.1472158,3.9651318,1.0695814,2.4133534,1.2337117,8.981864,0.9123756,1.9515144,1.153489,9.569693,1.1189803,2.4296672,1.1131492,9.576848,1.2015985,2.1019106,1.137598,9.717699,1.1302345,2.4388745,1.3174739
2,3.9280226,1.037535,1.3964882,1.2510056,3.5548508,1.029501,1.7659067,1.2295938,7.15139,0.7690038,1.951369,1.1995624,7.2215476,0.8798525,1.6896405,1.1259669,2.198762,1.2451178,1.9340482,1.0875762,1.4495755,1.1594604,2.1588328,1.1762406,3.7016037,1.0154504,2.0306969,1.0903021,3.1162763,1.0788713,2.211916,1.1180161,2.8001573,1.0399345,2.254498,1.0458294,2.3815393,1.0896465,2.1168199,1.0302982,4.18879,0.91578305,2.0244238,1.1578966,3.65575,0.94463474,2.1073143,1.0029627,7.38961,0.70561624,1.9410725,1.159691,8.351738,0.7477995,2.0775366,1.0444106,8.417785,1.4332243,1.9788351,1.105342,8.614842,1.1316764,2.2799737,1.4460908
3,3.780721,0.986131,1.4310555,1.143257,3.467381,0.98361665,1.5411452,1.0752885,6.984474,0.84231776,1.5097675,1.2543811,6.4535193,0.8158781,1.5784382,1.1062012,1.9839694,1.0901527,1.7989488,1.0191649,1.1702988,1.1190846,1.8735183,1.1557516,3.4441893,0.9833148,1.9965254,1.092192,2.9799807,1.1550796,1.7455885,1.132757,2.6810915,1.0805306,2.1691794,1.0198797,2.2295365,1.072146,2.054784,1.1408186,4.0645914,0.89602834,1.9969378,1.0940282,3.518244,0.9028373,2.0250604,0.9920623,6.8662114,0.81535995,1.8380094,1.0597064,7.5354085,0.66295713,2.3120775,1.139487,7.266984,1.2680279,1.8686327,1.0860167,7.6570787,1.294527,2.0972369,1.1610113
4,3.6807559,0.98311234,1.2154247,1.1053867,3.1002934,0.96950936,1.5023302,1.1643614,6.2459807,0.74580044,1.5118289,1.1829327,6.0122294,0.80837584,1.5381712,1.1821289,2.0657609,0.99555653,1.6463292,1.0137055,1.242111,1.1343322,1.9526299,1.0089293,3.2335584,0.9215149,1.944723,1.0673535,2.795854,0.9852251,1.6937183,1.1232295,2.568011,1.2475145,1.9945039,1.0455446,2.1442585,1.0414039,1.8515987,1.0246282,3.5997272,0.8660078,1.8548937,1.1240337,3.2068744,0.94155836,1.9986209,0.942122,6.095625,0.8364111,1.7738726,1.0462139,7.010473,0.7863059,1.8492762,1.0210878,6.715711,1.15276,1.8113571,1.1171159,6.9926505,1.0527554,1.9196469,1.1257474
5,3.5023775,0.9324171,1.3290048,1.0777893,2.9391346,0.9396894,1.5442095,1.0805696,5.957812,0.7298662,1.3692528,1.1468921,5.743496,0.7687685,1.4558289,1.0692225,1.9151491,1.0316712,1.55813,0.9949931,1.1670378,1.1014885,1.752715,1.0222247,3.0393384,0.8855494,1.8245523,1.0637063,2.7031763,0.88949347,1.5833484,1.1711917,2.547629,0.9907982,1.9054098,1.0924894,1.9942238,1.00496,1.6675462,1.0167415,3.3315675,0.83655363,1.7759266,1.0185142,3.0928092,0.8639519,1.9347123,0.8854504,5.6257014,0.78623927,1.7034986,1.0413482,6.4614925,0.61928844,1.7613001,1.0592536,6.1923695,1.131892,1.7388895,1.0812778,6.487236,0.92835456,1.8881468,1.0989641
6,3.336246,0.98470676,1.0920378,1.1302713,2.869302,0.90627193,1.4719297,1.0396546,5.645702,0.74470496,1.2952776,1.1617755,5.5479374,0.7638055,1.2961243,1.1343778,2.0817327,0.999117,1.5221999,0.98172915,1.1718354,1.120654,1.9361409,0.9642309,2.8471613,0.87840396,1.7779199,1.035186,2.4866195,0.8945038,1.5815325,1.0487828,2.295396,1.0095534,1.7504252,0.93457514,1.9186008,0.9702633,1.598253,1.0364028,3.113318,0.80980104,1.6847346,1.2259818,2.9630873,0.8806194,1.678166,1.0021862,5.5198636,0.93634963,1.5624115,1.026422,6.361299,0.7034393,1.6228284,0.9638357,5.9231014,1.1608312,1.6978537,1.0800552,6.3116097,1.117993,1.8045487,2.1798706
