,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,97,54,10,100,100,57,10,100,100,55,10,86,96,57,10,83,96,60,10,100,87,55,10,98,83,55,10,91,71,50,10,98,75,53,10,100,74,50,10,98,71,51,10,92,63,50,10,100,67,47,10,77,96,66,10,66,98,67,10,46,98,42,10,52,97,57
1,20,100,100,45,20,100,100,63,20,100,100,59,20,100,100,70,20,95,100,65,20,100,99,64,20,100,99,62,20,100,89,52,20,100,93,61,20,100,98,69,20,100,99,74,20,97,96,72,20,100,98,73,20,94,100,80,20,77,100,81,20,54,100,59,20,69,100,69
2,30,100,100,52,30,100,100,70,30,100,100,70,30,100,100,73,30,100,100,76,30,100,100,67,30,100,100,65,30,100,95,65,30,100,99,66,30,100,100,82,30,100,100,83,30,98,100,84,30,100,100,84,30,95,100,86,30,82,100,84,30,60,100,72,30,75,100,78
3,40,100,100,51,40,100,100,77,40,100,100,77,40,100,100,77,40,100,100,78,40,100,100,77,40,100,100,69,40,100,98,69,40,100,100,72,40,100,100,90,40,100,100,89,40,98,100,89,40,100,100,89,40,97,100,88,40,88,100,88,40,71,100,79,40,78,100,83
4,50,100,100,57,50,100,100,78,50,100,100,80,50,100,100,77,50,100,100,78,50,100,100,85,50,100,100,72,50,100,100,74,50,100,100,79,50,100,100,92,50,100,100,92,50,100,100,92,50,100,100,92,50,98,100,92,50,97,100,91,50,77,100,86,50,85,100,87
5,60,100,100,52,60,100,100,80,60,100,100,79,60,100,100,79,60,100,100,78,60,100,100,89,60,100,100,78,60,100,100,82,60,100,100,84,60,100,100,95,60,100,100,94,60,100,100,95,60,100,100,95,60,100,100,94,60,98,100,93,60,83,100,89,60,86,100,91
6,70,100,100,56,70,100,100,81,70,100,100,80,70,100,100,79,70,100,100,79,70,100,100,91,70,100,100,82,70,100,100,87,70,100,100,89,70,100,100,96,70,100,100,96,70,100,100,96,70,100,100,96,70,100,100,95,70,100,100,95,70,88,100,91,70,89,100,94
7,80,100,100,54,80,100,100,81,80,100,100,81,80,100,100,78,80,100,100,79,80,100,100,93,80,100,100,87,80,100,100,90,80,100,100,92,80,100,100,97,80,100,100,97,80,100,100,97,80,100,100,97,80,100,100,96,80,100,100,96,80,92,100,93,80,94,100,95
8,90,100,100,56,90,100,100,81,90,100,100,82,90,100,100,80,90,100,100,79,90,100,100,95,90,100,100,90,90,100,100,91,90,100,100,94,90,100,100,97,90,100,100,97,90,100,100,97,90,100,100,97,90,100,100,97,90,100,100,97,90,94,100,94,90,94,100,96
9,100,100,100,54,100,100,100,82,100,100,100,82,100,100,100,81,100,100,100,80,100,100,100,95,100,100,100,91,100,100,100,93,100,100,100,95,100,100,100,98,100,100,100,97,100,100,100,98,100,100,100,98,100,100,100,98,100,100,100,97,100,94,100,95,100,95,100,97
