,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,"spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val"
t_iter_avg,38,38,54.9,54.9,105.2,105.2,151.1,151.1,245.3,245.3,154.2,154.2,169.1,169.1,217.7,217.7,272.8,272.8,134.6,134.6,206,206,282,282,310,310,162.2,162.2,228,228,280,280,304.5,304.5
budget_usage,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887,1.00012611930887
sensor_usage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.969230769230769,0.969230769230769,0.969230769230769,0.969230769230769,0.969230769230769,0.969230769230769,0.969230769230769,0.969230769230769
streamtime_usage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_loss,0.99614775,0.99614775,0.466922253370285,0.466922253370285,0.451847314834595,0.451847314834595,0.474479526281357,0.474479526281357,0.449751108884811,0.449751108884811,0.164363324642181,0.164363324642181,0.154839396476746,0.154839396476746,0.141049221158028,0.141049221158028,0.177231565117836,0.177231565117836,0.066369891166687,0.066369891166687,0.063228711485863,0.063228711485863,0.059990216046572,0.059990216046572,0.066537082195282,0.066537082195282,0.071253336966038,0.071253336966038,0.07538578659296,0.07538578659296,0.073496855795384,0.073496855795384,0.075422778725624,0.075422778725624
RF_loss,2.1563933,2.1563933,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604,2.15639328956604
cand_subsample_rate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
points_percluster_rate,,,0.25,0.25,0.5,0.5,0.75,0.75,1,1,0.25,0.25,0.5,0.5,0.75,0.75,1,1,0.25,0.25,0.5,0.5,0.75,0.75,1,1,0.25,0.25,0.5,0.5,0.75,0.75,1,1
0,2.1912100315094,1.90136659145355,7.31915140151978,1.39491975307465,7.77971363067627,1.22691440582275,8.05265522003174,1.21515703201294,9.09603309631348,1.27512037754059,3.71441221237183,1.46851062774658,3.45839858055115,1.72743511199951,3.33246088027954,1.48830306529999,3.64093637466431,1.44634759426117,2.67243933677673,1.63908851146698,2.14557290077209,1.60153567790985,2.2145984172821,1.57843744754791,2.2556529045105,1.72467911243439,14.5231304168701,1.1959148645401,14.2054014205933,1.18174695968628,13.6079998016357,2.22871518135071,14.1666374206543,1.35086894035339
1,1.72964370250702,1.49250912666321,5.4030818939209,1.40623807907105,5.77265501022339,1.33185088634491,6.04100322723389,1.19680714607239,6.74052667617798,1.17177426815033,2.07882642745972,1.33725965023041,2.11690235137939,1.37035655975342,2.12337589263916,1.3535612821579,2.02789807319641,1.37199461460114,1.2899683713913,1.71009969711304,1.09631597995758,1.4689154624939,1.10533726215363,1.41199195384979,1.11070287227631,1.75049316883087,11.2471761703491,1.33115553855896,11.2199459075928,1.15814411640167,9.38385009765625,0.895769476890564,10.7259607315063,1.05456960201263
