,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,"spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val"
2,1.5203287601470947,1.391166090965271,4.248376369476318,1.1718323230743408,5.248709678649902,1.05476713180542,5.884933948516846,1.0724763870239258,6.543098449707031,1.0406007766723633,2.9040117263793945,1.2372148036956787,3.564603805541992,1.2747727632522583,3.694293737411499,1.159515619277954,3.9566221237182617,1.1212266683578491,1.8384886980056763,1.307605504989624,2.98500394821167,1.4069688320159912,2.1944382190704346,1.3093510866165161,2.5713868141174316,1.3273402452468872,4.424015998840332,1.740621566772461,6.838032245635986,1.2145673036575317,6.6093831062316895,1.7412570714950562,7.2465314865112305,1.224244236946106
3,1.4775182008743286,1.2971116304397583,3.8580970764160156,1.1148749589920044,4.828737735748291,1.0374606847763062,5.3849310874938965,1.0640674829483032,5.916807651519775,0.9737766981124878,2.736060619354248,1.1229571104049683,3.348224639892578,1.1679542064666748,3.2454819679260254,1.0589196681976318,3.5140504837036133,1.0468004941940308,1.792222261428833,1.3461036682128906,2.139197826385498,1.413561463356018,2.099337339401245,1.2717275619506836,2.404381275177002,1.424289345741272,4.039168834686279,1.2744336128234863,5.8084564208984375,1.0769463777542114,6.0237932205200195,1.0852906703948975,6.725722312927246,0.9206909537315369
4,1.3945327997207642,1.4761663675308228,3.497053861618042,1.065412998199463,4.486876010894775,1.0318355560302734,4.988306999206543,1.101144790649414,5.4653778076171875,0.9266090393066406,2.5180134773254395,1.066846251487732,3.097846031188965,1.1473994255065918,2.949629545211792,1.0795131921768188,3.301266670227051,0.9936249256134033,1.7503236532211304,1.3305991888046265,1.9960646629333496,1.3034923076629639,2.0182340145111084,1.3352649211883545,2.2662198543548584,1.327994465827942,3.5129880905151367,1.17879056930542,5.219672203063965,1.2802739143371582,5.705747604370117,1.1314773559570312,6.144351959228516,0.8696480393409729
5,1.3190351724624634,1.2446843385696411,3.234262704849243,1.0526421070098877,4.227511882781982,1.0110939741134644,4.554400444030762,0.978905200958252,5.0776495933532715,0.9651347994804382,2.291748046875,1.0434662103652954,2.7815239429473877,1.0156110525131226,2.801865339279175,0.9640639424324036,2.9125943183898926,0.9810663461685181,1.6596075296401978,1.307172179222107,2.032266139984131,1.295107126235962,1.9417210817337036,1.2456520795822144,2.1327285766601562,1.3859449625015259,3.2933077812194824,1.0436794757843018,4.825375080108643,1.1682233810424805,5.310464859008789,1.1770349740982056,5.8865966796875,1.0465328693389893
6,1.220271348953247,1.29428231716156,3.019362211227417,0.9970402121543884,3.964866876602173,0.9296050667762756,4.2687249183654785,0.9889914393424988,4.872688293457031,0.9265441298484802,2.1640288829803467,1.0169117450714111,2.676082134246826,1.0229077339172363,2.684232473373413,1.028766393661499,2.8351023197174072,0.9787507653236389,1.5865364074707031,1.2385536432266235,1.8738676309585571,1.4155278205871582,1.7329891920089722,1.2140257358551025,1.943045973777771,1.2735333442687988,3.0383262634277344,1.0374573469161987,4.510039329528809,1.4903517961502075,5.0657429695129395,1.20442533493042,5.645166397094727,0.854376494884491
7,1.141823410987854,1.1792422533035278,2.7693114280700684,0.9761168360710144,3.689338445663452,1.0065027475357056,4.150898456573486,1.0363013744354248,4.624261379241943,0.9303997755050659,2.0342705249786377,0.9613082408905029,2.6181633472442627,0.9891519546508789,2.50833797454834,0.9743387699127197,2.6926262378692627,0.962367832660675,1.551082730293274,1.2304607629776,1.9076391458511353,1.3082618713378906,1.6181933879852295,1.2822751998901367,1.9217890501022339,1.2529125213623047,2.874706506729126,1.1393684148788452,4.607173442840576,0.9609292149543762,4.912893772125244,1.0040448904037476,5.4702911376953125,1.0981262922286987
8,1.0982309579849243,1.2273805141448975,2.594024419784546,0.9666820168495178,3.3835346698760986,1.0393173694610596,4.036518573760986,0.8990923762321472,4.648763656616211,0.8900110721588135,1.9453045129776,1.091878056526184,2.3550827503204346,1.095500111579895,2.344855308532715,0.937007486820221,2.5367767810821533,0.9469261169433594,1.4503469467163086,1.220902681350708,1.8394536972045898,1.2541414499282837,1.5632472038269043,1.2059849500656128,1.7776051759719849,1.3701653480529785,2.790713310241699,1.0086379051208496,4.0596489906311035,1.1231012344360352,4.740718841552734,0.9653893709182739,5.266990661621094,0.9333359599113464
9,1.0199871063232422,1.221101999282837,2.5628674030303955,0.9530067443847656,3.3065693378448486,0.963834822177887,3.8095052242279053,0.9740526676177979,4.540522575378418,0.8820408582687378,1.811081051826477,0.9664769768714905,2.2503554821014404,0.9745181798934937,2.2411437034606934,0.9051963686943054,2.4832465648651123,0.9708766341209412,1.3674225807189941,1.224994421005249,1.792418360710144,1.2556824684143066,1.4955706596374512,1.1211432218551636,1.7146365642547607,1.1816370487213135,2.6244466304779053,1.0282700061798096,3.940739393234253,0.9687830805778503,4.568008899688721,1.0725246667861938,5.1032185554504395,0.9566687345504761
10,0.9830189943313599,1.0860202312469482,2.326249599456787,1.0086181163787842,3.21445894241333,0.8957010507583618,3.63917875289917,0.911373496055603,4.347738742828369,1.0486526489257812,1.7071752548217773,0.962641179561615,2.1232476234436035,1.086256980895996,2.0672667026519775,0.9352796077728271,2.326382637023926,0.9449325203895569,1.3121862411499023,1.3395403623580933,1.657859444618225,1.2941097021102905,1.39839768409729,1.1514586210250854,1.617849588394165,1.23073410987854,2.4830896854400635,1.0137712955474854,3.717258930206299,1.1446266174316406,4.45395040512085,0.882452130317688,4.950236797332764,1.0189177989959717
11,0.8790940642356873,1.1256859302520752,2.180595874786377,0.9271039366722107,3.0260117053985596,0.9421093463897705,3.564189910888672,0.8925809860229492,4.110306739807129,0.9417130351066589,1.657792568206787,0.9512888789176941,2.0526833534240723,1.0127050876617432,1.9879624843597412,0.9455082416534424,2.203780174255371,0.9945660829544067,1.3135119676589966,1.2120463848114014,1.5931445360183716,1.2564923763275146,1.369222640991211,1.1596347093582153,1.4894450902938843,1.2051708698272705,2.4265222549438477,1.2021026611328125,3.6631686687469482,0.993554413318634,4.332991600036621,1.2127726078033447,4.902182102203369,1.0336213111877441
12,0.8653040528297424,1.0834189653396606,2.081097364425659,0.9452469944953918,2.8263087272644043,0.8889632821083069,3.3727974891662598,0.9680429100990295,3.913240909576416,0.9657321572303772,1.6242380142211914,0.9778340458869934,1.9617893695831299,1.0106337070465088,1.9101353883743286,1.0211296081542969,2.149895191192627,0.9179104566574097,1.2501637935638428,1.1849688291549683,1.5021437406539917,1.2178229093551636,1.3724708557128906,1.1328297853469849,1.467266321182251,1.398720145225525,2.3404037952423096,0.9867300391197205,3.44648814201355,1.1058557033538818,4.178304672241211,1.0394068956375122,4.753347873687744,1.3450933694839478
13,0.8488192558288574,1.3022538423538208,2.0231077671051025,0.9210795164108276,2.8494009971618652,0.8598241209983826,3.206941604614258,0.9652291536331177,3.8648462295532227,0.92486971616745,1.4631388187408447,1.018327236175537,1.9071176052093506,0.9632802605628967,1.9128539562225342,0.9971232414245605,2.0116193294525146,0.9073905944824219,1.1857255697250366,1.1837431192398071,1.4404256343841553,1.1702218055725098,1.271582841873169,1.1810053586959839,1.4349032640457153,1.2329334020614624,2.212709426879883,0.9875103831291199,3.4254403114318848,1.0031150579452515,4.023187637329102,1.3036267757415771,4.635548114776611,1.0449727773666382
14,0.803015410900116,1.1532864570617676,1.820198655128479,0.9370647668838501,2.6970674991607666,0.8569672703742981,3.16166353225708,0.9945559501647949,3.7248737812042236,1.0522476434707642,1.4576624631881714,0.9780486226081848,1.8575392961502075,0.9618378281593323,1.7109259366989136,0.9483998417854309,1.9526262283325195,1.0608282089233398,1.1141411066055298,1.1446775197982788,1.3462023735046387,1.186119556427002,1.1907161474227905,1.125349521636963,1.3257547616958618,1.1590285301208496,2.159169912338257,1.0192296504974365,3.2686421871185303,1.0320156812667847,3.9108710289001465,1.0327130556106567,4.431863307952881,1.2005748748779297
15,0.7699519991874695,1.1565582752227783,1.7880138158798218,0.9404752850532532,2.5688741207122803,0.8701823353767395,2.9925549030303955,0.9025370478630066,3.630629301071167,0.9495897889137268,1.3263359069824219,1.0158544778823853,1.7677288055419922,1.0400382280349731,1.6828618049621582,0.9434080719947815,1.84574294090271,0.9322077631950378,1.1563427448272705,1.225115180015564,1.251137614250183,1.171995759010315,1.1935240030288696,1.131104588508606,1.2482715845108032,1.303164005279541,2.0867629051208496,1.2471399307250977,3.13859486579895,0.9641523957252502,3.85874080657959,1.1999917030334473,4.333926200866699,0.8177812695503235
16,0.6872171759605408,1.188113808631897,1.7396808862686157,0.9577255249023438,2.4673893451690674,0.9432883262634277,2.9040799140930176,0.951291024684906,3.3772096633911133,0.9990284442901611,1.2700157165527344,1.0258156061172485,1.6480540037155151,0.9480101466178894,1.639557957649231,1.0118921995162964,1.7697752714157104,0.9025316834449768,1.0274031162261963,1.1790672540664673,1.1921288967132568,1.1090455055236816,1.1195498704910278,1.1420608758926392,1.2387710809707642,1.1478599309921265,2.0148816108703613,1.0341545343399048,3.0660719871520996,1.1164335012435913,3.7774128913879395,1.0641144514083862,4.21843147277832,1.0145434141159058
