,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,"spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val"
t_iter_avg,38.3,38.3,101.6,101.6,159.3,159.3,207.8,207.8,252.8,252.8,139.9,139.9,237.7,237.7,317.8,317.8,340.9,340.9,138.9,138.9,228.5,228.5,329.1,329.1,402.2,402.2,150.6,150.6,221,221,317.2,317.2,429,429
budget_usage,0.799659477866061,0.799659477866061,0.598562239878925,0.598562239878925,0.455416824315803,0.455416824315803,0.373187034935049,0.373187034935049,0.321225879682179,0.321225879682179,0.637470046664144,0.637470046664144,0.603985370160171,0.603985370160171,0.527872367259427,0.527872367259427,0.502774624795056,0.502774624795056,0.528439904149325,0.528439904149325,0.449552276453525,0.449552276453525,0.418274687854711,0.418274687854711,0.405536637659226,0.405536637659226,0.422184386429562,0.422184386429562,0.321225879682179,0.321225879682179,0.270462857863539,0.270462857863539,0.224555429436247,0.224555429436247
sensor_usage,1,1,1,1,1,1,0.984615384615385,0.984615384615385,0.984615384615385,0.984615384615385,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.769230769230769,0.769230769230769,0.723076923076923,0.723076923076923,0.753846153846154,0.753846153846154,0.646153846153846,0.646153846153846
streamtime_usage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997946611909651,0.997946611909651,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997946611909651,0.997946611909651
test_loss,0.9384225,0.9384225,0.510938405990601,0.510938405990601,0.544241845607758,0.544241845607758,0.556773006916046,0.556773006916046,0.609434485435486,0.609434485435486,0.256552368402481,0.256552368402481,0.310602754354477,0.310602754354477,0.298656910657883,0.298656910657883,0.400960505008698,0.400960505008698,0.23827600479126,0.23827600479126,0.21228800714016,0.21228800714016,0.226118057966232,0.226118057966232,0.266932308673859,0.266932308673859,0.614995419979095,0.614995419979095,0.838485300540924,0.838485300540924,0.768299400806427,0.768299400806427,0.881250381469727,0.881250381469727
RF_loss,1.8067101,1.8067101,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581,1.80671012401581
cand_subsample_rate,,,0.25,0.25,0.5,0.5,0.75,0.75,1,1,0.25,0.25,0.5,0.5,0.75,0.75,1,1,0.25,0.25,0.5,0.5,0.75,0.75,1,1,0.25,0.25,0.5,0.5,0.75,0.75,1,1
points_percluster_rate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,3.75292563438416,1.32064092159271,11.2532930374146,1.28353428840637,10.4470481872559,0.948744475841522,10.5965633392334,0.899771869182587,11.1060886383057,0.842936158180237,8.36210536956787,1.16457462310791,7.37572383880615,1.1793121099472,5.15826988220215,1.07723391056061,7.13324117660522,1.07500541210175,7.86797094345093,1.64475083351135,4.95753288269043,1.51321995258331,5.30565214157105,1.51702094078064,6.92027378082275,1.58280181884766,6.74117946624756,1.22284138202667,11.3949432373047,1.08109188079834,14.6159076690674,0.85155975818634,14.6133441925049,0.963488519191742
1,1.02863883972168,1.49290001392365,4.08455610275269,0.945509195327759,5.43879508972168,0.884565114974976,6.01251840591431,0.851827621459961,7.54265928268433,0.843407869338989,2.03177642822266,1.06672585010529,2.40615606307983,0.995129466056824,2.21640110015869,1.14942014217377,2.59593272209167,1.04567170143127,0.894331514835358,1.48932003974915,1.11937522888184,1.62503957748413,1.30503571033478,1.50641012191772,1.32838022708893,1.51496016979218,4.44090986251831,1.21038722991943,6.74109315872192,1.08554124832153,8.34509563446045,1.4083343744278,9.27781581878662,0.814051508903503
