,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,75,0,10,0,93,0,10,0,94,0,10,0,85,19,10,0,86,8,10,0,65,0,10,0,61,8,10,0,43,14,10,0,51,14,10,0,56,14,10,0,57,15,10,0,45,14,10,0,51,20,10,0,84,39,10,0,83,40,10,0,86,28,10,0,86,27
1,19,0,93,0,18,0,100,0,18,0,100,0,15,0,98,32,15,0,98,36,19,0,90,21,19,0,86,23,18,0,59,30,19,0,77,29,18,0,92,54,18,0,94,58,18,0,86,60,18,0,91,61,14,0,92,37,13,0,91,38,12,0,91,15,12,0,91,11
2,28,0,99,0,26,0,100,7,25,0,100,0,17,0,99,36,17,0,99,26,27,0,97,39,28,0,95,36,24,0,69,36,25,0,89,42,24,0,99,71,24,0,98,72,22,0,97,75,23,0,98,76,18,0,96,42,15,0,94,35,14,0,94,0,14,0,94,29
3,37,0,100,0,34,0,100,8,31,0,100,0,18,0,100,39,18,0,100,43,35,0,99,49,35,0,97,50,30,0,76,44,32,0,94,52,28,0,100,79,28,0,99,78,25,0,99,79,26,0,100,80,21,0,98,47,16,0,95,36,15,0,95,0,15,0,95,6
4,45,0,100,0,40,0,100,9,36,0,100,0,19,0,100,36,19,0,100,29,42,0,100,59,42,0,99,56,34,0,83,53,37,0,97,60,30,0,100,80,31,0,100,79,26,0,100,82,28,0,100,82,23,0,99,46,17,0,96,40,16,0,96,0,16,0,96,21
5,52,0,100,6,47,0,100,12,40,0,100,2,20,0,100,28,20,0,100,9,48,0,100,66,48,0,100,61,38,0,86,56,42,0,98,66,33,0,100,82,33,0,100,82,28,0,100,83,30,0,100,83,26,0,99,52,18,0,97,36,16,0,96,0,18,0,97,36
6,60,0,100,0,53,0,100,14,44,0,100,0,20,0,100,28,21,0,100,29,53,0,100,70,53,0,100,69,42,0,90,62,47,0,99,70,35,0,100,84,35,0,100,81,29,0,100,83,31,0,100,84,28,0,99,53,19,0,97,35,17,0,97,0,18,0,97,21
7,67,0,100,4,59,0,100,25,48,0,100,0,21,0,100,30,21,0,100,21,58,0,100,75,58,0,100,72,45,0,92,63,51,0,100,74,37,0,100,85,37,0,100,84,30,0,100,83,32,0,100,83,30,0,100,53,20,0,98,38,18,0,97,0,19,0,97,27
8,73,0,100,0,64,0,100,29,51,0,100,3,21,0,100,32,22,0,100,0,63,0,100,76,62,0,100,76,47,0,94,67,54,0,100,76,38,0,100,85,39,0,100,83,31,0,100,83,33,0,100,84,32,0,100,62,20,0,99,21,18,0,97,0,20,0,97,21
9,80,0,100,4,70,0,100,27,54,0,100,2,22,0,100,23,22,0,100,11,67,0,100,79,66,0,100,76,50,0,96,71,56,0,100,78,40,0,100,85,41,0,100,84,31,0,100,83,34,0,100,85,33,0,100,58,21,0,99,18,19,0,97,0,20,0,97,7
