,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,96,100,33,10,92,100,15,10,86,100,0,10,38,100,25,10,39,100,30,10,94,100,38,10,78,100,28,10,55,100,31,10,65,100,30,10,72,100,11,10,70,100,12,10,53,100,8,10,60,100,10,10,60,100,39,10,48,100,24,10,41,100,30,10,47,100,42
1,20,100,100,33,20,99,100,36,20,96,100,25,20,48,100,19,20,50,100,38,20,100,100,41,20,95,100,40,20,67,100,24,20,90,100,40,20,87,100,23,20,80,100,15,20,67,100,16,20,67,100,8,20,78,100,23,20,65,100,25,20,55,100,19,20,62,100,32
2,30,100,100,35,30,100,100,40,30,99,100,38,30,59,100,14,30,59,100,34,30,100,100,38,30,100,100,38,30,77,100,30,30,97,100,38,30,96,100,37,30,87,100,0,30,73,100,17,30,84,100,20,30,86,100,26,30,72,100,24,30,64,100,19,30,72,100,20
3,40,100,100,36,40,100,100,37,40,99,100,36,40,63,100,30,40,65,100,30,40,100,100,47,40,100,100,45,40,81,100,34,40,98,100,43,40,97,100,66,40,91,100,51,40,84,100,20,40,87,100,21,40,92,100,30,40,79,100,26,40,72,100,22,40,77,100,28
4,50,100,100,39,50,100,100,42,50,99,100,41,50,68,100,32,50,72,100,40,50,100,100,43,50,100,100,49,50,88,100,49,50,99,100,50,50,97,100,54,50,95,100,52,50,90,100,19,50,91,100,19,50,95,100,29,50,83,100,25,50,81,100,26,50,85,100,25
5,60,100,100,43,60,100,100,42,60,100,100,42,60,77,100,23,60,78,100,38,60,100,100,43,60,100,100,47,60,92,100,45,60,100,100,42,60,99,100,20,60,97,100,45,60,92,100,19,60,94,100,19,60,96,100,28,60,88,100,25,60,84,100,24,60,90,100,25
6,70,100,100,40,70,100,100,49,70,100,100,36,70,82,100,10,70,83,100,35,70,100,100,46,70,100,100,47,70,96,100,39,70,100,100,53,70,99,100,27,70,98,100,38,70,94,100,19,70,95,100,18,70,98,100,26,70,92,100,24,70,86,100,24,70,92,100,24
7,80,100,100,32,80,100,100,48,80,100,100,45,80,87,100,29,80,87,100,38,80,100,100,39,80,100,100,42,80,97,100,33,80,100,100,51,80,99,100,19,80,98,100,20,80,95,100,17,80,95,100,17,80,99,100,23,80,93,100,18,80,90,100,22,80,95,100,23
8,90,100,100,48,90,100,100,37,90,100,100,48,90,91,100,24,90,89,100,44,90,100,100,49,90,100,100,35,90,98,100,32,90,100,100,40,90,99,100,17,90,98,100,16,90,96,100,15,90,95,100,17,90,99,100,21,90,96,100,17,90,92,100,19,90,97,100,20
9,100,100,100,9,100,100,100,33,100,100,100,47,100,93,100,25,100,92,100,42,100,100,100,40,100,100,100,36,100,99,100,36,100,100,100,36,100,99,100,16,100,98,100,15,100,96,100,0,100,96,100,17,100,100,100,17,100,96,100,16,100,94,100,17,100,98,100,17
