,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,random spatio-temporal X_st rnd d_c train,random spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,random spatio-temporal X_st min d_c train,random spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,random spatio-temporal X_st max d_c train,random spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,random spatio-temporal X_st avg d_c train,random spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","random spatio-temporal X_(t,s) rnd d_c train","random spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","random spatio-temporal X_(t,s) min d_c train","random spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","random spatio-temporal X_(t,s) max d_c train","random spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","random spatio-temporal X_(t,s) avg d_c train","random spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","random spatio-temporal Y_hat_(t,s) rnd d_c train","random spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","random spatio-temporal Y_hat_(t,s) min d_c train","random spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","random spatio-temporal Y_hat_(t,s) max d_c train","random spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","random spatio-temporal Y_hat_(t,s) avg d_c train","random spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","random spatio-temporal Y_(t,s) rnd d_c train","random spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","random spatio-temporal Y_(t,s) min d_c train","random spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","random spatio-temporal Y_(t,s) max d_c train","random spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val","random spatio-temporal Y_(t,s) avg d_c train","random spatio-temporal Y_(t,s) avg d_c val"
test_loss,0.2714235,0.2714235,0.28508246,0.28508246,0.25402442,0.25402442,0.2565979,0.2565979,0.3137887,0.3137887,0.31803358,0.31803358,0.3250663,0.3250663,0.32266283,0.32266283,0.17300437,0.17300437,0.19107814,0.19107814,0.149168,0.149168,0.15555955,0.15555955,0.10935173,0.10935173,0.11111742,0.11111742,0.16279136,0.16279136,0.16814359,0.16814359,0.0498897,0.0498897,0.052399572,0.052399572,0.051271297,0.051271297,0.051624388,0.051624388,0.16768257,0.16768257,0.045291863,0.045291863,0.04548518,0.04548518,0.04699636,0.04699636,0.05210948,0.05210948,0.13486378,0.13486378,0.061669353,0.061669353,0.11220534,0.11220534,0.06936573,0.06936573,0.12695609,0.12695609,0.06560624,0.06560624,0.12743181,0.12743181
PL_loss,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069,0.2610069
RF_loss,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071,0.53071
0,2.566889,0.4876874,1.1046644,0.7486159,2.3372512,0.48774794,1.0358812,0.45764637,2.4254193,0.4465521,1.119826,0.50518924,2.2895963,0.58041894,0.7764034,0.4659667,2.0782073,0.40701446,1.0927086,0.44712698,1.1498855,0.4314786,0.8710489,0.4422535,2.5976028,0.43124303,1.7476441,0.4670636,1.4027531,0.46583351,2.2188156,0.45447525,2.557666,0.47782627,1.3433636,4.874026,1.8917093,0.49450514,1.2647054,0.8574784,2.8158894,0.4696981,1.3010491,1.2668135,3.2358716,0.4890237,1.2990949,1.4700019,3.686713,0.54256535,1.0905071,0.6227771,3.5639775,3.6068804,1.2761744,0.55562407,4.4719477,0.94383603,1.2448398,0.4529245,3.7012994,0.62904507,2.1997576,0.43802422
1,0.5209854,0.43542424,0.4980459,0.43426853,0.5530857,0.43389583,0.480768,0.45344338,0.55903757,0.46240327,0.4383153,0.42663205,0.59150904,0.43412992,0.5018667,0.4112272,0.62902385,0.38377717,0.5587805,0.41941467,0.57320154,0.3738284,0.56684434,0.40554056,0.7580487,0.4086709,0.67253405,0.38321674,0.8391672,0.3842173,0.6305384,0.4132535,0.67246014,0.41784838,0.7589296,1.8490434,0.64974296,0.440854,0.7926241,0.4040186,0.62376845,0.869147,0.7415892,0.40628526,0.66762125,0.46045357,0.68143547,0.42684844,2.814781,0.5092993,0.70631003,0.3733303,2.808381,2.8724337,0.73162955,0.38228244,2.9242823,1.0945269,0.79815453,0.41136923,2.8131237,0.6812978,0.7212932,0.45403656
2,0.44179225,0.42608815,0.40634546,0.43649846,0.4568863,0.42409247,0.47091284,0.3831524,0.5206878,0.46436512,0.4464262,0.39840874,0.5209767,0.40824232,0.49370646,0.39670956,0.51569444,0.375077,0.5246095,0.36942002,0.6117952,0.36535037,0.5524069,0.36164287,0.53585666,0.37648398,0.6111428,0.39085338,0.47249863,0.38870862,0.57029235,0.35354823,0.5252609,0.42055312,0.7329245,2.3093684,0.56925416,0.60641235,0.6863345,0.36541793,0.5495384,0.55578715,0.66604954,0.3518892,0.5114598,0.41975418,0.65831333,0.37758332,2.6883545,0.3849465,0.6366695,0.38907108,2.6830409,1.8831753,0.669979,0.36321372,2.8011584,0.8031995,0.672935,0.37951273,2.6410816,0.41459423,0.7546411,0.422189
3,0.42207706,0.3571962,0.41232118,0.37502223,0.42431355,0.41360942,0.4107567,0.37349212,0.46253195,0.4125912,0.37798142,0.38961992,0.45137534,0.40825194,0.40097892,0.373712,0.46096545,0.34934568,0.4919052,0.35377398,0.48599163,0.34376442,0.50069135,0.34825924,0.4727651,0.3739492,0.5727082,0.39891112,0.41757968,0.3778482,0.558386,0.36766848,0.52466375,0.3802377,0.66576564,1.5560188,0.5062581,0.66833794,0.66397315,0.34746733,0.48658934,2.3047256,0.6618766,0.37678677,0.4467094,0.36781943,0.609707,0.3385453,2.545675,0.47496793,0.61733526,0.35483012,2.540191,0.42278442,0.62720585,0.3423115,2.610031,0.6142907,0.6383656,0.3906388,2.4527557,0.7737952,0.73161685,0.36485082
4,0.383603,0.38187534,0.36811295,0.36350363,0.39843386,0.3896876,0.4044321,0.3574466,0.47145152,0.4051995,0.36161622,0.36618543,0.46823132,0.40384093,0.36371636,0.63925964,0.47598228,0.3387435,0.4580448,0.34075433,0.44573694,0.36919498,0.488415,0.35369644,0.43021515,0.37109664,0.5569628,0.34075528,0.4081419,0.35229406,0.53022504,0.34719107,0.5231841,0.38605496,0.64493763,1.6515462,0.4697675,0.6732669,0.65091264,0.33108205,0.46875626,3.3035634,0.6527722,0.334497,0.4192464,0.3752695,0.58789015,0.36870903,2.2957819,0.37003458,0.59379935,0.3664995,2.2614675,0.64576006,0.61841875,0.36152312,2.3141708,0.8816996,0.6212997,0.38487443,2.2915764,0.5326257,0.63236654,0.36536214
5,0.38656098,0.35931912,0.35780546,0.34095463,0.38817063,0.40301162,0.3786859,0.34484053,0.4280073,0.41370225,0.34558925,0.36659136,0.41979122,0.3975865,0.3862274,0.36197883,0.92684674,0.34920463,0.44981933,0.39151874,0.45107636,0.34940797,0.46672896,0.38931423,0.42269263,0.35907638,0.5508381,0.3379858,0.3988809,0.3474951,0.51393783,0.35678586,0.46474522,0.35137182,0.63599056,2.5860674,0.4410624,2.4834282,0.6489153,0.33735234,0.43738052,0.39292306,0.645258,0.3339087,0.42551947,0.359515,0.60161656,0.34433794,2.0586233,0.5556553,0.5873465,0.33899626,2.0336437,0.6440914,0.5869526,0.351747,2.1034863,0.7644724,0.6013018,0.35215044,2.094416,0.6619024,0.6248111,0.3419559
6,0.36705104,0.38822433,0.34071097,0.3475558,0.39250043,0.37173545,0.3691399,0.36136276,0.4247092,0.41011018,0.33351672,0.38331035,0.422103,0.39264578,0.34709394,0.35713968,0.43057275,0.33400756,0.43566668,0.3591327,0.42846176,0.34537968,0.45744064,0.3395649,0.4090733,0.35966006,0.5277646,0.3386557,0.3885094,0.35354874,0.50838965,0.33328503,0.4518445,0.36250108,0.6220029,1.5148791,0.42390415,2.8006585,0.60694104,0.33156753,0.43978167,0.6250773,0.579714,0.34500054,0.41186216,0.3712743,0.5550773,0.36057955,1.9180577,0.39544,0.57523465,0.3619288,1.8890605,0.54933506,0.56173474,0.33506244,1.9630173,0.43854937,0.57247144,0.35595736,1.8934746,0.6908895,0.60355437,0.35048795
