,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,"spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val"
t_iter_avg,42.2,42.2,392.3,392.3,582.2,582.2,818.7,818.7,950.1,950.1,627.7,627.7,951.8,951.8,999.7,999.7,1079.1,1079.1,563.2,563.2,813.7,813.7,965.1,965.1,1199.8,1199.8,552.0,552.0,747.8,747.8,946.0,946.0,1062.1,1062.1
budget_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sensor_usage,1.0,1.0,1.0,1.0,0.990990990990991,0.990990990990991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.990990990990991,0.990990990990991,1.0,1.0,0.9954954954954955,0.9954954954954955,1.0,1.0,0.9234234234234234,0.9234234234234234,0.9234234234234234,0.9234234234234234,0.9279279279279279,0.9279279279279279,0.9144144144144144,0.9144144144144144
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_loss,0.37923408,0.37923408,0.32591477036476135,0.32591477036476135,0.38282087445259094,0.38282087445259094,0.29297342896461487,0.29297342896461487,0.25982558727264404,0.25982558727264404,0.16914716362953186,0.16914716362953186,0.18106551468372345,0.18106551468372345,0.14803588390350342,0.14803588390350342,0.2748516798019409,0.2748516798019409,0.0665770024061203,0.0665770024061203,0.04721071943640709,0.04721071943640709,0.04742184281349182,0.04742184281349182,0.04727722331881523,0.04727722331881523,0.06478017568588257,0.06478017568588257,0.06904616951942444,0.06904616951942444,0.06970628350973129,0.06970628350973129,0.06757255643606186,0.06757255643606186
RF_loss,0.63530034,0.63530034,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828,0.63530033826828
cand_subsample_rate,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
points_percluster_rate,,,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0
0,0.7852356433868408,0.5648712515830994,0.6704375147819519,0.5690813064575195,0.5695058107376099,0.6411126255989075,0.7676990628242493,0.6356633305549622,1.1955963373184204,0.5908659100532532,1.5860120058059692,0.5986878275871277,1.753844141960144,0.540269672870636,1.7870793342590332,0.503465473651886,1.48210871219635,0.6473430395126343,0.692266583442688,0.6167072057723999,0.6102086305618286,0.624907374382019,0.6696236729621887,0.6357632875442505,0.6324388384819031,0.6254585981369019,5.5339035987854,0.6245209574699402,7.463898181915283,0.43878331780433655,5.79339599609375,0.5730344653129578,5.740225315093994,0.8759679198265076
1,0.7498937249183655,0.48454269766807556,0.5745733380317688,0.4939405620098114,0.6937273144721985,0.5962797999382019,0.7043870091438293,0.6520940065383911,0.866442084312439,0.5194709300994873,1.2340521812438965,0.4643317759037018,1.3535155057907104,0.43337851762771606,1.534740924835205,0.4781060516834259,1.2681117057800293,0.5152281522750854,0.44699347019195557,0.5664518475532532,0.4124850332736969,0.5687304735183716,0.42209482192993164,0.5705105066299438,0.44769567251205444,0.5805651545524597,4.424877643585205,0.6567729115486145,4.496142864227295,0.44744792580604553,4.382768154144287,0.6344977021217346,4.258307933807373,0.9442715048789978
