,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,100,29,10,99,100,26,10,99,100,33,10,45,100,17,10,45,100,16,10,100,99,33,10,86,98,27,10,59,92,19,10,78,92,29,10,100,82,28,10,92,81,0,10,76,79,23,10,90,78,29,10,68,100,6,10,54,100,0,10,38,100,0,10,42,100,0
1,20,100,100,22,20,100,100,29,20,100,100,32,20,55,100,15,20,58,100,17,20,100,100,26,20,100,100,22,20,96,100,26,20,100,100,33,20,100,100,51,20,100,100,36,20,95,100,40,20,100,100,0,20,86,100,48,20,71,100,25,20,48,100,7,20,59,100,16
2,30,100,100,33,30,100,100,30,30,100,100,33,30,65,100,15,30,72,100,18,30,100,100,37,30,100,100,28,30,100,100,35,30,100,100,35,30,100,100,64,30,100,100,0,30,96,100,0,30,100,100,57,30,91,100,57,30,77,100,49,30,59,100,7,30,72,100,42
3,40,100,100,36,40,100,100,35,40,100,100,32,40,75,100,15,40,78,100,14,40,100,100,41,40,100,100,31,40,100,100,41,40,100,100,44,40,100,100,71,40,100,100,65,40,97,100,67,40,100,100,50,40,94,100,64,40,84,100,60,40,66,100,39,40,78,100,49
4,50,100,100,35,50,100,100,32,50,100,100,31,50,81,100,14,50,82,100,17,50,100,100,46,50,100,100,31,50,100,100,46,50,100,100,52,50,100,100,77,50,100,100,72,50,99,100,74,50,100,100,74,50,95,100,74,50,88,100,64,50,71,100,53,50,83,100,61
5,60,100,100,40,60,100,100,25,60,100,100,33,60,85,100,14,60,86,100,15,60,100,100,49,60,100,100,39,60,100,100,52,60,100,100,55,60,100,100,80,60,100,100,76,60,100,100,70,60,100,100,64,60,97,100,75,60,92,100,72,60,77,100,63,60,87,100,67
6,70,100,100,37,70,100,100,34,70,100,100,32,70,90,100,15,70,90,100,14,70,100,100,51,70,100,100,45,70,100,100,55,70,100,100,60,70,100,100,0,70,100,100,79,70,100,100,82,70,100,100,81,70,98,100,79,70,93,100,72,70,82,100,72,70,91,100,73
7,80,100,100,41,80,100,100,29,80,100,100,34,80,93,100,7,80,93,100,17,80,100,100,58,80,100,100,45,80,100,100,60,80,100,100,65,80,100,100,84,80,100,100,82,80,100,100,85,80,100,100,85,80,99,100,80,80,94,100,75,80,86,100,75,80,92,100,74
8,90,100,100,40,90,100,100,34,90,100,100,36,90,96,100,17,90,96,100,19,90,100,100,61,90,100,100,46,90,100,100,64,90,100,100,67,90,100,100,86,90,100,100,85,90,100,100,86,90,100,100,87,90,99,100,82,90,95,100,79,90,91,100,78,90,94,100,80
9,100,100,100,40,100,100,100,34,100,100,100,36,100,97,100,16,100,98,100,21,100,100,100,64,100,100,100,49,100,100,100,67,100,100,100,71,100,100,100,88,100,100,100,87,100,100,100,88,100,100,100,88,100,100,100,85,100,96,100,79,100,91,100,84,100,95,100,82
