,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
50,1.3002996,0.89871335,0.6184645,0.91909313,1.2048988,0.810236,1.3936956,0.87019503,0.9079734,0.8964966,0.7782994,0.88080597,1.4844437,0.72885793,0.7427283,0.8404489,1.4556332,0.6586464,0.7647585,0.8046245,0.91465116,0.7625366,1.6741279,0.67387253,0.85224336,0.8063251,1.4973699,0.7719525,0.8678323,0.88934726,1.53224,0.76326245
51,1.1725842,0.8257874,0.56597584,0.9339049,1.1042031,0.87773436,1.2421479,0.90227,0.8812958,0.8850336,0.732362,0.87511086,1.150926,0.78840595,0.6705176,0.895829,1.2960407,0.6875589,0.72010046,0.821409,1.8736029,0.681587,1.3465836,0.6765702,0.8519472,0.8511914,1.375129,0.79006654,1.7687894,0.7360388,1.2573178,0.71722
52,1.0515476,0.8235928,0.57438713,0.94640386,0.937335,0.87924254,1.1033282,0.8203082,0.8125901,0.86387086,0.72744906,0.8519337,0.9950252,0.7943253,0.69461846,0.9185059,1.1876343,0.66250515,1.8622946,0.7211922,1.514366,0.74119073,1.2384607,0.6668816,0.82274646,0.82920605,1.2239553,0.7292076,1.4335638,0.70719546,1.0761961,0.77964777
53,0.93006426,0.89643115,0.53473747,0.93707925,0.8494653,0.9294421,0.98843205,0.9177611,0.8191478,0.8162359,0.7213311,0.8890193,0.95049894,0.78738165,0.6410351,0.90649307,1.1463228,0.6724529,1.6073574,0.67208564,1.4031646,0.6560302,1.1473436,0.6639231,0.81946397,0.7868597,1.1291544,0.78844714,1.2629826,0.7772432,0.99040097,0.77849805
54,0.88794947,0.84795827,0.52464265,0.9158924,0.8816388,0.84307486,0.8252322,0.8949969,0.80578643,0.92160225,0.71486884,0.8482074,0.85277426,0.75821495,0.631677,0.8317972,1.0697322,0.6860618,1.3940468,0.66115624,1.2169169,0.68478864,1.0252908,0.68780434,0.76557064,0.80510587,1.1018225,0.7510705,1.147149,0.7711845,0.8798663,0.75370187
55,0.821245,0.8527538,1.6178831,0.7806762,0.7576751,1.0586191,0.8861388,0.8983565,0.7514455,0.83796316,1.8236408,0.8103883,0.81626785,0.7280915,0.5973331,1.00354,0.98318714,0.7009236,1.323055,0.740009,1.0825491,0.6617019,0.96547186,0.68462247,0.75965375,0.80097514,0.9927521,0.70738554,1.1215822,0.79165536,0.8673107,0.7230227
56,0.7728602,0.84971344,1.2658902,0.754077,0.7002811,0.9206231,0.7969388,0.8581516,0.7573788,0.8357187,1.4390326,0.7312464,0.80606234,0.7733923,0.5869718,0.88148236,0.93823284,0.68241894,1.2001077,0.67961764,1.010969,0.6710312,0.9395249,0.6955152,1.5493071,0.6588868,0.983939,0.87551236,1.014875,0.694318,0.81663805,0.74550503
57,0.6981571,0.88292134,1.0832127,0.84680897,0.6511744,0.8812155,0.73017013,0.9179442,1.650685,0.7408602,1.3191057,0.7260604,0.72905976,0.8145277,0.5653622,0.9178528,0.89473826,0.7011351,1.1624522,0.6806438,0.9606339,0.7018181,0.86132926,0.6916059,1.278312,0.70601773,0.9020258,0.80462295,1.0086038,0.7101093,0.78008336,0.7347995
58,0.7006226,0.8727653,1.0185302,0.79636717,0.62382936,0.9427014,0.6952104,0.9510273,1.291239,0.73199314,1.2048451,0.69216144,0.685626,0.74661314,0.5382067,0.86743665,0.8233681,0.71655077,1.1097527,0.6994988,0.8959473,0.69067395,0.8038622,0.70852774,1.1255767,0.6656618,0.9015464,0.849267,0.9306327,0.7101688,0.75873625,0.77089554
59,0.6404251,0.8714813,1.0737199,0.80465806,0.6108733,0.891198,0.68446136,0.9026319,1.1546984,0.7322929,1.0968516,0.745679,0.6769295,0.7870728,0.52207553,0.9219537,0.8270343,0.73916507,1.0107915,0.72771937,0.87263674,0.69813347,0.8165596,0.74377936,1.0293883,0.6661075,0.84747416,0.7573846,0.8927156,0.83816594,0.7010316,0.76710194
