,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,97,17,10,100,100,37,10,100,100,36,10,75,95,26,10,82,96,26,10,100,84,33,10,98,79,24,10,89,69,29,10,100,72,31,10,98,65,4,10,98,64,9,10,94,59,21,10,98,62,11,10,82,97,37,10,66,96,40,10,45,98,6,10,52,97,0
1,20,100,100,31,20,100,100,46,20,100,100,43,20,82,100,46,20,95,100,36,20,100,100,41,20,100,98,44,20,100,93,37,20,100,95,44,20,100,99,32,20,100,100,47,20,100,98,26,20,100,99,30,20,91,100,35,20,78,99,31,20,58,100,18,20,62,100,11
2,30,100,100,39,30,100,100,51,30,100,100,55,30,100,100,45,30,100,100,40,30,100,100,46,30,100,100,44,30,100,97,44,30,100,99,49,30,100,100,23,30,100,100,62,30,100,100,56,30,100,100,44,30,97,100,32,30,83,100,31,30,68,100,27,30,74,100,17
3,40,100,100,39,40,100,100,53,40,100,100,53,40,100,100,28,40,100,100,21,40,100,100,49,40,100,100,53,40,100,99,47,40,100,100,55,40,100,100,41,40,100,100,63,40,100,100,64,40,100,100,57,40,98,100,35,40,91,100,33,40,71,100,31,40,80,100,22
4,50,100,100,43,50,100,100,38,50,100,100,49,50,100,100,16,50,100,100,11,50,100,100,55,50,100,100,49,50,100,99,43,50,100,100,51,50,100,100,54,50,100,100,55,50,100,100,46,50,100,100,59,50,98,100,30,50,94,100,27,50,75,100,24,50,86,100,26
5,60,100,100,38,60,100,100,28,60,100,100,29,60,100,100,15,60,100,100,9,60,100,100,52,60,100,100,49,60,100,100,40,60,100,100,51,60,100,100,55,60,100,100,41,60,100,100,40,60,100,100,54,60,98,100,25,60,97,100,16,60,82,100,20,60,91,100,15
6,70,100,100,42,70,100,100,26,70,100,100,18,70,100,100,10,70,100,100,10,70,100,100,51,70,100,100,53,70,100,100,45,70,100,100,51,70,100,100,42,70,100,100,27,70,100,100,31,70,100,100,45,70,100,100,16,70,98,100,8,70,88,100,15,70,94,100,11
7,80,100,100,43,80,100,100,16,80,100,100,23,80,100,100,9,80,100,100,11,80,100,100,51,80,100,100,45,80,100,100,45,80,100,100,48,80,100,100,33,80,100,100,20,80,100,100,21,80,100,100,32,80,100,100,10,80,98,100,4,80,91,100,9,80,97,100,8
8,90,100,100,15,90,100,100,12,90,100,100,21,90,100,100,11,90,100,100,8,90,100,100,49,90,100,100,32,90,100,100,41,90,100,100,42,90,100,100,13,90,100,100,10,90,100,100,11,90,100,100,18,90,100,100,6,90,98,100,3,90,94,100,5,90,98,100,6
9,100,100,100,45,100,100,100,16,100,100,100,22,100,100,100,17,100,100,100,8,100,100,100,43,100,100,100,34,100,100,100,39,100,100,100,39,100,100,100,8,100,100,100,4,100,100,100,6,100,100,100,8,100,100,100,3,100,98,100,1,100,97,100,0,100,98,100,2
