,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
t_iter_avg,63.3,63.3,316,316,313.5,313.5,372,372,373,373,400.4,400.4,405,405,406.7,406.7,407.1,407.1,470.8,470.8,471.4,471.4,464.8,464.8,473.3,473.3,451.7,451.7,461.1,461.1,461.9,461.9,454.5,454.5
budget_usage,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391,1.00025227043391
sensor_usage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.984615384615385,0.984615384615385,0.969230769230769,0.969230769230769,0.984615384615385,0.984615384615385
streamtime_usage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_loss,0.97327626,0.97327626,0.33135113120079,0.33135113120079,0.301449626684189,0.301449626684189,0.368470370769501,0.368470370769501,0.367498338222504,0.367498338222504,0.12722435593605,0.12722435593605,0.135597422719002,0.135597422719002,0.487701445817947,0.487701445817947,0.103803567588329,0.103803567588329,0.063068494200707,0.063068494200707,0.060988768935204,0.060988768935204,0.059422861784697,0.059422861784697,0.059598002582789,0.059598002582789,0.05539958178997,0.05539958178997,0.070213258266449,0.070213258266449,0.07359504699707,0.07359504699707,0.058578494936228,0.058578494936228
RF_loss,1.5816045,1.5816045,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341,1.58160448074341
cand_subsample_rate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
points_percluster_rate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,2.35816192626953,1.58267021179199,5.45357179641724,1.57068741321564,5.16671085357666,1.74033403396606,8.9345064163208,1.51312720775604,8.41352844238281,1.6258864402771,3.17983412742615,1.72640442848206,2.84636378288269,1.70853638648987,3.24790096282959,1.62606775760651,3.27673316001892,1.63863027095795,2.64953899383545,1.94012725353241,1.86335432529449,2.12204647064209,2.99321126937866,1.89982080459595,2.549560546875,1.91559815406799,13.5572938919067,1.62885212898254,14.1417274475098,1.67799556255341,13.3366851806641,1.92850708961487,14.3311462402344,1.46347892284393
1,1.71236479282379,1.54043316841126,4.21830940246582,1.49745845794678,3.62709307670593,1.44337451457977,6.60979986190796,1.5379444360733,6.75898551940918,1.50582838058472,2.15015769004822,1.56968188285828,1.68516612052917,1.5292592048645,2.48498129844666,1.60182976722717,2.1875467300415,1.54110598564148,1.35995578765869,1.87251484394074,1.30511879920959,1.81351971626282,1.53579378128052,1.63969588279724,1.48912048339844,1.81642842292786,9.00766468048096,1.54343056678772,9.74973392486572,1.49598610401154,9.09084606170654,2.02693772315979,9.61084079742432,1.31890368461609
2,1.58607268333435,1.51932978630066,3.89161205291748,1.44456398487091,3.1760983467102,3.25203847885132,6.1175971031189,1.38746774196625,6.53639125823975,1.44857740402222,2.1075758934021,1.60078287124634,1.66709053516388,1.45381844043732,2.35910725593567,1.43744850158691,2.20210599899292,1.40281641483307,1.25785994529724,1.56342256069183,1.00560700893402,1.79628753662109,1.41702973842621,1.62197828292847,1.40707814693451,1.78640305995941,7.19726705551147,1.41488671302795,7.82112073898315,1.44223546981812,7.30395555496216,1.42210650444031,7.61002063751221,1.41212594509125
3,1.49197351932526,1.33024227619171,3.88603591918945,1.31542468070984,3.27308893203735,1.33300137519836,5.65521097183228,1.3256106376648,5.91940259933472,1.40431618690491,2.01168441772461,1.47137260437012,1.53990912437439,1.34558308124542,2.19668769836426,1.47090899944305,1.96204698085785,1.365478515625,1.20800316333771,1.54383134841919,0.947016179561615,1.51994228363037,1.406862616539,1.67797100543976,1.38050305843353,1.6170517206192,6.29405307769775,1.36903643608093,6.69800233840942,1.2803715467453,6.47753429412842,1.28052401542664,6.6648645401001,1.30516457557678
4,1.42187345027924,1.29027700424194,3.79744863510132,1.30066001415253,3.03153324127197,1.32593488693237,5.33015775680542,1.22453022003174,5.5190224647522,1.3410941362381,1.92277789115906,1.34796094894409,1.39478635787964,1.40177834033966,2.20113897323608,1.4403487443924,1.8697235584259,1.53002202510834,1.17677819728851,1.522864818573,0.892098605632782,1.60560369491577,1.3776468038559,1.54178738594055,1.34926950931549,1.8172824382782,5.79824352264404,1.07285678386688,6.2090311050415,1.42983937263489,6.00390195846558,1.57631492614746,6.29182529449463,1.58423328399658
5,1.42292737960815,1.2912665605545,3.7303512096405,1.30518388748169,3.09650492668152,1.30720412731171,5.04749345779419,1.29324972629547,5.02666187286377,1.35826063156128,1.83335435390472,1.35168612003326,1.38987743854523,1.36229991912842,2.16317510604858,1.3718056678772,1.81591069698334,1.43045377731323,1.14997160434723,1.54096949100494,0.897508561611175,1.56298077106476,1.34859871864319,1.59750366210938,1.35462915897369,1.63133215904236,5.45291805267334,1.6183819770813,5.90300178527832,1.25157594680786,5.56414604187012,1.30536890029907,5.73884963989258,1.23307061195374
6,1.39082396030426,1.33501040935516,3.64436483383179,1.25349712371826,2.97616028785706,1.33269953727722,4.82332849502564,1.15830087661743,4.81880807876587,1.27570402622223,1.80284118652344,1.37174606323242,1.34534215927124,1.40925228595734,2.05928540229797,1.44974160194397,1.8603687286377,1.2873831987381,1.11944425106049,1.62818968296051,0.875158548355102,1.51389515399933,1.35641288757324,1.56324875354767,1.31471943855286,1.53569865226746,5.40425300598145,1.07693481445313,5.4695897102356,1.10771954059601,5.30966663360596,1.65655624866486,5.5108642578125,1.60767841339111
7,1.38031315803528,1.24635064601898,3.49028515815735,1.23522317409515,2.73384237289429,1.25536811351776,4.79020690917969,1.22326254844666,4.5040340423584,1.23628163337708,1.79161298274994,1.29242980480194,1.35864782333374,1.31512701511383,2.02955079078674,1.43784856796265,1.66939401626587,1.28239595890045,1.07532691955566,1.45889151096344,0.868021190166473,1.51648449897766,1.34067070484161,1.60721743106842,1.23723471164703,1.48350894451141,5.04630851745606,1.03688907623291,5.31889533996582,1.00264108181,5.07289218902588,1.08018279075623,5.32205677032471,1.21347522735596
8,1.30831491947174,1.28833997249603,3.30152773857117,1.24303352832794,2.660315990448,1.14385676383972,4.43965864181519,1.18162274360657,4.35008001327515,1.24536502361298,1.6852365732193,1.33759903907776,1.17326283454895,1.43543767929077,1.99388432502747,1.3085310459137,1.54388129711151,1.20581305027008,0.983003914356232,16.4715213775635,0.819286465644836,1.5162558555603,1.31115365028381,1.46979796886444,1.12220621109009,1.45721220970154,4.96243953704834,1.23940968513489,5.07065200805664,1.52739441394806,5.0037260055542,1.37377119064331,5.17171621322632,1.45378053188324
9,1.19424664974213,1.33482205867767,3.06274914741516,1.17470252513886,2.42656707763672,1.13883864879608,4.26194000244141,1.35874581336975,4.40703773498535,1.14039897918701,1.65623319149017,1.30853652954102,1.14973366260529,1.23079097270966,1.89286053180695,1.30287086963654,1.44604182243347,1.14608681201935,1.02618110179901,1.57731318473816,0.789213955402374,1.4982670545578,1.24103116989136,1.56889879703522,1.04478943347931,1.37787353992462,4.72686862945557,1.22072267532349,4.92997312545776,1.18974947929382,4.85139799118042,1.27349817752838,4.92558908462524,1.34218370914459
10,1.12422478199005,1.2019476890564,2.95745444297791,1.0970162153244,2.35734105110168,1.07775795459747,4.16576910018921,1.09290051460266,4.09073162078857,1.17854189872742,1.5643675327301,1.22018432617188,1.12329876422882,1.23808872699738,1.6895866394043,1.2677960395813,1.34400641918182,1.11017847061157,0.931342780590057,1.56782186031342,0.689503133296967,1.4718679189682,1.11605989933014,1.42391490936279,0.954733669757843,1.39602339267731,4.6467924118042,1.13332951068878,4.65229463577271,1.026407122612,4.603919506073,1.62032544612885,4.73539209365845,1.51490879058838
