,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,77,37,10,0,98,46,10,0,99,49,10,0,98,51,10,0,98,60,10,0,68,43,10,0,61,32,10,0,49,26,10,0,55,20,10,0,56,16,10,0,53,0,10,0,46,5,10,0,51,20,10,0,78,63,10,0,77,62,10,0,77,34,10,0,77,42
1,20,0,95,44,20,0,100,55,20,0,100,56,20,0,100,62,20,0,100,69,20,0,92,50,20,0,82,51,20,0,63,41,20,0,74,49,20,0,87,63,20,0,94,69,20,0,85,68,20,0,92,73,20,0,97,76,20,0,96,77,20,0,97,53,20,0,96,69
2,30,0,99,46,30,0,100,64,30,0,100,58,30,0,100,80,30,0,100,79,30,0,99,58,30,0,91,54,30,0,74,51,30,0,90,50,30,0,99,80,30,0,100,79,30,0,99,80,30,0,100,80,30,0,100,80,30,0,100,82,30,0,100,74,30,0,99,78
3,40,0,100,47,40,0,100,68,40,0,100,60,40,0,100,82,40,0,100,81,40,0,100,60,40,0,94,57,40,0,82,57,40,0,95,54,40,0,100,83,40,0,100,84,40,0,100,83,40,0,100,84,40,0,100,85,40,0,100,84,40,0,100,82,40,0,100,84
4,50,0,100,46,50,0,100,71,50,0,100,60,50,0,100,78,50,0,100,82,50,0,100,63,50,0,97,64,50,0,88,56,50,0,97,58,50,0,100,85,50,0,100,85,50,0,100,85,50,0,100,85,50,0,100,87,50,0,100,86,50,0,100,85,50,0,100,83
5,60,0,100,53,60,0,100,74,60,0,100,65,60,0,100,82,60,0,100,83,60,0,100,67,60,0,99,65,60,0,92,66,60,0,99,60,60,0,100,86,60,0,100,87,60,0,100,87,60,0,100,87,60,0,100,89,60,0,100,86,60,0,100,83,60,0,100,86
6,70,0,100,50,70,0,100,76,70,0,100,67,70,0,100,82,70,0,100,82,70,0,100,67,70,0,100,68,70,0,94,67,70,0,100,65,70,0,100,88,70,0,100,87,70,0,100,88,70,0,100,88,70,0,100,89,70,0,100,88,70,0,100,86,70,0,100,86
7,80,0,100,57,80,0,100,77,80,0,100,68,80,0,100,82,80,0,100,82,80,0,100,73,80,0,100,71,80,0,97,70,80,0,100,68,80,0,100,89,80,0,100,89,80,0,100,90,80,0,100,90,80,0,100,91,80,0,100,89,80,0,100,89,80,0,100,89
8,90,0,100,57,90,0,100,78,90,0,100,67,90,0,100,81,90,0,100,81,90,0,100,77,90,0,100,75,90,0,99,75,90,0,100,72,90,0,100,90,90,0,100,90,90,0,100,91,90,0,100,91,90,0,100,92,90,0,100,90,90,0,100,90,90,0,100,92
9,100,0,100,55,100,0,100,79,100,0,100,69,100,0,100,82,100,0,100,82,100,0,100,79,100,0,100,77,100,0,99,76,100,0,100,75,100,0,100,91,100,0,100,91,100,0,100,92,100,0,100,92,100,0,100,92,100,0,100,91,100,0,100,92,100,0,100,92
