,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,99,1,10,0,99,0,10,0,100,0,10,0,98,0,10,0,95,1,10,0,89,0,10,0,90,6,10,0,81,5,10,0,78,4,10,0,73,11,10,0,70,1,10,0,76,0,10,0,74,15,10,0,99,21,10,0,100,20,10,0,97,6,10,0,99,4
1,20,0,100,0,20,0,100,0,20,0,100,1,20,0,100,0,20,0,100,0,20,0,100,6,20,0,100,4,20,0,94,3,20,0,99,0,20,0,100,43,20,0,100,44,20,0,100,41,20,0,100,40,20,0,100,17,20,0,100,4,20,0,100,15,20,0,100,0
2,30,0,100,2,30,0,100,0,30,0,100,1,30,0,100,4,30,0,100,0,30,0,100,8,30,0,100,0,30,0,99,7,30,0,100,7,30,0,100,32,30,0,100,34,30,0,100,38,30,0,100,34,30,0,100,2,30,0,100,2,30,0,100,2,30,0,100,0
3,40,0,100,5,40,0,100,0,40,0,100,10,40,0,100,10,40,0,100,0,40,0,100,23,40,0,100,24,40,0,99,9,40,0,100,6,40,0,100,21,40,0,100,33,40,0,100,31,40,0,100,21,40,0,100,0,40,0,100,0,40,0,100,1,40,0,100,0
4,50,0,100,1,50,0,100,0,50,0,100,0,50,0,100,2,50,0,100,0,50,0,100,16,50,0,100,9,50,0,99,14,50,0,100,0,50,0,100,16,50,0,100,20,50,0,100,19,50,0,100,5,50,0,100,0,50,0,100,0,50,0,100,0,50,0,100,0
5,60,0,100,0,60,0,100,10,60,0,100,10,60,0,100,12,60,0,100,4,60,0,100,20,60,0,100,16,60,0,99,16,60,0,100,13,60,0,100,6,60,0,100,10,60,0,100,11,60,0,100,0,60,0,100,0,60,0,100,0,60,0,100,0,60,0,100,0
6,70,0,100,9,70,0,100,18,70,0,100,4,70,0,100,3,70,0,100,2,70,0,100,18,70,0,100,20,70,0,100,17,70,0,100,18,70,0,100,0,70,0,100,2,70,0,100,2,70,0,100,0,70,0,100,0,70,0,100,0,70,0,100,0,70,0,100,0
7,80,0,100,18,80,0,100,9,80,0,100,1,80,0,100,12,80,0,100,9,80,0,100,22,80,0,100,25,80,0,100,24,80,0,100,22,80,0,100,0,80,0,100,0,80,0,100,0,80,0,100,0,80,0,100,0,80,0,100,0,80,0,100,0,80,0,100,0
8,90,0,100,21,90,0,100,7,90,0,100,12,90,0,100,6,90,0,100,0,90,0,100,22,90,0,100,28,90,0,100,24,90,0,100,24,90,0,100,0,90,0,100,0,90,0,100,0,90,0,100,0,90,0,100,0,90,0,100,0,90,0,100,0,90,0,100,0
9,100,0,100,20,100,0,100,15,100,0,100,22,100,0,100,9,100,0,100,13,100,0,100,17,100,0,100,19,100,0,100,17,100,0,100,20,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
