,temporal None PL train,temporal None PL val,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
t_iter_avg,22.9,22.9,82,82,68.9,68.9,68.9,68.9,75.3,75.3,103.3,103.3,106,106,103,103,103.6,103.6,120.6,120.6,126,126,123.8,123.8,115.3,115.3,120.8,120.8,120.2,120.2,120.1,120.1,118,118
budget_usage,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509,0.999566035006509
sensor_usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
streamtime_usage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_loss,0.73662007,0.73662007,0.628974735736847,0.628974735736847,0.738511979579926,0.738511979579926,0.560923218727112,0.560923218727112,0.587661325931549,0.587661325931549,0.203459233045578,0.203459233045578,0.160739883780479,0.160739883780479,0.279925554990768,0.279925554990768,0.212404280900955,0.212404280900955,0.048693992197514,0.048693992197514,0.047662891447544,0.047662891447544,0.046306028962135,0.046306028962135,0.045637980103493,0.045637980103493,0.05532843247056,0.05532843247056,0.066056869924069,0.066056869924069,0.057830203324556,0.057830203324556,0.051845658570528,0.051845658570528
RF_loss,0.83212066,0.83212066,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163,0.832120656967163
cand_subsample_rate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
points_percluster_rate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,11.3940896987915,1.07400417327881,31.8660488128662,1.13309121131897,168.171676635742,1.12348008155823,127.121559143066,1.13664531707764,77.9436187744141,1.16738903522491,65.1658782958984,1.11996960639954,296.598480224609,1.14943611621857,139.411285400391,1.14575588703156,167.853317260742,1.13026642799377,218.695022583008,1.14525926113129,90.2938613891602,1.13455832004547,254.196929931641,1.06236553192139,101.328819274902,1.1367267370224,54.9784469604492,1.12376523017883,69.2592926025391,1.13010740280151,171.685836791992,1.05062747001648,97.7752456665039,1.08288061618805
1,2.81141352653503,1.16175055503845,2.24294447898865,1.28031325340271,1.43875539302826,1.13038492202759,2.08242201805115,1.145423412323,1.94400489330292,1.13942873477936,3.95990419387817,1.12114882469177,2.93994498252869,1.12571322917938,4.19576406478882,1.20803284645081,4.8087363243103,1.28550255298615,3.7631573677063,1.09985184669495,3.78508925437927,1.07611095905304,5.25301599502564,1.10175907611847,4.71582746505737,1.19635164737701,13.5597238540649,1.34969818592072,12.7136993408203,1.02082514762878,11.7136096954346,1.13042080402374,11.1590261459351,1.41933751106262
2,1.98252332210541,1.15688323974609,1.83920097351074,1.0815122127533,1.25417113304138,1.02407896518707,1.82456207275391,1.10120141506195,6.32875680923462,1.02318930625916,3.51543521881104,1.11256110668182,2.99733710289001,1.14805269241333,4.6469612121582,1.11414182186127,4.51494646072388,1.05767917633057,3.52650880813599,0.963574230670929,7.48674058914185,1.15465438365936,4.8375039100647,1.35573470592499,4.68397283554077,1.05211508274078,13.5666408538818,1.39948284626007,10.5482292175293,1.06141865253448,9.97685718536377,1.02333545684814,9.37666606903076,1.04034149646759
3,0.973363935947418,1.1043074131012,2.22864580154419,0.975548803806305,2.03244590759277,1.04117476940155,2.07688999176025,1.07681262493134,1.13928866386414,0.873616456985474,3.48544549942017,1.14588463306427,2.80130386352539,1.16505265235901,4.06720447540283,0.89262306690216,4.01605176925659,0.928111732006073,3.4097113609314,0.959379494190216,3.22673058509827,1.02186644077301,5.07482481002808,0.983306109905243,4.10727977752686,0.966781318187714,9.6176815032959,2.0933141708374,8.91323757171631,0.92906242609024,9.07438564300537,0.925930678844452,9.21256828308106,0.944625973701477
4,0.925778210163116,0.911590576171875,1.35351669788361,0.884314954280853,1.28755652904511,1.00590980052948,1.40500283241272,0.920898377895355,1.26791286468506,0.843542814254761,3.41839170455933,1.1799910068512,2.89059972763062,1.12990379333496,3.13316512107849,0.942476987838745,3.72379064559937,0.897570788860321,2.75166082382202,0.894539296627045,3.08971953392029,0.870683908462524,4.41610240936279,0.817246019840241,5.229576587677,1.06630480289459,8.74963569641113,0.860441565513611,8.26496410369873,0.888298153877258,8.44065284729004,1.31272864341736,8.59528827667236,0.787213921546936
5,0.790085196495056,0.872225701808929,2.37947010993958,1.00241911411285,1.11171019077301,1.00819575786591,1.18165683746338,0.952342510223389,1.00921404361725,0.913363933563232,9.28215789794922,1.07895505428314,5.18375635147095,1.14179480075836,3.27832889556885,0.854886949062347,2.91900944709778,0.822950124740601,2.49428081512451,0.858296275138855,2.65089225769043,0.851858079433441,3.36692428588867,0.811200737953186,3.83980369567871,0.951880872249603,8.12050724029541,0.853735744953156,8.17555999755859,0.947355568408966,7.9831805229187,1.51149916648865,8.04637145996094,0.827735841274262
6,0.720610022544861,0.870994031429291,1.39255785942078,1.01396667957306,1.1530944108963,1.09972202777863,0.964636504650116,0.879505276679993,0.862257778644562,0.936369836330414,2.54966497421265,0.868509352207184,2.86825370788574,2.05950260162354,2.8198070526123,0.980032444000244,2.53113627433777,0.853229582309723,2.5978524684906,0.823469161987305,2.30514979362488,0.807910263538361,3.16828465461731,0.813945651054382,3.44042539596558,0.815217673778534,7.86290884017944,1.08295667171478,7.80451488494873,0.875589728355408,7.68982934951782,1.06839668750763,8.00189399719238,1.02331554889679
7,0.591649949550629,0.855773448944092,1.2367901802063,1.00870621204376,1.49816715717316,0.95377379655838,0.924379944801331,0.92199695110321,0.920433282852173,0.92463493347168,3.05802631378174,0.952576577663422,3.03118968009949,1.03040993213654,2.46010208129883,1.01114726066589,2.34792494773865,0.782425403594971,2.30175042152405,0.813908159732819,2.38713908195496,0.795119106769562,3.44135880470276,0.854843378067017,2.98830962181091,0.860088467597961,7.12921094894409,0.87575900554657,7.3839225769043,0.902207553386688,7.43312978744507,0.896842896938324,7.12523698806763,0.947272837162018
8,0.540159821510315,0.872138679027557,1.18751108646393,1.00734388828278,1.03146171569824,0.938117325305939,0.819107830524445,0.931841552257538,0.927651166915894,0.889929175376892,2.10259318351746,0.820992529392242,2.09204816818237,1.2399092912674,2.4891345500946,0.882933139801025,2.42904710769653,0.763841271400452,2.16206192970276,0.802919507026672,2.26402401924133,0.877298414707184,3.15989375114441,0.744919240474701,2.87283658981323,0.766377627849579,7.04747533798218,0.789907038211823,7.44803762435913,0.954664289951324,7.06939077377319,0.861707270145416,7.71834421157837,1.01185512542725
9,0.538878619670868,0.876193284988403,1.39737200737,0.881555616855621,1.4093770980835,0.943990170955658,0.781692147254944,0.893219709396362,0.767412424087524,0.910221934318542,1.97681748867035,0.788252413272858,1.89998805522919,0.86258590221405,2.44563007354736,0.884669363498688,2.21015763282776,0.776644825935364,2.14252924919128,0.791518330574035,2.2156982421875,0.845664620399475,3.06772804260254,0.786182940006256,2.68189096450806,0.776419401168823,6.44178009033203,0.86519980430603,6.86021518707275,0.844279587268829,6.93702220916748,1.11290216445923,6.72943258285522,0.913030922412872
10,0.564018666744232,0.849709987640381,1.06699955463409,2.48024559020996,0.970027148723602,0.913795530796051,0.845321238040924,0.897310018539429,0.726695060729981,0.858212947845459,2.15671920776367,0.798929452896118,1.79039752483368,0.986676931381226,2.36244201660156,0.783598482608795,2.23532891273499,0.858812391757965,2.11345815658569,0.828296601772308,2.18159413337708,0.784202098846435,2.89451837539673,0.797280788421631,2.51754784584045,0.738480091094971,6.09659576416016,0.767982840538025,6.2666072845459,0.782079637050629,6.56160497665405,1.11801886558533,6.52461624145508,0.802974164485931
11,0.50999528169632,0.813568353652954,1.21945345401764,0.996723234653473,0.91079568862915,0.993628323078156,0.849533617496491,0.861215651035309,0.716685056686401,0.885562360286713,1.80086815357208,0.947264075279236,1.73907101154327,0.824210822582245,2.42374849319458,0.774178445339203,2.02537965774536,0.79040265083313,2.07408308982849,0.868774652481079,2.20571208000183,0.80959278345108,2.84790277481079,0.753014326095581,2.3528106212616,0.754908144474029,5.65647411346436,1.21531188488007,5.81470251083374,0.820752024650574,6.20325565338135,1.85324108600616,5.75727844238281,1.15612614154816
