,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
12,0.27681407,0.28243962,0.29121533,0.27553752,0.39481166,0.30919695,0.36358902,0.2964126,0.32261416,0.26689175,0.27869305,0.27411595,0.2433568,0.2647428,0.29432327,0.28453064,0.4958429,0.22317074,0.48048058,0.24720722,0.64259875,0.20292427,0.54827297,0.21279466,0.61775327,0.22478688,0.66215473,0.26569122,0.80264586,0.2673107,0.73549783,0.2391983
13,0.26888943,0.29020905,0.28149548,0.27314347,0.3855095,0.3724667,0.33832183,0.30228943,0.3138351,0.2664511,0.2696841,0.27200836,0.23504336,0.26948074,0.28857484,0.2857191,0.46336013,0.21645238,0.4669564,0.22395267,0.6096248,0.213665,0.50792724,0.21039712,0.58170223,0.21954404,0.6280351,0.2465736,0.7504515,0.27359286,0.68277574,0.24889664
14,0.27101746,0.29024556,0.27146193,0.26903233,0.41601485,0.29525375,0.3225147,0.322661,0.2885076,0.25375524,0.25935242,0.28029665,0.22436336,0.26782268,0.27661225,0.27169052,0.4324916,0.22053769,0.4146822,0.22757423,0.5835548,0.20786268,0.49229077,0.21495536,0.5363724,0.22733921,0.5847389,0.23895611,0.6999241,0.26913,0.6541815,0.2456384
15,0.26924795,0.2997936,0.25246382,0.27211455,0.39981928,0.29409286,0.32033002,0.32069004,0.27168074,0.24855997,0.2508053,0.27055234,0.20559123,0.26273724,0.2613437,0.27405673,0.41585046,0.223267,0.40611747,0.22084124,0.53629845,0.20287244,0.47086295,0.21786813,0.5229675,0.2315629,0.54008514,0.24651739,0.67018884,0.27935416,0.61064905,0.25654545
16,0.25402364,0.2911503,0.24263243,0.27012193,0.38628367,0.30460623,0.30001172,0.30898914,0.2553496,0.25166887,0.24762996,0.2731842,0.1889433,0.26812285,0.38889372,0.25432125,0.38843736,0.20986372,0.3845657,0.22902545,0.52997386,0.19704814,0.44589645,0.200471,0.48390782,0.22462708,0.5247751,0.23619892,0.63077277,0.28798044,0.5909051,0.26866135
17,0.24853937,0.28140995,0.23513153,0.275222,0.36463207,0.2888826,0.34265164,0.27341464,0.23496105,0.2517946,0.23121701,0.29640654,0.18090339,0.26410928,0.3424142,0.25336394,0.35640267,0.21676709,0.36703527,0.2212644,0.50240356,0.19784005,0.41637236,0.20454341,0.4684157,0.23502691,0.48993418,0.24649088,0.5967332,0.27536094,0.55050945,0.25968212
18,0.23674102,0.27498698,0.2288482,0.28574207,0.3534378,0.33819976,0.28897294,0.29889736,0.23474015,0.2594634,0.22391601,0.28381664,0.17861173,0.26632342,0.3285525,0.24160756,0.360663,0.2217457,0.35375336,0.21935795,0.45751914,0.20559457,0.41009986,0.20552112,0.44321388,0.2201776,0.4780613,0.22180614,0.56535035,0.28022054,0.5251185,0.24324805
19,0.22899528,0.28405097,0.2185031,0.2723943,0.33919716,0.30091748,0.26722243,0.3062333,0.21537785,0.25812942,0.2186007,0.28796977,0.15503453,0.26995116,0.29697597,0.24236947,0.33775136,0.21398327,0.3272895,0.2256298,0.44188538,0.20076045,0.36949015,0.21090366,0.42083263,0.22225432,0.4572181,0.23535427,0.5466228,0.3093416,0.51026875,0.25493842
20,0.21611191,0.29781103,0.28216365,0.26601565,0.31001195,0.28943443,0.2559126,0.28338033,0.20723835,0.2535432,0.2115284,0.27605826,0.15217604,0.2606643,0.2710908,0.24837607,0.3152823,0.2178378,0.30183792,0.22453703,0.42170042,0.20461243,0.3624465,0.20381643,0.4057079,0.22417805,0.42748433,0.2370775,0.51043665,0.27719128,0.7452519,0.2122341
21,0.20264198,0.2719857,0.25980726,0.26641354,0.28869337,0.31973034,0.23798217,0.32335463,0.19630237,0.25447094,0.19420029,0.2732303,0.14216205,0.25559577,0.26012132,0.27097043,0.30601057,0.2156231,0.29433343,0.22843866,0.40040475,0.20677508,0.35195524,0.20269826,0.38523677,0.23202069,0.42198122,0.25573102,0.5036768,0.28475434,0.6533542,0.20047185
