,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,98,15,10,0,100,19,10,0,100,3,10,0,99,6,10,0,98,2,10,0,98,14,10,0,92,14,10,0,85,19,10,0,91,11,10,0,93,19,10,0,85,13,10,0,80,20,10,0,86,21,10,0,98,6,10,0,98,0,10,0,98,0,10,0,97,0
1,19,0,100,16,19,0,100,18,18,0,100,6,15,0,100,1,14,0,100,1,19,0,100,23,19,0,98,22,19,0,92,25,19,0,99,27,19,0,99,37,19,0,99,29,18,0,99,32,19,0,100,32,16,0,99,21,14,0,99,4,14,0,99,0,14,0,98,0
2,28,0,100,22,27,0,100,23,21,0,100,8,17,0,100,0,16,0,100,0,28,0,100,15,28,0,99,26,25,0,94,24,26,0,100,30,26,0,100,42,26,0,100,40,24,0,100,39,25,0,100,41,20,0,99,24,17,0,100,13,16,0,99,0,17,0,99,0
3,37,0,100,24,36,0,100,17,23,0,100,8,17,0,100,0,17,0,100,0,37,0,100,33,36,0,99,30,31,0,96,27,33,0,100,31,31,0,100,43,32,0,100,42,28,0,100,41,29,0,100,43,24,0,99,28,20,0,100,8,18,0,99,0,19,0,99,0
4,45,0,100,27,43,0,100,28,24,0,100,11,18,0,100,0,18,0,100,0,44,0,100,34,43,0,99,30,36,0,97,27,40,0,100,32,35,0,100,49,36,0,100,47,31,0,100,44,33,0,100,40,28,0,99,23,21,0,100,10,19,0,99,0,21,0,99,0
5,53,0,100,29,51,0,100,27,26,0,100,6,19,0,100,0,18,0,100,0,52,0,100,33,49,0,99,33,41,0,98,28,45,0,100,36,38,0,100,52,39,0,100,48,33,0,100,48,35,0,100,48,30,0,100,28,23,0,100,4,20,0,99,0,22,0,99,0
6,60,0,100,32,58,0,100,30,27,0,100,8,19,0,100,0,19,0,100,0,58,0,100,35,55,0,99,36,45,0,98,32,50,0,100,37,41,0,100,53,42,0,100,51,35,0,100,49,37,0,100,47,33,0,100,29,24,0,100,0,21,0,99,0,24,0,99,0
7,67,0,100,33,65,0,100,33,27,0,100,0,20,0,100,0,19,0,100,0,65,0,100,35,61,0,99,34,49,0,98,34,55,0,100,37,43,0,100,54,44,0,100,52,36,0,100,48,38,0,100,49,35,0,100,35,25,0,100,17,22,0,99,0,25,0,99,0
8,73,0,100,33,71,0,100,32,28,0,100,0,20,0,100,0,19,0,100,0,71,0,100,38,66,0,99,36,52,0,98,34,60,0,100,39,45,0,100,53,46,0,100,54,37,0,100,51,39,0,100,52,38,0,100,32,27,0,100,13,23,0,99,0,26,0,99,0
9,80,0,100,31,77,0,100,31,29,0,100,9,20,0,100,0,19,0,100,0,77,0,100,38,71,0,100,37,56,0,98,34,64,0,100,37,47,0,100,54,48,0,100,51,38,0,100,53,41,0,100,53,40,0,100,35,28,0,100,0,24,0,99,0,27,0,99,0
