,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,76,42,10,0,93,44,10,0,95,45,10,0,86,46,10,0,86,26,10,0,69,46,10,0,61,49,10,0,51,49,10,0,53,51,10,0,59,52,10,0,57,53,10,0,50,56,10,0,56,55,10,0,76,62,10,0,77,59,10,0,73,50,10,0,73,41
1,20,0,94,46,20,0,100,48,20,0,100,48,20,0,100,54,20,0,100,44,20,0,91,55,20,0,85,55,20,0,73,54,20,0,79,54,20,0,93,65,20,0,92,64,20,0,87,67,20,0,91,66,20,0,96,65,20,0,95,63,20,0,93,53,20,0,94,55
2,30,0,98,53,30,0,100,53,30,0,100,54,30,0,100,55,30,0,100,55,30,0,99,55,30,0,94,60,30,0,84,59,30,0,91,57,30,0,100,69,30,0,99,68,30,0,99,67,30,0,100,69,30,0,99,68,30,0,100,66,30,0,98,54,30,0,99,62
3,40,0,99,55,40,0,100,53,40,0,100,55,40,0,100,55,40,0,100,58,40,0,100,60,40,0,99,62,40,0,90,62,40,0,97,59,40,0,100,67,40,0,100,68,40,0,100,69,40,0,100,69,40,0,100,68,40,0,100,65,40,0,100,54,40,0,100,63
4,50,0,100,57,50,0,100,57,50,0,100,58,50,0,100,55,50,0,100,55,50,0,100,59,50,0,100,63,50,0,94,63,50,0,99,61,50,0,100,66,50,0,100,67,50,0,100,67,50,0,100,66,50,0,100,66,50,0,100,62,50,0,100,60,50,0,100,62
5,60,0,100,56,60,0,100,57,60,0,100,57,60,0,100,51,60,0,100,56,60,0,100,60,60,0,100,63,60,0,97,62,60,0,100,61,60,0,100,63,60,0,100,62,60,0,100,62,60,0,100,60,60,0,100,55,60,0,100,50,60,0,100,57,60,0,100,57
6,70,0,100,55,70,0,100,59,70,0,100,59,70,0,100,48,70,0,100,53,70,0,100,62,70,0,100,65,70,0,99,61,70,0,100,60,70,0,100,55,70,0,100,56,70,0,100,53,70,0,100,56,70,0,100,43,70,0,100,40,70,0,100,47,70,0,100,44
7,80,0,100,56,80,0,100,62,80,0,100,59,80,0,100,46,80,0,100,50,80,0,100,62,80,0,100,63,80,0,100,64,80,0,100,60,80,0,100,49,80,0,100,45,80,0,100,42,80,0,100,48,80,0,100,38,80,0,100,35,80,0,100,36,80,0,100,35
8,90,0,100,61,90,0,100,60,90,0,100,62,90,0,100,45,90,0,100,47,90,0,100,62,90,0,100,63,90,0,100,63,90,0,100,63,90,0,100,40,90,0,100,38,90,0,100,35,90,0,100,40,90,0,100,33,90,0,100,33,90,0,100,31,90,0,100,30
9,100,0,100,60,100,0,100,61,100,0,100,61,100,0,100,43,100,0,100,42,100,0,100,62,100,0,100,66,100,0,100,62,100,0,100,59,100,0,100,36,100,0,100,34,100,0,100,32,100,0,100,34,100,0,100,32,100,0,100,28,100,0,100,31,100,0,100,29
