,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,97,100,27,10,91,100,31,10,86,100,27,10,39,100,29,10,43,100,29,10,91,100,31,10,87,100,30,10,76,100,10,10,82,100,33,10,91,100,5,10,92,100,7,10,89,100,4,10,91,100,8,10,54,100,3,10,44,100,11,10,37,100,0,10,43,100,8
1,19,100,100,20,19,99,100,37,18,94,100,28,14,45,100,34,14,48,100,30,19,99,100,26,19,97,100,0,19,87,100,26,19,96,100,30,19,96,100,30,19,95,100,24,19,94,100,15,19,95,100,17,15,69,100,4,15,50,100,27,13,43,100,0,14,51,100,19
2,29,100,100,35,27,100,100,36,25,97,100,18,18,48,100,32,18,50,100,28,28,100,100,36,28,100,100,26,25,91,100,15,27,98,100,33,26,97,100,41,27,96,100,26,25,95,100,17,25,96,100,29,20,75,100,3,17,54,100,30,16,46,100,5,17,56,100,27
3,37,100,100,33,34,100,100,0,32,97,100,38,20,50,100,33,20,50,100,22,37,100,100,38,36,100,100,30,31,94,100,29,34,100,100,37,32,97,100,64,33,98,100,44,30,95,100,18,30,97,100,13,23,80,100,49,20,58,100,46,17,50,100,0,19,59,100,36
4,45,100,100,38,42,100,100,36,37,98,100,31,22,51,100,35,22,52,100,34,44,100,100,34,44,100,100,28,37,95,100,26,41,100,100,38,36,98,100,69,37,98,100,66,33,96,100,20,34,98,100,60,26,85,100,47,22,61,100,34,18,51,100,9,20,62,100,24
5,53,100,100,30,48,100,100,38,42,98,100,41,24,51,100,29,24,53,100,36,52,100,100,40,51,100,100,36,42,96,100,16,47,100,100,34,39,98,100,72,41,99,100,73,35,96,100,18,37,99,100,70,29,88,100,55,23,63,100,45,19,53,100,15,22,64,100,39
6,60,100,100,30,54,100,100,43,47,99,100,36,25,53,100,34,25,54,100,25,59,100,100,44,58,100,100,35,46,97,100,18,53,100,100,28,41,98,100,74,44,99,100,74,36,97,100,21,39,99,100,71,32,90,100,59,25,64,100,46,20,55,100,21,23,66,100,45
7,67,100,100,32,60,100,100,43,51,99,100,42,26,54,100,33,27,55,100,16,66,100,100,45,65,100,100,33,50,98,100,33,58,100,100,35,44,98,100,74,46,99,100,74,38,98,100,20,41,99,100,70,35,91,100,51,26,67,100,48,21,55,100,13,24,67,100,43
8,74,100,100,35,66,100,100,43,55,99,100,37,27,55,100,37,28,55,100,5,72,100,100,40,71,100,100,31,53,98,100,23,63,100,100,43,46,98,100,75,48,99,100,75,39,98,100,22,42,99,100,73,37,93,100,62,27,67,100,44,22,55,100,11,25,68,100,41
9,80,100,100,42,71,100,100,44,59,100,100,38,28,55,100,35,29,57,100,1,78,100,100,48,77,100,100,43,57,98,100,27,68,100,100,44,48,98,100,74,51,99,100,75,40,98,100,22,44,99,100,73,40,94,100,62,28,68,100,46,23,56,100,15,26,68,100,46
