,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,99,100,7,10,100,100,28,10,86,100,22,10,34,100,23,10,33,100,9,10,98,100,26,10,89,100,31,10,68,93,35,10,88,100,28,10,89,100,0,10,86,100,9,10,64,93,14,10,71,100,14,10,70,100,48,10,57,100,47,10,50,100,39,10,56,100,50
1,20,100,100,9,20,100,100,13,20,96,100,21,20,45,100,16,20,46,100,33,20,100,100,37,20,100,100,51,20,84,100,43,20,98,100,39,20,94,100,62,20,92,100,63,20,77,100,25,20,85,100,43,20,86,100,77,20,70,100,75,20,66,100,68,20,73,100,66
2,30,100,100,40,30,100,100,26,30,99,100,22,30,51,100,11,30,55,100,33,30,100,100,44,30,100,100,50,30,91,100,46,30,100,100,52,30,97,100,79,30,96,100,80,30,87,100,78,30,91,100,75,30,93,100,81,30,77,100,76,30,76,100,77,30,79,100,80
3,40,100,100,1,40,100,100,35,40,100,100,15,40,61,100,38,40,65,100,46,40,100,100,58,40,100,100,61,40,95,100,57,40,100,100,61,40,98,100,83,40,97,100,83,40,91,100,83,40,93,100,83,40,95,100,85,40,83,100,80,40,82,100,83,40,83,100,81
4,50,100,100,32,50,100,100,37,50,100,100,21,50,69,100,30,50,73,100,34,50,100,100,63,50,100,100,76,50,95,100,56,50,100,100,68,50,99,100,86,50,99,100,86,50,93,100,85,50,97,100,86,50,98,100,87,50,87,100,82,50,85,100,83,50,89,100,84
5,60,100,100,32,60,100,100,32,60,100,100,24,60,75,100,55,60,77,100,39,60,100,100,61,60,100,100,80,60,98,100,64,60,100,100,76,60,99,100,87,60,99,100,88,60,94,100,86,60,97,100,88,60,98,100,87,60,90,100,85,60,89,100,85,60,91,100,84
6,70,100,100,41,70,100,100,36,70,100,100,24,70,79,100,53,70,83,100,57,70,100,100,70,70,100,100,82,70,100,100,69,70,100,100,74,70,100,100,89,70,99,100,88,70,95,100,87,70,98,100,89,70,98,100,88,70,93,100,86,70,93,100,88,70,93,100,87
7,80,100,100,32,80,100,100,44,80,100,100,20,80,82,100,56,80,86,100,57,80,100,100,74,80,100,100,83,80,100,100,77,80,100,100,82,80,100,100,90,80,99,100,89,80,97,100,89,80,99,100,90,80,98,100,90,80,95,100,85,80,93,100,90,80,94,100,89
8,90,100,100,30,90,100,100,54,90,100,100,31,90,86,100,60,90,89,100,63,90,100,100,79,90,100,100,83,90,100,100,79,90,100,100,83,90,100,100,90,90,99,100,90,90,98,100,90,90,99,100,91,90,99,100,92,90,96,100,89,90,94,100,91,90,97,100,90
9,100,100,100,39,100,100,100,57,100,100,100,29,100,88,100,61,100,91,100,61,100,100,100,80,100,100,100,85,100,100,100,86,100,100,100,84,100,100,100,92,100,99,100,91,100,99,100,91,100,99,100,92,100,99,100,92,100,96,100,90,100,95,100,92,100,98,100,92
