,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
test_loss,0.27196875,0.27196875,0.26056218,0.26056218,0.2858633,0.2858633,0.27930126,0.27930126,0.114695646,0.114695646,0.09132505,0.09132505,0.10232909,0.10232909,0.10137642,0.10137642,0.034727648,0.034727648,0.036012743,0.036012743,0.031783365,0.031783365,0.033260267,0.033260267,0.07664484,0.07664484,0.07897926,0.07897926,0.10649292,0.10649292,0.07472353,0.07472353
0,0.5680523,0.31684214,0.409633,0.34493804,0.30150867,0.32609499,0.34539908,0.33299077,0.53186643,0.30911192,0.5914651,0.3141751,0.47952732,0.3146316,0.61245733,0.3153077,0.6400399,0.29870263,0.6570551,0.33072174,0.6344008,0.31044784,0.7299671,0.30985975,0.56489116,0.3376645,0.62864065,0.30451235,0.63612765,0.36470294,0.56470376,0.32506043
1,0.3460139,0.30854693,0.3116626,0.31021285,0.27144742,0.3160396,0.30422717,0.3178958,0.40976414,0.291201,0.48966524,0.3268737,0.64914197,0.3077146,0.533633,0.3087129,0.48038352,0.2815824,0.5313412,0.29455355,0.57420754,0.30049524,0.6013164,0.30590624,0.46246788,0.31648248,0.52424085,0.2853266,0.5564062,0.30004403,0.48893136,0.37228957
2,0.32083297,0.3063234,0.27869987,0.31255597,0.2378003,0.30990207,0.27644733,0.30742154,0.3796783,0.29476342,0.4418051,0.28179294,0.371285,0.30660686,0.48012698,0.29918495,0.45654833,0.27409145,0.47700185,0.29198906,0.5212461,0.28036433,0.56486297,0.28749323,0.42044201,0.33510137,0.46414003,0.27935192,0.4954634,0.29782155,0.45786917,0.28667435
3,0.29867035,0.2955292,0.25732905,0.32832024,0.23170286,0.3061604,0.25552526,0.30738765,0.3517285,0.285878,0.41651696,0.26880613,0.35053673,0.29146534,0.43785828,0.29713628,0.40699586,0.27180803,0.42889464,0.2775064,0.47661963,0.2790426,0.5341668,0.27440757,0.42263457,0.28516862,0.44886988,0.27498913,0.45867884,0.28349084,0.4222693,0.283463
4,0.25919038,0.32069257,0.25464213,0.3158312,0.20167644,0.32294375,0.24219082,0.31030422,0.33429894,0.2782368,0.37592107,0.2794289,0.3379926,0.28814527,0.41959226,0.29292306,0.38622764,0.2681824,0.4097108,0.29150692,0.44905016,0.27147838,0.49443245,0.27518943,0.37638536,0.26968855,0.41367114,0.2853674,0.4410032,0.28150353,0.3910156,0.27187502
5,0.24804659,0.29960915,0.23083714,0.31240287,0.1929067,0.3131597,0.2278287,0.30748543,0.32230768,0.29270914,0.36632288,0.27205688,0.3211591,0.28932992,0.38778985,0.2925226,0.36077875,0.25632933,0.39244348,0.27624387,0.41868892,0.26429176,0.4708643,0.27796248,0.35857004,0.27001584,0.40052232,0.27552876,0.41526526,0.26746792,0.38267684,0.34515616
6,0.22448674,0.2992259,0.22053784,0.30561203,0.18195872,0.30837986,0.22082785,0.32628617,0.31420717,0.27987427,0.34628338,0.2810281,0.29664263,0.32824862,0.36270833,0.2958934,0.34489602,0.26750666,0.36489072,0.27054542,0.39935845,0.26291382,0.44655612,0.27335614,0.3491427,0.2655614,0.384398,0.26464948,0.39895278,0.28787312,0.37273616,0.27719802
7,0.2228488,0.3086422,0.21214284,0.2990129,0.17398308,0.3054701,0.20232293,0.30974454,0.29963046,0.2761158,0.33535075,0.2838185,0.28839764,0.28619415,0.3899039,0.3093251,0.33897516,0.2605257,0.35587555,0.28400218,0.37897816,0.27012348,0.40824035,0.2788027,0.32664242,0.28273463,0.37147036,0.27193576,0.38772836,0.2730293,0.34278408,0.2798658
8,0.20472902,0.30966383,0.20159023,0.30003792,0.16771314,0.30724353,0.2013697,0.31124893,0.27945337,0.29824066,0.3073983,0.29603344,0.2627516,0.28239545,0.3327562,0.31849095,0.3170942,0.28430226,0.3439128,0.27539843,0.3659668,0.26541597,0.4059369,0.2821601,0.32014048,0.2698145,0.35106963,0.26653194,0.35894588,0.2717866,0.33282635,0.27701443
9,0.1935698,0.31216902,0.18048744,0.33131564,0.14991245,0.3088095,0.18014406,0.31470838,0.27071193,0.28033814,0.3097607,0.2907654,0.2588555,0.29843074,0.31798437,0.308659,0.29919285,0.26657146,0.32558277,0.28290924,0.35162926,0.27860853,0.39564487,0.2726839,0.30693138,0.26921436,0.33989525,0.28130114,0.3512784,0.29222873,0.32870984,0.28220534
10,0.18448807,0.31879237,0.1825197,0.29931673,0.1507087,0.32052454,0.17951263,0.32163358,0.2623479,0.29135576,0.28383958,0.30184248,0.24887314,0.29525036,0.32374305,0.29228956,0.28454483,0.26482883,0.30700028,0.2798785,0.33947527,0.26542833,0.37572628,0.2768539,0.29181802,0.27970862,0.33251503,0.27731052,0.3405072,0.29735094,0.31698054,0.2649802
11,0.18903053,0.30506644,0.16980602,0.2970043,0.13970554,0.31930268,0.16298164,0.3232127,0.24815007,0.28388998,0.2860916,0.27449396,0.24545333,0.28132713,0.2911534,0.2973326,0.29312322,0.26828006,0.2993935,0.27556783,0.31698054,0.27264354,0.36199346,0.27780065,0.2822608,0.26962733,0.30731645,0.2694064,0.32571557,0.27177006,0.30870727,0.2707905
12,0.1477809,0.3403653,0.15696725,0.29946777,0.1404018,0.32622066,0.15732767,0.319817,0.2411129,0.2817513,0.2560054,0.27219975,0.22256678,0.30779994,0.28087628,0.3056642,0.26189327,0.28134263,0.28605548,0.275472,0.31795442,0.2607204,0.34151247,0.27811033,0.27372873,0.27409092,0.30480912,0.2665299,0.30885482,0.3083622,0.29931843,0.27464294
13,0.16736582,0.321237,0.1561578,0.30362156,0.1277306,0.32615066,0.15119734,0.33358198,0.22805695,0.27860183,0.2620062,0.27786884,0.21528625,0.29504654,0.25533244,0.31192723,0.26184434,0.26891872,0.26665196,0.2738892,0.28754148,0.2788228,0.3340058,0.2764231,0.26738566,0.27748862,0.29596776,0.27724394,0.29901403,0.27181488,0.27502295,0.2928194
14,0.37834314,0.28061748,0.15227902,0.31606445,0.1206566,0.3141799,0.3714236,0.29534402,0.21945041,0.28007552,0.51310045,0.25090808,0.20297275,0.30009323,0.24848172,0.31301576,0.23788251,0.2844553,0.25779268,0.27405652,0.2769275,0.27595022,0.31800592,0.28431597,0.24347387,0.3136648,0.2791708,0.27483195,0.27483082,0.28092268,0.26702297,0.27585295
15,0.28142256,0.2712666,0.140804,0.3122552,0.116165705,0.3170361,0.30060646,0.29453793,0.2121659,0.30227157,0.40565106,0.24968329,0.19702399,0.3323325,0.24251506,0.3117337,0.23682667,0.28624988,0.25248903,0.2860264,0.27138013,0.2743652,0.3077638,0.28416282,0.2432807,0.28817892,0.25709087,0.2856978,0.2513784,0.29957068,0.25767818,0.2804193
16,0.24197014,0.27348596,0.14489491,0.32851297,0.12130692,0.33594954,0.25771156,0.3082121,0.19757473,0.2932459,0.37027743,0.24136055,0.2548754,0.30346867,0.23202185,0.3066187,0.5649511,0.23573963,0.23531196,0.30304274,0.26588085,0.26474115,0.28037795,0.28902945,0.2319733,0.2806992,0.25121257,0.27676487,0.49008122,0.24081527,0.24495384,0.30110604
17,0.21761447,0.28831074,0.1355521,0.31238207,0.1079309,0.33881304,0.21740423,0.29742333,0.1985187,0.2851967,0.31825808,0.2553468,0.1623383,0.33639073,0.217901,0.30899498,0.4262083,0.23533516,0.54268163,0.27184066,0.24235773,0.2868245,0.2639982,0.29515934,0.47542858,0.24908575,0.5094806,0.24347396,0.4076606,0.25646892,0.23532279,0.27615973
18,0.19551703,0.287404,0.11808849,0.32681233,0.35809687,0.2922425,0.18930945,0.31444162,0.47332028,0.2683061,0.31370977,0.24971458,0.17162924,0.30503395,0.20713502,0.32424018,0.393414,0.23561001,0.43117532,0.2451983,0.24266577,0.27855626,0.2629321,0.28016722,0.38863882,0.23332337,0.4284595,0.23171815,0.38293877,0.22578298,0.22435448,0.28434807
19,0.19288935,0.2833257,0.12075066,0.31560135,0.24851078,0.29024768,0.17256376,0.31864297,0.37771484,0.26677603,0.27234867,0.25192496,0.15548892,0.31490645,0.20498623,0.3252204,0.357049,0.23676303,0.37585613,0.2475792,0.23064794,0.27422237,0.262569,0.2921978,0.35593167,0.26307723,0.3717112,0.2593447,0.35218713,0.24007574,0.20713207,0.30123568
20,0.16446204,0.2842682,0.11695847,0.30959964,0.21521904,0.2970608,0.16065596,0.31745657,0.33084524,0.2672285,0.2551428,0.2634989,0.15330844,0.30207467,0.18612327,0.3454038,0.32364112,0.2386732,0.34659204,0.2553973,0.22461124,0.2697631,0.54808706,0.24419793,0.32134524,0.25232872,0.34408182,0.24877734,0.332037,0.2320583,0.18871763,0.3013049
21,0.16232832,0.30196476,0.11777506,0.31337145,0.22421086,0.28959128,0.16062178,0.3275057,0.30819297,0.25614494,0.245798,0.2580803,0.1448796,0.3153182,0.42806748,0.27754086,0.2926356,0.23706706,0.3164216,0.25746018,0.1991673,0.28229824,0.42005247,0.24661507,0.3058929,0.24616334,0.3201686,0.24927108,0.31434616,0.2488943,0.49946627,0.24817462
22,0.14572255,0.29160726,0.31363392,0.29641965,0.17975627,0.31180286,0.14371826,0.30429992,0.27950218,0.26245725,0.22666468,0.26963955,0.42589584,0.26795676,0.30778366,0.27367043,0.28040153,0.25100723,0.2991222,0.25089145,0.19451728,0.28028524,0.35318884,0.25702962,0.28479296,0.2709047,0.30615842,0.25259575,0.29328263,0.2484937,0.40046734,0.26389447
23,0.13664433,0.2943916,0.24611548,0.27305856,0.172677,0.29597336,0.12812966,0.35343474,0.2527788,0.27138004,0.21440004,0.26385343,0.3300537,0.27177328,0.28905666,0.26439467,0.27309352,0.25695115,0.27396655,0.26284325,0.5374835,0.2476951,0.32554993,0.24524741,0.2703477,0.26549882,0.28059348,0.2640223,0.28307584,0.26197457,0.358805,0.27272967
24,0.1330055,0.3196826,0.20903085,0.28798392,0.1587656,0.33219057,0.127043,0.34882057,0.23516874,0.26695073,0.19749436,0.27099466,0.28862706,0.2838436,0.2496064,0.25679848,0.24627024,0.2612795,0.26482448,0.25491503,0.43930912,0.23591198,0.30146366,0.2571051,0.25516266,0.25929856,0.2623008,0.25669447,0.2662393,0.24825732,0.33764228,0.24703752
25,0.13317224,0.2950448,0.19204533,0.28958204,0.16318576,0.3100505,0.11220307,0.33072796,0.22627975,0.27107847,0.19630198,0.2702981,0.2500769,0.27334884,0.23407853,0.27857208,0.22097532,0.25903687,0.24128531,0.25357318,0.38619366,0.24755655,0.27109995,0.25454608,0.24311599,0.2667779,0.2459616,0.25157803,0.2504398,0.24652119,0.30830434,0.27719188
26,0.2769196,0.28055617,0.16846803,0.2998774,0.14154778,0.31249315,0.35400707,0.2892576,0.21039262,0.27534825,0.18366142,0.26518193,0.23521402,0.28333446,0.21026339,0.28096938,0.2206796,0.25134432,0.22234763,0.26102287,0.34522006,0.24560107,0.25958326,0.26530445,0.23090838,0.2554518,0.24158397,0.26886532,0.23484798,0.25465044,0.2947657,0.2690331
27,0.22137912,0.27377474,0.16141863,0.2964946,0.13309933,0.30401045,0.27688044,0.2970533,0.19518253,0.2710994,0.4491332,0.23821476,0.23674181,0.29176107,0.19237325,0.2821032,0.20129718,0.2599746,0.21894406,0.25696114,0.31965363,0.24129176,0.23804273,0.2527015,0.21341708,0.26679143,0.2212547,0.26081222,0.23150389,0.2736265,0.264178,0.24431366
28,0.19936898,0.28332666,0.14748655,0.30004662,0.12533028,0.3064592,0.23527166,0.28722072,0.18340418,0.28187066,0.33979186,0.23386796,0.19263288,0.2813028,0.18212603,0.26519838,0.5270246,0.2149636,0.19623949,0.2728842,0.29925454,0.23543361,0.23042953,0.26510832,0.20209658,0.27436918,0.20023505,0.25020134,0.21723433,0.26259786,0.26878384,0.25815174
29,0.1983933,0.27854568,0.13277473,0.33080766,0.12621163,0.3354951,0.20233461,0.29005086,0.17572305,0.28192002,0.29068485,0.24014919,0.1793079,0.3007213,0.171434,0.27681044,0.43045774,0.2098927,0.53476584,0.21718155,0.27275538,0.25834748,0.21785852,0.26212785,0.4308134,0.23533817,0.45152175,0.22101215,0.4234554,0.21733718,0.24254234,0.26856118
30,0.16180456,0.2818855,0.1279152,0.29880512,0.10954547,0.3307609,0.19183482,0.29271904,0.16225658,0.28647152,0.26542914,0.29562008,0.17714225,0.28824866,0.15582731,0.29574412,0.3459803,0.22395778,0.4212174,0.21619268,0.2558602,0.24726292,0.19568256,0.2575947,0.3354252,0.22316289,0.3657317,0.2212889,0.34819764,0.23777162,0.23054273,0.25763628
31,0.15027444,0.31084865,0.10771938,0.32209384,0.10351535,0.33680046,0.16777033,0.30752707,0.15199988,0.27931887,0.2501194,0.23887154,0.16140397,0.30873567,0.1493823,0.27283752,0.30275545,0.21805845,0.34885788,0.21791878,0.2352568,0.26674968,0.5024045,0.2193556,0.30268562,0.23283233,0.31244543,0.22956201,0.3121119,0.23083685,0.21980134,0.24923818
32,0.14598458,0.2899988,0.10276188,0.3432125,0.31444156,0.29153848,0.15354429,0.32275832,0.46447033,0.24280919,0.23853514,0.25610465,0.14857338,0.30461398,0.13820326,0.28106144,0.3004846,0.22128804,0.30847844,0.23158072,0.22058997,0.26452652,0.3765797,0.21116763,0.26551345,0.23083517,0.26750544,0.23050153,0.2813442,0.21958618,0.2064414,0.27065283
33,0.13057579,0.29518458,0.10365857,0.34885982,0.23689647,0.2936904,0.14275552,0.31193718,0.35802564,0.23799497,0.20010167,0.26435944,0.44881243,0.25833395,0.12965566,0.28503555,0.25704613,0.22749603,0.28729084,0.24636377,0.20599137,0.26135013,0.32935113,0.22211647,0.2603522,0.25088266,0.25671858,0.2494612,0.26924694,0.21837498,0.19440386,0.25445238
34,0.11732905,0.33090264,0.2961544,0.2851356,0.18408877,0.30126026,0.14121878,0.31060043,0.30864152,0.2564867,0.19480622,0.26517436,0.37142467,0.2388275,0.14218539,0.29343787,0.25040662,0.22264266,0.24864772,0.22692473,0.19201556,0.26125944,0.29523432,0.21391667,0.24317247,0.22895977,0.23121679,0.25440302,0.24023199,0.22039856,0.17813848,0.29581925
35,0.11581046,0.32129365,0.21041441,0.28565294,0.15634851,0.3053563,0.14096424,0.3280785,0.27614707,0.25277624,0.18541461,0.2672917,0.30404437,0.2427279,0.50793177,0.23161428,0.22462018,0.22492428,0.24475934,0.23074591,0.19334848,0.24748477,0.2748045,0.23066996,0.21988964,0.24581803,0.21532749,0.24336906,0.2352215,0.21725556,0.16772507,0.25608057
36,0.10446056,0.2950287,0.18072042,0.30746213,0.15371904,0.30246645,0.118143894,0.31952378,0.23550515,0.25836712,0.17063968,0.26978698,0.2730503,0.24835053,0.38372123,0.24601103,0.21156915,0.22967172,0.23058069,0.23683679,0.1656867,0.26266366,0.24972981,0.22785755,0.20698373,0.24468434,0.20291276,0.26289898,0.20930023,0.25453153,0.17113264,0.26878262
