,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,100,100,13,10,97,100,37,10,88,100,43,10,42,100,23,10,42,100,29,10,99,100,39,10,96,100,41,10,75,100,44,10,87,100,36,10,83,100,35,10,82,100,34,10,66,100,23,10,69,100,40,10,66,100,45,10,55,100,32,10,48,100,26,10,54,100,44
1,19,100,100,37,19,100,100,33,14,93,100,17,12,45,100,29,12,45,100,33,19,100,100,40,19,100,100,41,19,87,100,46,19,98,100,41,19,89,100,41,19,90,100,65,18,71,100,65,18,75,100,0,16,81,100,51,14,60,100,41,13,55,100,41,14,61,100,37
2,28,100,100,29,27,100,100,37,16,96,100,48,14,48,100,26,14,48,100,29,28,100,100,48,28,100,100,46,26,93,100,51,27,100,100,42,25,95,100,74,26,93,100,73,24,79,100,69,24,81,100,70,20,87,100,60,17,64,100,42,16,59,100,41,17,65,100,50
3,37,100,100,39,34,100,100,36,18,97,100,52,15,49,100,26,15,49,100,36,37,100,100,52,36,100,100,53,32,95,100,54,34,100,100,52,30,97,100,77,31,95,100,75,27,80,100,72,29,83,100,73,24,91,100,64,19,67,100,40,17,60,100,44,19,68,100,50
4,45,100,100,0,41,100,100,35,19,98,100,50,15,50,100,29,16,49,100,34,44,100,100,55,43,100,100,52,38,96,100,55,41,100,100,56,34,97,100,79,35,97,100,77,30,83,100,75,32,87,100,77,28,92,100,33,21,70,100,53,19,62,100,44,21,71,100,54
5,53,100,100,30,48,100,100,45,20,98,100,53,16,50,100,31,17,49,100,34,51,100,100,56,50,100,100,55,43,98,100,56,47,100,100,49,37,97,100,80,38,97,100,79,32,84,100,75,35,88,100,77,31,93,100,29,23,72,100,44,20,64,100,39,22,73,100,57
6,60,100,100,44,54,100,100,45,21,98,100,51,17,51,100,22,17,49,100,11,58,100,100,57,56,100,100,55,47,98,100,57,53,100,100,57,40,98,100,80,41,98,100,80,34,84,100,76,37,89,100,79,34,94,100,38,24,72,100,52,21,65,100,47,23,74,100,53
7,67,100,100,47,60,100,100,43,22,99,100,51,17,52,100,28,18,49,100,14,65,100,100,45,63,100,100,54,51,98,100,52,58,100,100,58,42,98,100,81,43,98,100,80,36,85,100,77,39,89,100,80,37,95,100,48,25,72,100,55,22,67,100,42,25,75,100,60
8,73,100,100,37,65,100,100,41,23,99,100,52,17,52,100,26,19,49,100,7,70,100,100,63,68,100,100,55,55,99,100,58,63,100,100,55,45,99,100,82,46,98,100,81,37,86,100,77,41,89,100,81,40,95,100,71,26,73,100,61,23,68,100,51,26,77,100,61
9,80,100,100,39,71,100,100,42,24,100,100,54,18,53,100,23,20,50,100,15,76,100,100,63,73,100,100,60,58,99,100,57,68,100,100,57,47,99,100,83,48,98,100,81,38,86,100,78,42,89,100,81,43,96,100,58,27,73,100,62,23,68,100,56,26,78,100,62
