,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
test_loss,0.20023392,0.20023392,0.22779308,0.22779308,0.2958,0.2958,0.3070554,0.3070554,0.15266223,0.15266223,0.17598791,0.17598791,0.18000361,0.18000361,0.17541355,0.17541355,0.09848384,0.09848384,0.10332899,0.10332899,0.10598677,0.10598677,0.10052061,0.10052061,0.1568925,0.1568925,0.25553373,0.25553373,0.42264673,0.42264673,0.24953575,0.24953575
0,0.32574713,0.2756493,0.37600097,0.29173732,0.23282868,0.31108224,0.2588323,0.2928958,0.49693915,0.2681237,0.44012183,0.25416997,0.47199664,0.26992846,0.48400024,0.27977067,0.86904407,0.23155674,0.8075535,0.24416736,1.0196944,0.25056896,0.91991293,0.2335418,0.95045,0.25325763,1.1852267,0.24574648,1.2482793,0.30486983,1.2046411,0.3024081
1,0.2541548,0.2548269,0.2958209,0.26313657,0.20419236,0.2857455,0.21869668,0.30891073,0.40427178,0.25981456,0.37866297,0.24714029,0.3498128,0.2546559,0.35927215,0.24828771,0.72950435,0.24207732,0.6890065,0.23138233,0.8449689,0.21991202,0.7797245,0.2146153,0.7897005,0.23198426,0.9608494,0.26345092,1.0854259,0.2922246,1.0235262,0.2581363
2,0.22723515,0.25044703,0.26890695,0.2574327,0.18261084,0.28996366,0.19292314,0.27643916,0.38857332,0.2430934,0.35257944,0.2422051,0.3154571,0.23696178,0.3231554,0.23966826,0.6589638,0.20452654,0.62673944,0.21249011,0.76597244,0.2112684,0.7123975,0.24349958,0.70714515,0.23200528,0.82611495,0.238281,0.97460324,0.2699132,0.9284814,0.24691421
3,0.2126692,0.24766551,0.2390824,0.25399876,0.17291765,0.2833535,0.18106447,0.27084696,0.35401767,0.228323,0.32526475,0.25024542,0.29344758,0.23157407,0.30081055,0.25074574,0.603857,0.1952815,0.56660306,0.20934017,0.69720393,0.20321468,0.65417534,0.20781887,0.6468171,0.23811167,0.7459593,0.24572518,0.89909905,0.2556262,0.8625384,0.25935385
4,0.20285062,0.2518486,0.22509229,0.25279176,0.15791549,0.27633658,0.16042043,0.27426058,0.33675915,0.22757387,0.30618054,0.25680748,0.26322275,0.24051732,0.28826785,0.23315519,0.5520116,0.20364514,0.5434064,0.20852715,0.6426947,0.18899241,0.6125401,0.1966069,0.61351043,0.23782207,0.68160945,0.2853319,0.8233379,0.25138512,0.8016246,0.2557106
5,0.1877246,0.24393137,0.21350472,0.2521452,0.15358268,0.28674588,0.1536453,0.26902932,0.31257638,0.2261594,0.285621,0.23782392,0.2574531,0.23106627,0.27546224,0.24557304,0.5226214,0.19699907,0.49242282,0.2001035,0.6033339,0.19154605,0.567561,0.18880767,0.5560403,0.2302235,0.62483174,0.21921016,0.7865757,0.26766998,0.7421329,0.22768693
6,0.1854979,0.24080837,0.21100554,0.25172874,0.14227526,0.29447886,0.14015244,0.26944095,0.3014658,0.23034175,0.28182045,0.23225115,0.241468,0.22843526,0.25968817,0.24646735,0.48968726,0.19398478,0.47799253,0.2066482,0.56910783,0.18187702,0.53013885,0.18971619,0.5280716,0.20279603,0.5917697,0.22765847,0.7421418,0.25622207,0.69122463,0.23981161
7,0.17202654,0.2546666,0.19613798,0.2491675,0.13692056,0.27662975,0.1386502,0.2736817,0.28986856,0.22827424,0.25356308,0.23337464,0.2295374,0.22978948,0.244221,0.23443232,0.46324566,0.20978433,0.44383454,0.20274426,0.5331651,0.19593292,0.5112358,0.22532336,0.4983538,0.20610026,0.54975,0.26864198,0.693741,0.26661274,0.660903,0.23810914
8,0.16291545,0.24664338,0.2022995,0.25036922,0.12723428,0.27825466,0.13274747,0.2680625,0.2756807,0.23127998,0.25265285,0.23050189,0.21052878,0.22740884,0.22957622,0.22807221,0.4379353,0.19275677,0.42375115,0.18943335,0.5011697,0.18772058,0.4784116,0.18730778,0.46602443,0.20910062,0.52861446,0.24237461,0.648248,0.30279723,0.6124135,0.2779302
9,0.15721187,0.24575053,0.1845958,0.26778784,0.123485416,0.28188723,0.1222527,0.27137616,0.2560119,0.23027731,0.2333947,0.23483877,0.20255129,0.23166494,0.2199076,0.23024443,0.4200505,0.18832327,0.39350986,0.19751818,0.47816214,0.1871468,0.44409075,0.18074118,0.44339845,0.21200971,0.4889298,0.2470116,0.62070334,0.24685727,0.5904476,0.22928882
10,0.15189192,0.24099843,0.17645267,0.24888253,0.11832901,0.28120115,0.12248772,0.26823738,0.24864471,0.22267666,0.2219323,0.22652921,0.18435659,0.23305008,0.20785414,0.26185828,0.38812816,0.18193851,0.37735248,0.19442828,0.45142785,0.19234228,0.43582496,0.18066296,0.43084937,0.19929266,0.46451828,0.2591147,0.59591603,0.25342864,0.5537805,0.23868194
11,0.14160281,0.24674688,0.17639516,0.25475565,0.1146957,0.27353415,0.11156706,0.27060747,0.23312114,0.22506465,0.21415567,0.22951436,0.18663433,0.23402871,0.20255314,0.23952307,0.37093246,0.20376872,0.35800555,0.19094616,0.41507167,0.18490513,0.4083142,0.18705851,0.39631122,0.21450965,0.44242102,0.22365044,0.5708527,0.28642154,0.5435913,0.2368231
12,0.13742109,0.24845897,0.1659892,0.24807386,0.108590744,0.27600527,0.107828915,0.27136523,0.22316231,0.21874008,0.20467651,0.23397824,0.16377486,0.22768693,0.18789622,0.23800279,0.3526391,0.2151974,0.3379432,0.1893641,0.39110193,0.18406266,0.3879398,0.18709856,0.3954826,0.21336265,0.42492324,0.23878054,0.53055,0.2842129,0.5032056,0.2489919
13,0.12799458,0.25129318,0.16181953,0.27069545,0.101048656,0.27780354,0.107305884,0.26804474,0.21174851,0.2353644,0.19379719,0.23980059,0.15843956,0.22805215,0.17461225,0.24015339,0.3302283,0.1852365,0.3255947,0.19425325,0.38394287,0.18653004,0.36997572,0.17881384,0.36308226,0.21400507,0.3992113,0.24453366,0.50585514,0.28594083,0.48713088,0.25345993
14,0.12623188,0.26119348,0.15688708,0.26681933,0.10184072,0.27335188,0.102707446,0.27087858,0.20231296,0.22373404,0.18229197,0.23932731,0.15234242,0.23975597,0.17150259,0.23415379,0.32107985,0.1927399,0.30392224,0.19327293,0.36633453,0.19803765,0.3514166,0.18747161,0.3477407,0.20914486,0.385195,0.22405626,0.49041528,0.2799378,0.47342828,0.24216981
