,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,100,42,10,100,100,43,10,98,100,42,10,48,100,20,10,49,100,17,10,100,100,45,10,100,100,41,10,95,92,42,10,99,96,41,10,99,95,42,10,98,97,41,10,99,83,39,10,99,84,0,10,78,100,40,10,66,100,22,10,40,99,0,10,48,99,0
1,20,100,100,49,20,100,100,44,20,99,100,45,20,59,100,21,20,60,100,17,20,100,100,49,20,100,100,50,20,100,97,52,20,100,99,52,20,100,100,59,20,99,100,57,20,100,100,63,20,100,100,62,20,90,100,57,20,77,100,39,20,56,100,19,20,63,100,31
2,30,100,100,50,30,100,100,48,30,100,100,49,30,65,100,20,30,68,100,18,30,100,100,53,30,100,100,55,30,100,99,57,30,100,100,57,30,100,100,71,30,100,100,71,30,100,100,71,30,100,100,71,30,94,100,67,30,82,100,57,30,63,100,29,30,71,100,39
3,40,100,100,51,40,100,100,46,40,100,100,48,40,73,100,18,40,74,100,21,40,100,100,58,40,100,100,58,40,100,100,62,40,100,100,63,40,100,100,77,40,100,100,76,40,100,100,77,40,100,100,79,40,95,100,76,40,88,100,66,40,68,100,51,40,78,100,52
4,50,100,100,52,50,100,100,48,50,100,100,51,50,83,100,17,50,80,100,15,50,100,100,62,50,100,100,63,50,100,100,65,50,100,100,65,50,100,100,82,50,100,100,81,50,100,100,81,50,100,100,82,50,98,100,75,50,90,100,70,50,74,100,63,50,82,100,65
5,60,100,100,53,60,100,100,46,60,100,100,53,60,86,100,17,60,85,100,14,60,100,100,65,60,100,100,67,60,100,100,69,60,100,100,71,60,100,100,85,60,100,100,83,60,100,100,84,60,100,100,85,60,98,100,81,60,92,100,72,60,80,100,69,60,88,100,71
6,70,100,100,54,70,100,100,49,70,100,100,52,70,89,100,18,70,86,100,19,70,100,100,68,70,100,100,70,70,100,100,72,70,100,100,74,70,100,100,87,70,100,100,86,70,100,100,87,70,100,100,87,70,99,100,83,70,93,100,77,70,86,100,75,70,90,100,75
7,80,100,100,53,80,100,100,49,80,100,100,54,80,91,100,17,80,89,100,19,80,100,100,71,80,100,100,74,80,100,100,75,80,100,100,77,80,100,100,89,80,100,100,88,80,100,100,0,80,100,100,89,80,99,100,85,80,95,100,81,80,89,100,81,80,95,100,81
8,90,100,100,54,90,100,100,49,90,100,100,52,90,92,100,18,90,92,100,17,90,100,100,74,90,100,100,75,90,100,100,78,90,100,100,79,90,100,100,90,90,100,100,90,90,100,100,90,90,100,100,90,90,100,100,89,90,97,100,84,90,91,100,85,90,96,100,84
9,100,100,100,55,100,100,100,48,100,100,100,54,100,93,100,20,100,93,100,19,100,100,100,76,100,100,100,78,100,100,100,80,100,100,100,81,100,100,100,91,100,100,100,91,100,100,100,92,100,100,100,92,100,100,100,90,100,98,100,87,100,94,100,86,100,98,100,88
