,spatial None PL train,spatial None PL val,spatial X_s1 avg d_c train,spatial X_s1 avg d_c val
t_iter_avg,14.4,14.4,26.0,26.0
budget_usage,0.8036634230108758,0.8036634230108758,0.12578706353749283,0.12578706353749283
sensor_usage,1.0,1.0,0.06306306306306306,0.06306306306306306
streamtime_usage,1.0,1.0,1.0,1.0
test_loss,0.13017918,0.13017918,0.9598769545555115,0.9598769545555115
RF_loss,0.23582207,0.23582207,0.23582206666469574,0.23582206666469574
cand_subsample_rate,,,1.0,1.0
points_percluster_rate,,,0.0,0.0
0,0.21222174167633057,0.18909496068954468,0.46537598967552185,0.47354158759117126
1,0.1663282811641693,0.1710672229528427,0.29549428820610046,0.4946076571941376
2,0.14150434732437134,0.1497511863708496,0.2483028620481491,0.5481764674186707
3,0.13325229287147522,0.22459690272808075,0.2230309396982193,0.6181844472885132
4,0.13628675043582916,0.1475696861743927,0.20306427776813507,0.5659371018409729
5,0.11093153059482574,0.1495838165283203,0.1933266669511795,0.6043505072593689
6,0.1019730269908905,0.13526995480060577,0.17608673870563507,0.8358622789382935
7,0.09508940577507019,0.1440693587064743,0.17880550026893616,0.6711078882217407
8,0.08715272694826126,0.14577654004096985,0.15990020334720612,0.7468168139457703
9,0.09110739827156067,0.1458268165588379,0.15605606138706207,0.7137269377708435
10,0.09348038583993912,0.13995790481567383,0.14846085011959076,0.7405019402503967
11,0.07620029151439667,0.13760840892791748,0.16298611462116241,0.571532130241394
12,0.07563280314207077,0.14893442392349243,0.14768481254577637,0.7308336496353149
13,0.07394300401210785,0.14823774993419647,0.14952470362186432,0.8827295899391174
14,0.07565555721521378,0.1448286473751068,0.14138157665729523,0.786186158657074
15,0.06918910145759583,0.14994563162326813,0.12999382615089417,0.928921103477478
16,0.06374537944793701,0.14378687739372253,0.12555113434791565,0.6601356267929077
17,0.12179338932037354,0.1284782737493515,0.12015776336193085,0.9881970882415771
18,0.10119909793138504,0.13762187957763672,0.11822859942913055,0.9541104435920715
19,0.08933378010988235,0.14885033667087555,0.10782862454652786,0.9767748117446899
20,0.0915331244468689,0.14149348437786102,0.102775938808918,1.047673225402832
21,0.512446403503418,0.1297207474708557,0.10172626376152039,1.1406365633010864
22,0.07199786603450775,0.13725824654102325,0.12346705794334412,0.5982683897018433
23,0.0656038299202919,0.129383385181427,0.09181887656450272,0.5151633024215698
24,0.06638005375862122,0.14087164402008057,0.08517716825008392,0.48788732290267944
25,0.06695174425840378,0.13858211040496826,0.08782749623060226,0.5773564577102661
26,0.05807603895664215,0.13860127329826355,0.07503631711006165,0.4925556182861328
27,0.05955422297120094,0.13788965344429016,0.0745057612657547,0.6190866827964783
28,0.12420299649238586,0.13688115775585175,0.08039870113134384,0.3096616268157959
29,0.0961972177028656,0.12770861387252808,0.07110323011875153,0.36514243483543396
30,0.09506622701883316,0.12595252692699432,0.06976981461048126,0.3132607638835907
31,0.08185486495494843,0.13805349171161652,0.06403233110904694,0.2981492877006531
32,0.0740928128361702,0.13318289816379547,0.0670095905661583,0.2924851179122925
33,0.07263237237930298,0.13564586639404297,0.06434345990419388,0.32469505071640015
34,0.06452366709709167,0.13005316257476807,0.06760889291763306,0.2944672703742981
35,0.06323129683732986,0.13712657988071442,0.05562437325716019,0.3055795133113861
36,0.056652456521987915,0.13373030722141266,0.05476080998778343,0.329342782497406
37,0.05203653499484062,0.14602786302566528,0.058781418949365616,0.31986433267593384
38,0.05090368166565895,0.14300334453582764,0.05113058164715767,0.2787878215312958
39,0.0496952086687088,0.1434914916753769,0.049021776765584946,0.3571903705596924
40,0.04776616021990776,0.1359207034111023,0.047312188893556595,0.31043070554733276
41,0.12994854152202606,0.12884387373924255,0.046810001134872437,0.3163571059703827
42,0.1112806648015976,0.1256103366613388,0.04916255548596382,0.308137446641922
43,0.09359101206064224,0.12921154499053955,0.042657870799303055,0.317221462726593
44,0.08668771386146545,0.1295880675315857,0.04651513695716858,0.30828967690467834
45,0.07655690610408783,0.14931468665599823,0.04101691022515297,0.30402374267578125
46,0.06892777234315872,0.14185935258865356,0.04283801466226578,0.30934202671051025
47,0.06737334281206131,0.13428205251693726,0.03998605161905289,0.3080807030200958
48,0.05741399526596069,0.13945886492729187,0.03699119761586189,0.314702570438385
49,0.052135225385427475,0.143568217754364,0.05544775724411011,0.40371525287628174
50,0.049059852957725525,0.13919998705387115,0.044526275247335434,0.35914963483810425
51,0.04426468163728714,0.14666706323623657,0.04621727019548416,0.35385122895240784
52,0.048497892916202545,0.14566856622695923,0.04106862470507622,0.340303897857666
53,0.10894743353128433,0.13008522987365723,0.04016736149787903,0.3780992031097412
54,0.08534746617078781,0.12501509487628937,0.03769366443157196,0.34592559933662415
55,0.07179911434650421,0.14175741374492645,0.040879856795072556,0.3907032310962677
56,0.07639281451702118,0.13084542751312256,0.03356921300292015,0.42547017335891724
57,0.062181517481803894,0.13128787279129028,0.03294233977794647,0.35834935307502747
58,0.053586073219776154,0.1362229734659195,0.03603143244981766,0.34015634655952454
59,0.05154626443982124,0.13143673539161682,0.030997084453701973,0.4768836498260498
60,0.048526931554079056,0.13578613102436066,0.033839110285043716,0.3622405230998993
61,0.043763164430856705,0.13807906210422516,0.03312859311699867,0.394405335187912
62,0.04402485117316246,0.1410399079322815,0.027544571086764336,0.43408119678497314
63,0.04137302562594414,0.14100509881973267,0.03001321479678154,0.46451660990715027
64,0.03641586750745773,0.1391633301973343,0.030665097758173943,0.46460098028182983
65,0.11916752904653549,0.12207581102848053,0.02708791382610798,0.3605307638645172
