,spatial None PL train,spatial None PL val,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
t_iter_avg,18.6,18.6,62.2,62.2,63.3,63.3,64,64,64.1,64.1,77,77,79,79,79,79,81.7,81.7,93,93,93,93,91,91,87.1,87.1,85.3,85.3,89.8,89.8,88.8,88.8,87.4,87.4
budget_usage,0.8029176201373,0.8029176201373,0.700943935926774,0.700943935926774,0.569221967963387,0.569221967963387,0.269307780320366,0.269307780320366,0.276887871853547,0.276887871853547,0.750858123569794,0.750858123569794,0.75,0.75,0.538758581235698,0.538758581235698,0.621424485125858,0.621424485125858,0.478546910755149,0.478546910755149,0.496567505720824,0.496567505720824,0.344822654462243,0.344822654462243,0.410898169336384,0.410898169336384,0.422053775743707,0.422053775743707,0.275743707093821,0.275743707093821,0.232980549199085,0.232980549199085,0.267448512585812,0.267448512585812
sensor_usage,1,1,1,1,0.990990990990991,0.990990990990991,0.554054054054054,0.554054054054054,0.536036036036036,0.536036036036036,1,1,1,1,0.914414414414414,0.914414414414414,1,1,0.972972972972973,0.972972972972973,0.95045045045045,0.95045045045045,0.756756756756757,0.756756756756757,0.923423423423423,0.923423423423423,0.918918918918919,0.918918918918919,0.644144144144144,0.644144144144144,0.554054054054054,0.554054054054054,0.657657657657658,0.657657657657658
streamtime_usage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_loss,0.2743209,0.2743209,0.287216991186142,0.287216991186142,0.325042545795441,0.325042545795441,0.461438745260239,0.461438745260239,0.342005372047424,0.342005372047424,0.135018438100815,0.135018438100815,0.189675286412239,0.189675286412239,0.174227550625801,0.174227550625801,0.154565438628197,0.154565438628197,0.085059769451618,0.085059769451618,0.086119644343853,0.086119644343853,0.125636398792267,0.125636398792267,0.089891813695431,0.089891813695431,0.15636719763279,0.15636719763279,0.226270511746407,0.226270511746407,0.381810128688812,0.381810128688812,0.267665416002274,0.267665416002274
RF_loss,0.42653129,0.42653129,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531,0.426531285047531
cand_subsample_rate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
points_percluster_rate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.536137044429779,0.392554193735123,0.496278464794159,0.405702382326126,0.522226750850678,0.377628922462463,0.586507439613342,0.396059840917587,0.471788227558136,0.41520830988884,0.72793710231781,0.382926672697067,0.595344185829163,0.371683299541473,0.836560010910034,0.376713842153549,0.743831753730774,0.343202233314514,0.17110301554203,0.444298923015595,0.155108436942101,0.453792035579681,0.236432075500488,0.430414438247681,0.249976396560669,0.422555148601532,4.04063034057617,0.329350560903549,3.66766738891602,0.322139620780945,3.75566959381104,0.313726991415024,4.4892430305481,0.339335650205612
1,0.484541654586792,0.376488298177719,0.424729317426682,0.367955595254898,0.496567934751511,0.379810512065887,0.420432955026627,0.402349233627319,0.382128208875656,0.378360450267792,0.614132046699524,0.33881002664566,0.500107765197754,0.354148298501968,0.807079493999481,0.340725004673004,0.571214556694031,0.322017550468445,0.140791177749634,0.440502047538757,0.126704543828964,0.430201560258865,0.168484061956406,0.433560192584991,0.160414561629295,0.417782008647919,2.95662784576416,0.29000860452652,2.83603429794312,0.282286286354065,3.0390362739563,0.364182949066162,3.16748762130737,0.391288101673126
