,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,97,100,0,10,91,100,25,10,82,100,0,10,37,100,18,10,40,100,0,10,93,100,29,10,85,100,24,10,64,100,24,10,73,100,26,10,69,0,0,10,66,0,0,10,51,100,0,10,52,100,0,10,56,100,7,10,45,100,21,10,39,100,12,10,40,100,0
1,19,100,100,26,19,98,100,32,18,94,100,21,15,43,100,23,15,43,100,19,19,100,100,29,19,97,100,28,18,73,100,32,19,91,100,30,19,87,100,8,19,82,100,5,18,64,100,8,19,80,100,23,16,69,100,36,14,50,100,20,14,42,100,2,14,48,100,5
2,28,100,100,0,27,100,100,18,25,95,100,24,18,45,100,19,17,46,100,16,28,100,100,37,28,100,100,34,25,81,100,36,26,96,100,34,26,92,100,32,26,88,100,31,23,67,100,24,25,86,100,60,20,77,100,50,17,54,100,5,16,48,100,12,17,54,100,14
3,37,100,100,32,34,100,100,21,31,96,100,18,20,48,100,20,20,50,100,20,37,100,100,46,36,100,100,40,31,83,100,45,33,98,100,42,31,95,100,65,32,89,100,67,26,67,100,34,29,88,100,68,24,82,100,51,20,58,100,23,17,49,100,19,19,57,100,35
4,45,100,100,31,41,100,100,22,36,97,100,6,22,49,100,15,22,50,100,20,44,100,100,56,44,100,100,46,36,86,100,47,39,99,100,46,35,95,100,72,36,92,100,73,29,70,100,63,32,90,100,72,27,86,100,54,21,59,100,31,19,51,100,10,21,59,100,33
5,53,100,100,27,47,100,100,28,41,98,100,13,23,50,100,11,23,51,100,17,51,100,100,52,51,100,100,46,40,88,100,55,44,99,100,51,38,96,100,74,39,93,100,70,31,71,100,70,35,90,100,76,31,90,100,64,23,59,100,32,20,52,100,7,22,60,100,33
6,60,100,100,31,53,100,100,30,45,98,100,30,24,52,100,2,25,52,100,18,58,100,100,63,57,100,100,51,44,89,100,56,49,99,100,58,41,96,100,74,42,94,100,78,32,72,100,70,37,92,100,77,34,91,100,55,24,60,100,51,21,53,100,1,23,61,100,37
7,67,100,100,31,59,100,100,29,49,99,100,25,25,54,100,5,26,52,100,19,64,100,100,67,64,100,100,56,48,90,100,56,54,100,100,59,43,97,100,78,45,95,100,78,33,72,100,70,38,92,100,76,37,92,100,64,25,61,100,42,22,53,100,13,25,64,100,25
8,74,100,100,28,65,100,100,30,53,99,100,31,26,54,100,22,27,53,100,20,69,100,100,67,70,100,100,57,51,91,100,57,58,100,100,62,45,97,100,79,48,95,100,79,34,74,100,70,40,92,100,79,40,92,100,64,27,64,100,53,23,54,100,1,26,64,100,28
9,80,100,100,36,70,100,100,33,57,99,100,24,27,55,100,0,28,54,100,20,75,100,100,68,75,100,100,56,54,91,100,59,62,100,100,64,48,97,100,80,50,95,100,80,34,76,100,71,41,92,100,79,42,92,100,63,28,64,100,47,23,55,100,10,27,66,100,37
