,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,100,31,10,100,100,28,10,96,100,28,10,51,100,31,10,50,100,18,10,100,99,35,10,94,97,29,10,75,91,30,10,91,92,33,10,100,92,27,10,94,90,21,10,84,84,25,10,96,88,33,10,70,100,19,10,55,100,8,10,40,100,0,10,50,100,0
1,20,100,100,37,20,100,100,37,20,100,100,37,20,65,100,35,20,60,100,34,20,100,100,36,20,100,100,34,20,100,100,36,20,100,100,34,20,100,100,49,20,99,100,28,20,98,100,38,20,100,100,0,20,82,100,24,20,73,100,19,20,49,100,0,20,60,100,8
2,30,100,100,27,30,100,100,39,30,100,100,37,30,74,100,33,30,69,100,31,30,100,100,41,30,100,100,35,30,100,100,41,30,100,100,32,30,100,100,55,30,100,100,57,30,100,100,59,30,100,100,57,30,89,100,26,30,79,100,23,30,60,100,16,30,72,100,22
3,40,100,100,42,40,100,100,37,40,100,100,40,40,83,100,35,40,79,100,34,40,100,100,40,40,100,100,37,40,100,100,43,40,100,100,37,40,100,100,56,40,100,100,59,40,100,100,57,40,100,100,58,40,94,100,28,40,85,100,24,40,65,100,19,40,80,100,22
4,50,100,100,36,50,100,100,42,50,100,100,40,50,85,100,34,50,82,100,19,50,100,100,45,50,100,100,50,50,100,100,37,50,100,100,43,50,100,100,39,50,100,100,48,50,100,100,54,50,100,100,53,50,95,100,30,50,88,100,24,50,74,100,26,50,83,100,25
5,60,100,100,41,60,100,100,40,60,100,100,42,60,86,100,34,60,86,100,39,60,100,100,44,60,100,100,47,60,100,100,47,60,100,100,44,60,100,100,39,60,100,100,32,60,100,100,45,60,100,100,42,60,97,100,26,60,91,100,22,60,79,100,22,60,85,100,27
6,70,100,100,44,70,100,100,45,70,100,100,45,70,91,100,35,70,91,100,33,70,100,100,49,70,100,100,41,70,100,100,47,70,100,100,45,70,100,100,34,70,100,100,28,70,100,100,35,70,100,100,41,70,97,100,26,70,94,100,22,70,82,100,21,70,90,100,21
7,80,100,100,41,80,100,100,46,80,100,100,42,80,93,100,24,80,93,100,37,80,100,100,47,80,100,100,45,80,100,100,47,80,100,100,49,80,100,100,29,80,100,100,25,80,100,100,32,80,100,100,34,80,97,100,24,80,94,100,20,80,85,100,19,80,93,100,20
8,90,100,100,46,90,100,100,45,90,100,100,46,90,95,100,29,90,94,100,42,90,100,100,41,90,100,100,50,90,100,100,47,90,100,100,46,90,100,100,26,90,100,100,23,90,100,100,28,90,100,100,31,90,98,100,21,90,95,100,18,90,89,100,16,90,95,100,18
9,100,100,100,42,100,100,100,43,100,100,100,41,100,97,100,0,100,96,100,39,100,100,100,47,100,100,100,48,100,100,100,42,100,100,100,44,100,100,100,20,100,100,100,20,100,100,100,23,100,100,100,24,100,98,100,18,100,95,100,16,100,92,100,15,100,97,100,16
